path,key,value_type,value,year,session_id
root.EventName,EventName,str,102nd Running of the Indianapolis 500,2018,5320
root.SessionName,SessionName,str,Qualifications - Day 1,2018,5320
root.SessionDate,SessionDate,str,5/19/2018,2018,5320
root.SessionDateFormatted,SessionDateFormatted,str,"Saturday, May 19, 2018",2018,5320
root.SessionType,SessionType,str,Q,2018,5320
root.TrackType,TrackType,str,I,2018,5320
root.records,records,list,,2018,5320
root.records[0].DriverUrl,DriverUrl,str,/Drivers/Helio-Castroneves,2018,5320
root.records[0].DriversID,DriversID,int,3622,2018,5320
root.records[0].FirstName,FirstName,str,Helio,2018,5320
root.records[0].LastName,LastName,str,Castroneves,2018,5320
root.records[0].CarNumber,CarNumber,str,3,2018,5320
root.records[0].EventsSessionsDetailsID,EventsSessionsDetailsID,int,91521,2018,5320
root.records[0].EventsSessionsID,EventsSessionsID,int,5320,2018,5320
root.records[0].EventsEntrylistID,EventsEntrylistID,int,31386,2018,5320
root.records[0].DriverOverrideID,DriverOverrideID,int,3622,2018,5320
root.records[0].PositionStart,PositionStart,NoneType,None,2018,5320
root.records[0].PositionFinish,PositionFinish,int,1,2018,5320
root.records[0].ElapsedTime,ElapsedTime,str,02:37.2607,2018,5320
root.records[0].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[0].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[0].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[0].BestSpeed,BestSpeed,NoneType,None,2018,5320
root.records[0].InLap,InLap,NoneType,None,2018,5320
root.records[0].Difference,Difference,NoneType,None,2018,5320
root.records[0].Gap,Gap,NoneType,None,2018,5320
root.records[0].SpeedAvg,SpeedAvg,float,228.919,2018,5320
root.records[0].TimesLed,TimesLed,NoneType,None,2018,5320
root.records[0].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[0].PitStops,PitStops,NoneType,None,2018,5320
root.records[0].Status,Status,NoneType,None,2018,5320
root.records[0].PointsEarned,PointsEarned,NoneType,None,2018,5320
root.records[0].IsDeleted,IsDeleted,bool,False,2018,5320
root.records[0].QualLap1,QualLap1,str, 39.3460,2018,5320
root.records[0].QualLap2,QualLap2,str, 39.2828,2018,5320
root.records[0].QualLap3,QualLap3,str, 39.2875,2018,5320
root.records[0].QualLap4,QualLap4,str, 39.3444,2018,5320
root.records[0].DriverName,DriverName,str,Helio Castroneves,2018,5320
root.records[0].SpeedAvgFormatted,SpeedAvgFormatted,str,228.919,2018,5320
root.records[0].BestSpeedFormatted,BestSpeedFormatted,NoneType,None,2018,5320
root.records[0].TeamName,TeamName,str,Team Penske,2018,5320
root.records[1].DriverUrl,DriverUrl,str,/Drivers/Ed-Carpenter,2018,5320
root.records[1].DriversID,DriversID,int,3620,2018,5320
root.records[1].FirstName,FirstName,str,Ed,2018,5320
root.records[1].LastName,LastName,str,Carpenter,2018,5320
root.records[1].CarNumber,CarNumber,str,20,2018,5320
root.records[1].EventsSessionsDetailsID,EventsSessionsDetailsID,int,91522,2018,5320
root.records[1].EventsSessionsID,EventsSessionsID,int,5320,2018,5320
root.records[1].EventsEntrylistID,EventsEntrylistID,int,31374,2018,5320
root.records[1].DriverOverrideID,DriverOverrideID,int,3620,2018,5320
root.records[1].PositionStart,PositionStart,NoneType,None,2018,5320
root.records[1].PositionFinish,PositionFinish,int,2,2018,5320
root.records[1].ElapsedTime,ElapsedTime,str,02:37.4167,2018,5320
root.records[1].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[1].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[1].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[1].BestSpeed,BestSpeed,NoneType,None,2018,5320
root.records[1].InLap,InLap,NoneType,None,2018,5320
root.records[1].Difference,Difference,NoneType,None,2018,5320
root.records[1].Gap,Gap,NoneType,None,2018,5320
root.records[1].SpeedAvg,SpeedAvg,float,228.692,2018,5320
root.records[1].TimesLed,TimesLed,NoneType,None,2018,5320
root.records[1].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[1].PitStops,PitStops,NoneType,None,2018,5320
root.records[1].Status,Status,NoneType,None,2018,5320
root.records[1].PointsEarned,PointsEarned,NoneType,None,2018,5320
root.records[1].IsDeleted,IsDeleted,bool,False,2018,5320
root.records[1].QualLap1,QualLap1,str, 39.2557,2018,5320
root.records[1].QualLap2,QualLap2,str, 39.3170,2018,5320
root.records[1].QualLap3,QualLap3,str, 39.3552,2018,5320
root.records[1].QualLap4,QualLap4,str, 39.4888,2018,5320
root.records[1].DriverName,DriverName,str,Ed Carpenter,2018,5320
root.records[1].SpeedAvgFormatted,SpeedAvgFormatted,str,228.692,2018,5320
root.records[1].BestSpeedFormatted,BestSpeedFormatted,NoneType,None,2018,5320
root.records[1].TeamName,TeamName,str,ECR,2018,5320
root.records[2].DriverUrl,DriverUrl,NoneType,None,2018,5320
root.records[2].DriversID,DriversID,int,4276,2018,5320
root.records[2].FirstName,FirstName,str,Simon,2018,5320
root.records[2].LastName,LastName,str,Pagenaud,2018,5320
root.records[2].CarNumber,CarNumber,str,22,2018,5320
root.records[2].EventsSessionsDetailsID,EventsSessionsDetailsID,int,91523,2018,5320
root.records[2].EventsSessionsID,EventsSessionsID,int,5320,2018,5320
root.records[2].EventsEntrylistID,EventsEntrylistID,int,31376,2018,5320
root.records[2].DriverOverrideID,DriverOverrideID,int,4276,2018,5320
root.records[2].PositionStart,PositionStart,NoneType,None,2018,5320
root.records[2].PositionFinish,PositionFinish,int,3,2018,5320
root.records[2].ElapsedTime,ElapsedTime,str,02:37.6845,2018,5320
root.records[2].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[2].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[2].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[2].BestSpeed,BestSpeed,NoneType,None,2018,5320
root.records[2].InLap,InLap,NoneType,None,2018,5320
root.records[2].Difference,Difference,NoneType,None,2018,5320
root.records[2].Gap,Gap,NoneType,None,2018,5320
root.records[2].SpeedAvg,SpeedAvg,float,228.304,2018,5320
root.records[2].TimesLed,TimesLed,NoneType,None,2018,5320
root.records[2].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[2].PitStops,PitStops,NoneType,None,2018,5320
root.records[2].Status,Status,NoneType,None,2018,5320
root.records[2].PointsEarned,PointsEarned,NoneType,None,2018,5320
root.records[2].IsDeleted,IsDeleted,bool,False,2018,5320
root.records[2].QualLap1,QualLap1,str, 39.4325,2018,5320
root.records[2].QualLap2,QualLap2,str, 39.3977,2018,5320
root.records[2].QualLap3,QualLap3,str, 39.4066,2018,5320
root.records[2].QualLap4,QualLap4,str, 39.4477,2018,5320
root.records[2].DriverName,DriverName,str,Simon Pagenaud,2018,5320
root.records[2].SpeedAvgFormatted,SpeedAvgFormatted,str,228.304,2018,5320
root.records[2].BestSpeedFormatted,BestSpeedFormatted,NoneType,None,2018,5320
root.records[2].TeamName,TeamName,str,Team Penske,2018,5320
root.records[3].DriverUrl,DriverUrl,str,/Drivers/Will-Power,2018,5320
root.records[3].DriversID,DriversID,int,3667,2018,5320
root.records[3].FirstName,FirstName,str,Will,2018,5320
root.records[3].LastName,LastName,str,Power,2018,5320
root.records[3].CarNumber,CarNumber,str,12,2018,5320
root.records[3].EventsSessionsDetailsID,EventsSessionsDetailsID,int,91524,2018,5320
root.records[3].EventsSessionsID,EventsSessionsID,int,5320,2018,5320
root.records[3].EventsEntrylistID,EventsEntrylistID,int,31369,2018,5320
root.records[3].DriverOverrideID,DriverOverrideID,int,3667,2018,5320
root.records[3].PositionStart,PositionStart,NoneType,None,2018,5320
