path,key,value_type,value,year,session_id
root.records[0].DriverUrl,DriverUrl,str,/Drivers/Helio-Castroneves,2018,5320
root.records[0].ElapsedTime,ElapsedTime,str,02:37.2607,2018,5320
root.records[0].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[0].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[0].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[0].InLap,InLap,NoneType,None,2018,5320
root.records[0].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[0].QualLap1,QualLap1,str, 39.3460,2018,5320
root.records[0].QualLap2,QualLap2,str, 39.2828,2018,5320
root.records[0].QualLap3,QualLap3,str, 39.2875,2018,5320
root.records[0].QualLap4,QualLap4,str, 39.3444,2018,5320
root.records[1].DriverUrl,DriverUrl,str,/Drivers/Ed-Carpenter,2018,5320
root.records[1].ElapsedTime,ElapsedTime,str,02:37.4167,2018,5320
root.records[1].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[1].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[1].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[1].InLap,InLap,NoneType,None,2018,5320
root.records[1].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[1].QualLap1,QualLap1,str, 39.2557,2018,5320
root.records[1].QualLap2,QualLap2,str, 39.3170,2018,5320
root.records[1].QualLap3,QualLap3,str, 39.3552,2018,5320
root.records[1].QualLap4,QualLap4,str, 39.4888,2018,5320
root.records[2].DriverUrl,DriverUrl,NoneType,None,2018,5320
root.records[2].ElapsedTime,ElapsedTime,str,02:37.6845,2018,5320
root.records[2].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[2].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[2].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[2].InLap,InLap,NoneType,None,2018,5320
root.records[2].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[2].QualLap1,QualLap1,str, 39.4325,2018,5320
root.records[2].QualLap2,QualLap2,str, 39.3977,2018,5320
root.records[2].QualLap3,QualLap3,str, 39.4066,2018,5320
root.records[2].QualLap4,QualLap4,str, 39.4477,2018,5320
root.records[3].DriverUrl,DriverUrl,str,/Drivers/Will-Power,2018,5320
root.records[3].ElapsedTime,ElapsedTime,str,02:37.7604,2018,5320
root.records[3].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[3].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[3].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[3].InLap,InLap,NoneType,None,2018,5320
root.records[3].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[3].QualLap1,QualLap1,str, 39.4830,2018,5320
root.records[3].QualLap2,QualLap2,str, 39.4398,2018,5320
root.records[3].QualLap3,QualLap3,str, 39.4305,2018,5320
root.records[3].QualLap4,QualLap4,str, 39.4071,2018,5320
root.records[4].DriverUrl,DriverUrl,NoneType,None,2018,5320
root.records[4].ElapsedTime,ElapsedTime,str,02:37.8322,2018,5320
root.records[4].LapsComplete,LapsComplete,NoneType,None,2018,5320
root.records[4].LapsDown,LapsDown,NoneType,None,2018,5320
root.records[4].BestLapTime,BestLapTime,NoneType,None,2018,5320
root.records[4].InLap,InLap,NoneType,None,2018,5320
root.records[4].LapsLed,LapsLed,NoneType,None,2018,5320
root.records[4].QualLap1,QualLap1,str, 39.4156,2018,5320
root.records[4].QualLap2,QualLap2,str, 39.4224,2018,5320
