year,from_time,to_time,gap_minutes
2025,2025-05-17 08:15:00,2025-05-17 08:30:00,15.0
2025,2025-05-17 08:30:00,2025-05-17 08:45:00,15.0
2025,2025-05-17 08:45:00,2025-05-17 09:00:00,15.0
2025,2025-05-17 09:00:00,2025-05-17 09:15:00,15.0
2025,2025-05-17 09:15:00,2025-05-17 09:30:00,15.0
2025,2025-05-17 09:30:00,2025-05-17 10:45:00,75.0
2025,2025-05-17 10:45:00,2025-05-17 11:00:00,15.0
2025,2025-05-17 11:00:00,2025-05-17 11:15:00,15.0
2025,2025-05-17 11:15:00,2025-05-17 11:30:00,15.0
2025,2025-05-17 11:30:00,2025-05-17 11:45:00,15.0
2025,2025-05-17 11:45:00,2025-05-17 12:00:00,15.0
2025,2025-05-17 12:00:00,2025-05-17 12:15:00,15.0
2025,2025-05-17 12:15:00,2025-05-17 12:30:00,15.0
2025,2025-05-17 12:30:00,2025-05-17 12:45:00,15.0
2025,2025-05-17 12:45:00,2025-05-17 13:00:00,15.0
2025,2025-05-17 13:00:00,2025-05-17 13:15:00,15.0
2025,2025-05-17 13:15:00,2025-05-17 13:30:00,15.0
2025,2025-05-17 13:30:00,2025-05-17 13:45:00,15.0
2025,2025-05-17 13:45:00,2025-05-17 14:00:00,15.0
2025,2025-05-17 14:00:00,2025-05-17 14:15:00,15.0
2025,2025-05-17 14:15:00,2025-05-17 14:30:00,15.0
2025,2025-05-17 14:30:00,2025-05-17 14:45:00,15.0
2025,2025-05-17 14:45:00,2025-05-17 15:00:00,15.0
2025,2025-05-17 15:00:00,2025-05-17 15:15:00,15.0
2025,2025-05-17 15:15:00,2025-05-17 15:30:00,15.0
2025,2025-05-17 15:30:00,2025-05-17 15:45:00,15.0
2025,2025-05-17 15:45:00,2025-05-17 16:00:00,15.0
2025,2025-05-17 16:00:00,2025-05-17 16:15:00,15.0
2025,2025-05-17 16:15:00,2025-05-17 16:30:00,15.0
2025,2025-05-17 16:30:00,2025-05-17 16:45:00,15.0
2025,2025-05-17 16:45:00,2025-05-17 17:00:00,15.0
2025,2025-05-17 17:00:00,2025-05-17 17:15:00,15.0
2025,2025-05-17 17:15:00,2025-05-17 17:30:00,15.0
2025,2025-05-17 17:30:00,2025-05-17 17:45:00,15.0
