year,source_line_no,source_rank,car_number,driver_name,cet,lap1_s,lap2_s,lap3_s,lap4_s,total_time,average_speed_mph,status,tail_raw,raw_line,timed_lap_count,complete_four_lap,zero_lap,partial_attempt,car_key,driver_key,entrant_key,record_index_for_entrant,records_for_entrant,complete_attempts_for_entrant,has_repeat_complete_attempt,chronology_verified,source_order_semantics
2018,37,32,17,"Daly, Conor",D/H/F,39.9928,40.0111,40.0315,40.0543,02:40.0897,224.874,VALID_OR_UNLABELED,Day 1,"32 17 Daly, Conor D/H/F 39.9928 40.0111 40.0315 40.0543 02:40.0897 224.874 Day 1",4,True,False,False,17,dalyconor,dalyconor__17,1,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2018,46,41,17,"Daly, Conor",D/H/F,39.9498,40.0617,40.0995,40.0769,02:40.1879,224.736,Withdrawn,Day 1 Withdrawn,"41 17 Daly, Conor D/H/F 39.9498 40.0617 40.0995 40.0769 02:40.1879 224.736 Day 1 Withdrawn",4,True,False,False,17,dalyconor,dalyconor__17,2,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2018,50,45,17,"Daly, Conor",D/H/F,40.0243,40.5358,40.4942,40.6099,02:41.6642,222.684,Withdrawn,Day 1 Withdrawn,"45 17 Daly, Conor D/H/F 40.0243 40.5358 40.4942 40.6099 02:41.6642 222.684 Day 1 Withdrawn",4,True,False,False,17,dalyconor,dalyconor__17,3,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2018,13,8,9,"Dixon, Scott",D/H/F,39.4394,39.483,39.5551,39.5682,02:38.0457,227.782,VALID_OR_UNLABELED,Day 1,"8 9 Dixon, Scott D/H/F 39.4394 39.4830 39.5551 39.5682 02:38.0457 227.782 Day 1",4,True,False,False,9,dixonscott,dixonscott__9,1,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2018,39,34,9,"Dixon, Scott",D/H/F,39.5344,39.5292,39.5404,39.5747,02:38.1787,227.591,Retired,Day 1 Retired,"34 9 Dixon, Scott D/H/F 39.5344 39.5292 39.5404 39.5747 02:38.1787 227.591 Day 1 Retired",4,True,False,False,9,dixonscott,dixonscott__9,2,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2018,19,14,28,"Hunter-Reay, Ryan",D/H/F,39.5556,39.6166,39.7279,39.7237,02:38.6238,226.952,VALID_OR_UNLABELED,Day 1,"14 28 Hunter-Reay, Ryan D/H/F 39.5556 39.6166 39.7279 39.7237 02:38.6238 226.952 Day 1",4,True,False,False,28,hunterreayryan,hunterreayryan__28,1,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2018,40,35,28,"Hunter-Reay, Ryan",D/H/F,39.6541,39.6726,39.6538,39.6682,02:38.6487,226.916,Retired,Day 1 Retired,"35 28 Hunter-Reay, Ryan D/H/F 39.6541 39.6726 39.6538 39.6682 02:38.6487 226.916 Day 1 Retired",4,True,False,False,28,hunterreayryan,hunterreayryan__28,2,2,2,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2018,47,42,63,"Mann, Pippa",D/H/F,40.0303,40.0467,40.1535,40.226,02:40.4565,224.36,Withdrawn,Day 1 Withdrawn,"42 63 Mann, Pippa D/H/F 40.0303 40.0467 40.1535 40.2260 02:40.4565 224.360 Day 1 Withdrawn",4,True,False,False,63,mannpippa,mannpippa__63,1,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2018,48,43,63,"Mann, Pippa",D/H/F,40.12,40.1771,40.2679,40.3967,02:40.9617,223.656,Waved Off,Day 1 Waved Off,"43 63 Mann, Pippa D/H/F 40.1200 40.1771 40.2679 40.3967 02:40.9617 223.656 Day 1 Waved Off",4,True,False,False,63,mannpippa,mannpippa__63,2,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
2018,49,44,63,"Mann, Pippa",D/H/F,40.1929,40.3275,40.3347,40.332,02:41.1871,223.343,Failed Attempt,Day 1 Failed Attempt,"44 63 Mann, Pippa D/H/F 40.1929 40.3275 40.3347 40.3320 02:41.1871 223.343 Day 1 Failed Attempt",4,True,False,False,63,mannpippa,mannpippa__63,3,3,3,True,False,RESULT_REPORT_ORDER_NOT_VERIFIED_CHRONOLOGY
