year,file,page,line_no,keyword_hits,raw_line
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,1,7,car,May PI IndyCar 48.8787 169.406
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,1,11,car,39.4263 228.274 39.4308 228.248 39.4464 228.158 39.5573 227.518 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,1,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,1,28,speed,T2500 Speedway Josef T2 4.9774 4.9860 4.9893 5.0148 5.7515 to 226.022 225.632 225.483 224.336 195.601
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,1,32,car | section,2.9032 232.032 2.9092 231.554 2.9039 231.976 2.9047 231.913 2.9833 225.802 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,1,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,1,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,2,7,car,May PI IndyCar 52.1216 158.866
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,2,11,car,39.5935 227.310 39.6425 227.029 39.6612 226.922 39.6969 226.718 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,2,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,2,28,speed,T2500 Speedway T2 5.0123 5.0267 5.0266 5.0377 6.3419 to 224.448 223.805 223.809 223.316 177.392
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,2,32,car | section,2.9360 229.440 2.9388 229.222 2.9369 229.370 2.9400 229.128 3.1337 214.965 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,2,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,2,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,3,7,car,May PI IndyCar 54.7500 151.239
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,3,11,car,39.4830 227.946 39.4398 228.196 39.4305 228.250 39.4071 228.385 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,3,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,3,28,speed,T2500 Speedway T2 4.9772 4.9786 4.9759 4.9742 6.0785 to 226.031 225.967 226.090 226.167 185.079
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,3,32,car | section,2.9112 231.395 2.9093 231.546 2.9045 231.929 2.9039 231.976 2.9545 228.004 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,3,35,lap,Lap 1 2 3 4 5
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,3,36,session | section,Event: Track: Report: Session: Section
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,4,7,car,May PI IndyCar 54.3233 152.427
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,4,11,car,39.4684 228.031 39.5436 227.597 39.5527 227.545 39.6007 227.269 INDYCAR
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,4,12,lap,Lap
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,4,28,speed,"T2500 Speedway T2 4.9471 4.9666 4.9773 4.9840 5.8650 to 227.406 226.513 226.026 225.722 191.816 Danica SS1 Motor Report SS1 4.9046 229.377 4.9245 228.450 4.9235 228.496 4.9311 228.144 5.7066 197.140 Patrick, to"
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,4,30,car | section,2.9023 232.104 2.9080 231.649 2.9026 232.080 2.9046 231.921 3.0288 222.410 Car T1to102nd Indianapolis Section Qualifications for
2018,2018_5320_indycar-sectionresults-quals-day1.pdf,4,33,lap,Lap 1 2 3 4 5
