year,analysis_file,car_number,stint_index,lap_index,lap_number,laptime_s,timestamp_ms,timestamp_utc,timestamp_indianapolis,flag
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,28,0,0,1,41.1636,1747494346878,2025-05-17T15:05:46.878000+00:00,2025-05-17T11:05:46.878000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,28,0,1,2,38.7726,1747494386800,2025-05-17T15:06:26.800000+00:00,2025-05-17T11:06:26.800000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,28,0,2,3,38.7193,1747494425185,2025-05-17T15:07:05.185000+00:00,2025-05-17T11:07:05.185000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,28,0,3,4,38.7681,1747494463541,2025-05-17T15:07:43.541000+00:00,2025-05-17T11:07:43.541000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,28,0,4,5,38.8243,1747494501923,2025-05-17T15:08:21.923000+00:00,2025-05-17T11:08:21.923000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,5,0,0,1,41.3227,1747494632450,2025-05-17T15:10:32.450000+00:00,2025-05-17T11:10:32.450000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,5,0,1,2,38.6512,1747494670831,2025-05-17T15:11:10.831000+00:00,2025-05-17T11:11:10.831000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,5,0,2,3,38.6486,1747494709190,2025-05-17T15:11:49.190000+00:00,2025-05-17T11:11:49.190000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,5,0,3,4,38.6614,1747494747585,2025-05-17T15:12:27.585000+00:00,2025-05-17T11:12:27.585000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,5,0,4,5,38.6645,1747494785961,2025-05-17T15:13:05.961000+00:00,2025-05-17T11:13:05.961000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,8,0,0,1,41.2551,1747494901112,2025-05-17T15:15:01.112000+00:00,2025-05-17T11:15:01.112000-04:00,yellow
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,8,0,1,2,38.7937,1747494940501,2025-05-17T15:15:40.501000+00:00,2025-05-17T11:15:40.501000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,8,0,2,3,38.8439,1747494978884,2025-05-17T15:16:18.884000+00:00,2025-05-17T11:16:18.884000-04:00,green
2025,2025_03072250-77e5-43d5-9844-4550ecd8ae34_analysis.json,8,0,3,4,38.921,1747495018796,2025-05-17T15:16:58.796000+00:00,2025-05-17T11:16:58.796000-04:00,green
