year,file,car,driver_repr,static_repr,lap_repr,stint_repr
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,17,['Conor Daly'],"[None, None, None]","[None, 1526756044]","[[1, 1526755824, 4.0, 1526756074, False, 0, 40.0243, 0, 40.35143333333334, [[40.9112, 1], [40.0243, 1], [40.5358, 1], [40.4942, 1], [40.6099, 1]]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,9,['Scott Dixon'],"[None, None, None]","[None, 1526743694]","[[1, 1526743579, 4.0, 1526743724, False, 0, 39.5292, 0, 39.5404, [[39.5292, 1], [39.5404, 1], [39.5747, 1]]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,28,['Ryan Hunter-Reay'],"[None, None, None]","[None, 1526742544]","[[1, 1526742429, 4.0, 1526742574, False, 0, 39.6538, 0, 39.6538, [[39.6726, 1], [39.6538, 1], [39.6682, 1]]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,15,['Graham Rahal'],"[None, None, None]","[None, 1526744514]","[[1, 1526744399, 4.0, 1526744544, False, 0, 39.9082, 0, 39.9339, [[39.9292, 1], [39.9339, 1], [39.9082, 1]]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,27,['Alexander Rossi'],"[None, None, None]","[None, 1526756314]","[[1, 1526756099, 4.0, 1526756344, False, 0, 39.5854, 1, 39.909, [[40.6099, 0], [40.5862, 9], [39.6725, 1], [39.5854, 1], [39.7919, 1], [40.0933, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,66,['Fernando Alonso'],"[None, 'McLaren Racing', None]","[[1, 1558211973.97174, 0.0, 1558212218.951426, True, 0, 39.6191, 4, 40.166512499999996, [[40.21, 9], [39.7435, 9], [39.7585, 9], [41.6688, 9], [39.6191, 1], [39.6813, 1], [39.7435, 1], [39.7358, 1], [41.3816, 1]]], 1558212223.958774]","[[1, 1558208853.948603, 10.0, 1558209093.961421, False, 0, 39.3935, 24, 40.22203404255321, [[39.716, 9], [41.9747, 9], [39.3935, 1], [39.3935, 1], [39.7859, 1], [40.249, 1], [40.21, 9], [40.249, 9], [40.21, 9], [40.249, 9], [40.21, 9], [40.249, 9], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 9], [40.21, 9], [40.249, 9], [40.21, 9], [40.249, 1], [40.21, 1], [40.249, 9], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 1], [40.21, 9], [40.249, 9], [40.21, 9], [40.249, 9], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 1], [40.21, 1], [40.249, 9], [40.21, 9], [40.249, 9], [40.21, 9], [40.249, 1], [40.21, 1], [40.249, 1], [40.21, 9], [40.249, 9], [40.21, 9]]], [11.0, 1558210538.949451, 0.0, 1558210568.962134, False, 0, 39.716, 1, None, [[39.716, 9]]], [1, 1558210598.961412, 0.0, 1558210813.978923, False, 0, 39.51, 3, 39.84507999999999, [[42.2195, 9], [39.51, 1], [40.21, 1], [39.5596, 1], [39.7772, 1], [39.7435, 1], [39.7435, 9], [40.21, 1], [39.7435, 1], [40.21, 9], [39.7435, 1], [39.7435, 1]]], [1, 1558211973.97174, 0.0, 1558212573.956534, False, 0, 39.6191, 4, 39.99292857142857, [[40.21, 9], [39.7435, 9], [39.7585, 9], [41.6688, 9], [39.6191, 1], [39.6813, 1], [39.7435, 1], [39.7358, 1], [41.3816, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,24,['Sage Karam'],"[None, 'Dreyer and Reinbold Racing', None]","[None, 1558212578.960259]","[[1, 1558207693.9619, 0.0, 1558207748.96441, False, 0, 41.0405, 2, 41.0405, [[46.1755, 9], [41.0405, 9], [41.0405, 1]]], [1, 1558207773.985736, 17.0, 1558212573.956534, False, 0, 39.5567, 76, 43.121251677852385, [[46.1755, 1], [39.5567, 1], [39.7184, 1], [39.9054, 1], [40.2065, 1], [46.1755, 1], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 9], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 1], [40.2065, 1], [46.1755, 9], [40.2065, 9], [46.1755, 9], [40.2065, 9]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,15,['Graham Rahal'],"[None, 'Rahal Letterman Lanigan Racing', None]","[[1, 1558209443.960129, 0.0, 1558209683.955886, True, 0, 39.3793, 2, 39.851800000000004, [[39.6605, 9], [41.6076, 9], [39.6605, 1], [39.3793, 1], [39.3793, 1], [39.6078, 1], [39.5751, 1], [39.753, 1]]], 1558209688.959243]","[[1, 1558209443.960129, 0.0, 1558212573.956534, False, 0, 39.3793, 2, 39.86826666666666, [[39.6605, 9], [41.6076, 9], [39.6605, 1], [39.3793, 1], [39.3793, 1], [39.6078, 1], [39.5751, 1], [39.753, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,10,['Felix Rosenqvist'],"[None, 'Chip Ganassi Racing Teams', None]","[[1, 1558208258.954807, 0.0, 1558208503.960087, True, 0, 39.4707, 3, 39.657183333333336, [[5062.1552, 9], [39.7456, 9], [39.7456, 9], [39.4707, 1], [39.6126, 1], [39.6845, 1], [39.6841, 1]]], 1558208508.963711]","[[1, 1558208258.954807, 0.0, 1558212573.956534, False, 0, 39.4707, 3, 39.6518, [[5062.1552, 9], [39.7456, 9], [39.7456, 9], [39.4707, 1], [39.6126, 1], [39.6845, 1], [39.6841, 1]]]]"
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,27,['Alexander Rossi'],"[None, 'Andretti Autosport', None]","[[1, 1558207543.964259, 0.0, 1558207633.96639, True, 0, 39.2488, 0, 39.300799999999995, [[39.2488, 1], [39.2778, 1], [39.3238, 1]]], 1558207638.987164]","[[1, 1558207393.960866, 0.0, 1558207518.95983, False, 0, 39.1713, 2, 40.5681, [[39.4518, 9], [41.6844, 9], [39.4518, 1], [39.1713, 1]]], [1, 1558207543.964259, 0.0, 1558212573.956534, False, 0, 39.2488, 0, 39.2778, [[39.2488, 1], [39.2778, 1], [39.3238, 1]]]]"
