year,analysis_file,root,car_number,record_index,parent_start_ts,parent_end_ts,parent_start_utc,parent_end_utc,history_count,record_repr
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,60,0,1526742694.0,1526742844.0,2018-05-19T15:11:34+00:00,2018-05-19T15:14:04+00:00,3,"[1, 1526742694, 4.0, 1526742844, False, 0, 39.9438, 0, 39.9739, [[39.9438, 1], [39.9739, 1], [40.0065, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,64,0,1526744699.0,1526754104.0,2018-05-19T15:44:59+00:00,2018-05-19T18:21:44+00:00,2,"[1, 1526744699, 3.0, 1526754104, False, 0, 45.851, 0, None, [[45.851, 1], [46.2987, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,66,0,1526756374.0,1526756619.0,2018-05-19T18:59:34+00:00,2018-05-19T19:03:39+00:00,5,"[1, 1526756374, 4.0, 1526756619, False, 0, 39.6848, 0, 39.71183333333334, [[40.926, 1], [39.6965, 1], [39.6848, 1], [39.7542, 1], [39.8054, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,25,0,1526755269.0,1526755514.0,2018-05-19T18:41:09+00:00,2018-05-19T18:45:14+00:00,7,"[1, 1526755269, 4.0, 1526755514, False, 0, 39.7846, 1, 40.1014, [[40.0926, 0], [41.2732, 9], [39.7846, 1], [39.7846, 1], [39.8047, 1], [39.8599, 1], [39.9069, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,26,0,1526756909.0,1526757164.0,2018-05-19T19:08:29+00:00,2018-05-19T19:12:44+00:00,5,"[1, 1526756909, 4.0, 1526757164, False, 0, 39.7337, 0, 39.82396666666667, [[40.6724, 1], [39.7337, 1], [39.818, 1], [39.9202, 1], [39.9579, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,27,0,1526756099.0,1526756344.0,2018-05-19T18:54:59+00:00,2018-05-19T18:59:04+00:00,6,"[1, 1526756099, 4.0, 1526756344, False, 0, 39.5854, 1, 39.909, [[40.6099, 0], [40.5862, 9], [39.6725, 1], [39.5854, 1], [39.7919, 1], [40.0933, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,21,0,1526743304.0,1526743449.0,2018-05-19T15:21:44+00:00,2018-05-19T15:24:09+00:00,3,"[1, 1526743304, 4.0, 1526743449, False, 0, 39.4239, 0, 39.4618, [[39.4239, 1], [39.4618, 1], [39.5394, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,22,0,1526744989.0,1526745154.0,2018-05-19T15:49:49+00:00,2018-05-19T15:52:34+00:00,3,"[1, 1526744989, 4.0, 1526745154, False, 0, 39.3977, 0, 39.4066, [[39.3977, 1], [39.4066, 1], [39.4477, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,28,0,1526742429.0,1526742574.0,2018-05-19T15:07:09+00:00,2018-05-19T15:09:34+00:00,3,"[1, 1526742429, 4.0, 1526742574, False, 0, 39.6538, 0, 39.6538, [[39.6726, 1], [39.6538, 1], [39.6682, 1]]]"
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,3,0,1526743009.0,1526743154.0,2018-05-19T15:16:49+00:00,2018-05-19T15:19:14+00:00,3,"[1, 1526743009, 4.0, 1526743154, False, 0, 39.2828, 0, 39.2875, [[39.2828, 1], [39.2875, 1], [39.3444, 1]]]"
