year,analysis_file,root,car_number,record_index,parent_start_ts,parent_end_ts,parent_start_utc,parent_end_utc,history_count
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,60,0,1526742694.0,1526742844.0,2018-05-19T15:11:34+00:00,2018-05-19T15:14:04+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,64,0,1526744699.0,1526754104.0,2018-05-19T15:44:59+00:00,2018-05-19T18:21:44+00:00,2
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,66,0,1526756374.0,1526756619.0,2018-05-19T18:59:34+00:00,2018-05-19T19:03:39+00:00,5
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,25,0,1526755269.0,1526755514.0,2018-05-19T18:41:09+00:00,2018-05-19T18:45:14+00:00,7
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,26,0,1526756909.0,1526757164.0,2018-05-19T19:08:29+00:00,2018-05-19T19:12:44+00:00,5
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,27,0,1526756099.0,1526756344.0,2018-05-19T18:54:59+00:00,2018-05-19T18:59:04+00:00,6
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,21,0,1526743304.0,1526743449.0,2018-05-19T15:21:44+00:00,2018-05-19T15:24:09+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,22,0,1526744989.0,1526745154.0,2018-05-19T15:49:49+00:00,2018-05-19T15:52:34+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,28,0,1526742429.0,1526742574.0,2018-05-19T15:07:09+00:00,2018-05-19T15:09:34+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,3,0,1526743009.0,1526743154.0,2018-05-19T15:16:49+00:00,2018-05-19T15:19:14+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,5,0,1526753684.0,1526755369.0,2018-05-19T18:14:44+00:00,2018-05-19T18:42:49+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,4,0,1526755559.0,1526755804.0,2018-05-19T18:45:59+00:00,2018-05-19T18:50:04+00:00,5
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,7,0,1526743849.0,1526744014.0,2018-05-19T15:30:49+00:00,2018-05-19T15:33:34+00:00,6
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,6,0,1526757169.0,1526757319.0,2018-05-19T19:12:49+00:00,2018-05-19T19:15:19+00:00,2
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,9,0,1526743579.0,1526743724.0,2018-05-19T15:26:19+00:00,2018-05-19T15:28:44+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,98,0,1526756644.0,1526756909.0,2018-05-19T19:04:04+00:00,2018-05-19T19:08:29+00:00,5
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,59,0,1526754984.0,1526755249.0,2018-05-19T18:36:24+00:00,2018-05-19T18:40:49+00:00,5
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,10,0,1526744134.0,1526744279.0,2018-05-19T15:35:34+00:00,2018-05-19T15:37:59+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,13,0,1526754424.0,1526754669.0,2018-05-19T18:27:04+00:00,2018-05-19T18:31:09+00:00,5
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,15,0,1526744399.0,1526744544.0,2018-05-19T15:39:59+00:00,2018-05-19T15:42:24+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,17,0,1526755824.0,1526756074.0,2018-05-19T18:50:24+00:00,2018-05-19T18:54:34+00:00,5
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,19,0,1526742159.0,1526754104.0,2018-05-19T15:02:39+00:00,2018-05-19T18:21:44+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,18,0,1526754134.0,1526754394.0,2018-05-19T18:22:14+00:00,2018-05-19T18:26:34+00:00,5
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,33,0,1526753959.0,1526754109.0,2018-05-19T18:19:19+00:00,2018-05-19T18:21:49+00:00,3
2018,2018_74622252638746b2821d6822ae31527a_analysis.json,stint,32,0,1526754689.0,1526754934.0,2018-05-19T18:31:29+00:00,2018-05-19T18:35:34+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,77,0,1558199513.870232,1558199723.87043,2019-05-18T17:11:53.870232+00:00,2019-05-18T17:15:23.870430+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,10,0,1558208258.954807,1558208503.960087,2019-05-18T19:37:38.954807+00:00,2019-05-18T19:41:43.960087+00:00,7
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,28,0,1558202578.860761,1558202793.853216,2019-05-18T18:02:58.860761+00:00,2019-05-18T18:06:33.853216+00:00,4
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,15,0,1558209443.960129,1558209683.955886,2019-05-18T19:57:23.960129+00:00,2019-05-18T20:01:23.955886+00:00,8
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,60,0,1558194868.875969,1558195078.84023,2019-05-18T15:54:28.875969+00:00,2019-05-18T15:57:58.840230+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,88,0,1558212283.950806,1558212323.966653,2019-05-18T20:44:43.950806+00:00,2019-05-18T20:45:23.966653+00:00,1
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,63,0,1558196023.846146,1558196233.841428,2019-05-18T16:13:43.846146+00:00,2019-05-18T16:17:13.841428+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,66,0,1558211973.97174,1558212218.951426,2019-05-18T20:39:33.971740+00:00,2019-05-18T20:43:38.951426+00:00,9
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,25,0,1558209173.973068,1558209418.96018,2019-05-18T19:52:53.973068+00:00,2019-05-18T19:56:58.960180+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,39,0,1558196868.846786,1558197078.848207,2019-05-18T16:27:48.846786+00:00,2019-05-18T16:31:18.848207+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,27,0,1558207543.964259,1558207633.96639,2019-05-18T19:25:43.964259+00:00,2019-05-18T19:27:13.966390+00:00,3
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,20,0,1558192563.733992,1558192768.73441,2019-05-18T15:16:03.733992+00:00,2019-05-18T15:19:28.734410+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,21,0,1558191978.734024,1558192183.733642,2019-05-18T15:06:18.734024+00:00,2019-05-18T15:09:43.733642+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,22,0,1558196598.842386,1558196808.847107,2019-05-18T16:23:18.842386+00:00,2019-05-18T16:26:48.847107+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,23,0,1558193723.73575,1558193933.736843,2019-05-18T15:35:23.735750+00:00,2019-05-18T15:38:53.736843+00:00,6
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,19,0,1558195158.840667,1558195373.84536,2019-05-18T15:59:18.840667+00:00,2019-05-18T16:02:53.845360+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,18,0,1558192863.772469,1558193078.751766,2019-05-18T15:21:03.772469+00:00,2019-05-18T15:24:38.751766+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,30,0,1558196288.847643,1558196503.865886,2019-05-18T16:18:08.847643+00:00,2019-05-18T16:21:43.865886+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,42,0,1558206313.9546,1558206568.962846,2019-05-18T19:05:13.954600+00:00,2019-05-18T19:09:28.962846+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,5T,0,1558212573.956534,1558212573.956534,2019-05-18T20:49:33.956534+00:00,2019-05-18T20:49:33.956534+00:00,1
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,33,0,1558195748.848867,1558195958.845046,2019-05-18T16:09:08.848867+00:00,2019-05-18T16:12:38.845046+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,2,0,1558199213.849905,1558199423.853516,2019-05-18T17:06:53.849905+00:00,2019-05-18T17:10:23.853516+00:00,5
2019,2019_5250b13f10ce468d85c6ed97731ec2e3_1_analysis.json,lap,5,0,1558200078.872667,1558200173.845899,2019-05-18T17:21:18.872667+00:00,2019-05-18T17:22:53.845899+00:00,2
