year,file,page,line_no,section,section_length_miles,section_rank,car_number,driver_name,cet,session_elapsed,session_elapsed_s,reported_section_value,lap_number,raw_line,driver_key,car_key,entrant_key,elapsed_order_within_year
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,8,Lap,2.5,1,20,"Carpenter, Ed",D/C/F,00:39.2557,39.2557,229.266,0,"1 20 Carpenter, Ed D/C/F 00:39.2557 229.266 0",carpentered,20,carpentered__20,750
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,9,Lap,2.5,2,3,"Castroneves, Helio",D/C/F,00:39.2828,39.2828,229.108,1,"2 3 Castroneves, Helio D/C/F 00:39.2828 229.108 1",castroneveshelio,3,castroneveshelio__3,751
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,10,Lap,2.5,3,22,"Pagenaud, Simon",D/C/F,00:39.3977,39.3977,228.44,1,"3 22 Pagenaud, Simon D/C/F 00:39.3977 228.440 1",pagenaudsimon,22,pagenaudsimon__22,752
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,11,Lap,2.5,4,12,"Power, Will",D/C/F,00:39.4071,39.4071,228.385,3,"4 12 Power, Will D/C/F 00:39.4071 228.385 3",powerwill,12,powerwill__12,753
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,12,Lap,2.5,5,18,"Bourdais, Sebastien",D/H/F,00:39.4156,39.4156,228.336,0,"5 18 Bourdais, Sebastien D/H/F 00:39.4156 228.336 0",bourdaissebastien,18,bourdaissebastien__18,754
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,13,Lap,2.5,6,21,"Pigot, Spencer",D/C/F,00:39.4239,39.4239,228.288,1,"6 21 Pigot, Spencer D/C/F 00:39.4239 228.288 1",pigotspencer,21,pigotspencer__21,755
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,14,Lap,2.5,7,1,"Newgarden, Josef",D/C/F,00:39.4263,39.4263,228.274,0,"7 1 Newgarden, Josef D/C/F 00:39.4263 228.274 0",newgardenjosef,1,newgardenjosef__1,756
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,15,Lap,2.5,8,27,"Rossi, Alexander",D/H/F,00:39.4294,39.4294,228.256,5,"8 27 Rossi, Alexander D/H/F 00:39.4294 228.256 5",rossialexander,27,rossialexander__27,757
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,16,Lap,2.5,9,9,"Dixon, Scott",D/H/F,00:39.4394,39.4394,228.198,5,"9 9 Dixon, Scott D/H/F 00:39.4394 228.198 5",dixonscott,9,dixonscott__9,758
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,17,Lap,2.5,10,13,"Patrick, Danica",D/C/F,00:39.4684,39.4684,228.031,0,"10 13 Patrick, Danica D/C/F 00:39.4684 228.031 0",patrickdanica,13,patrickdanica__13,759
