year,file,page,section,section_length_miles,parsed_rows
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,1,Lap,2.5,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,2,SF to T1,0.187121,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,3,T1 to SS1,0.3125,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,4,SS1 to T2,0.3125,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,5,T2 to BS,0.3125,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,6,BS to T3,0.3125,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,7,T3 to SS2,0.3125,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,8,SS2 to T4,0.3125,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,9,T4 to FS,0.2,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,10,FS to SF,0.237879,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,11,T1 to T2,0.625,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,12,T2 to T3,0.625,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,13,T3 to T4,0.625,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,14,T4 to SF,0.437879,37
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,15,T1T to T1,0.022727,37
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,16,T2T to T2,0.022727,36
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,17,T3T to T3,0.022727,38
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,18,T4T to T4,0.022727,37
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,19,SF to SFT,0.031155,38
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,20,PT3 to PSS2,0.265152,30
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,21,PSS2 to PT4,0.265152,30
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,22,PT4 to PI,0.183712,30
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,23,PI to PO,0.441951,10
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,24,PO to SF,2.312879,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,25,SF to PI,2.300095,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,26,PO to BS,0.9375,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,27,BS to PI,1.121212,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,28,PO to PI,2.058712,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,29,PIC to PI,0.03589,35
2018,2018_5320_indycar-topsectiontimes-quals-day1.pdf,30,,,0
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,1,Lap,2.5,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,2,SF to T1,0.187121,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,3,T1 to SS1,0.3125,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,4,SS1 to T2,0.3125,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,5,T2 to BS,0.3125,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,6,BS to T3,0.3125,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,7,T3 to SS2,0.3125,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,8,SS2 to T4,0.3125,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,9,T4 to FS,0.2,38
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,10,FS to SF,0.237879,38
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,11,T1 to T2,0.625,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,12,T2 to T3,0.625,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,13,T3 to T4,0.625,38
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,14,T4 to SF,0.437879,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,15,T1T to T1,0.022727,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,16,T2T to T2,0.022727,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,17,T3T to T3,0.022727,39
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,18,T4T to T4,0.022727,39
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,19,SF to SFT,0.031155,38
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,20,PT3 to PSS2,0.265152,32
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,21,PSS2 to PT4,0.265152,32
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,22,PT4 to PI,0.183712,32
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,23,PI to PO,0.441951,19
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,24,PO to SF,2.312879,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,25,SF to PI,2.245833,36
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,26,PO to BS,0.9375,37
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,27,BS to PI,1.121212,36
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,28,PO to PI,2.058712,36
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,29,PIC to PI,0.03589,36
2019,2019_5565_indycar-topsectiontimes-quals-day1.pdf,30,,,0
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,1,Lap,2.5,34
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,2,Front Stretch 5,0.18712,34
2025,2025_6656_indycar-topsectiontimes-quals-day1.pdf,3,Turn 1 Entry,0.125947,34
