year,entrant_key,driver_name,car_number,timing_event_rows
2018,dixonscott__9,"Dixon, Scott",9,30
2018,harveyjack__60,"Harvey, Jack",60,30
2018,serviaoriol__64,"Servia, Oriol",64,30
2018,carpentered__20,"Carpenter, Ed",20,29
2018,clamandemelozachary__19,"Claman De Melo, Zachary (R)",19,29
2018,dalyconor__17,"Daly, Conor",17,29
2018,hildebrandjr__66,"Hildebrand, JR",66,29
2018,hinchcliffejames__5,"Hinchcliffe, James",5,29
2018,hunterreayryan__28,"Hunter-Reay, Ryan",28,29
2018,jonesed__10,"Jones, Ed",10,29
2018,leistmatheus__4,"Leist, Matheus (R)",4,29
2018,mannpippa__63,"Mann, Pippa",63,29
2018,powerwill__12,"Power, Will",12,29
2018,rahalgraham__15,"Rahal, Graham",15,29
2018,rossialexander__27,"Rossi, Alexander",27,29
2018,satotakuma__30,"Sato, Takuma",30,29
2018,bourdaissebastien__18,"Bourdais, Sebastien",18,28
2018,castroneveshelio__3,"Castroneves, Helio",3,28
2018,chavesgabby__88,"Chaves, Gabby",88,28
2018,davisonjames__33,"Davison, James",33,28
2018,kaiserkyle__32,"Kaiser, Kyle (R)",32,28
2018,kanaantony__14,"Kanaan, Tony",14,28
2018,karamsage__24,"Karam, Sage",24,28
2018,kimballcharlie__23,"Kimball, Charlie",23,28
2018,munozcarlos__29,"Munoz, Carlos",29,28
2018,newgardenjosef__1,"Newgarden, Josef",1,28
2018,patrickdanica__13,"Patrick, Danica",13,28
2018,pigotspencer__21,"Pigot, Spencer",21,28
2018,veachzach__26,"Veach, Zach",26,28
2018,wilsonstefan__25,"Wilson, Stefan",25,28
2018,andrettimarco__98,"Andretti, Marco",98,26
2018,pagenaudsimon__22,"Pagenaud, Simon",22,26
2018,wickensrobert__6,"Wickens, Robert (R)",6,26
2018,chiltonmax__59,"Chilton, Max",59,25
2018,howardjay__7,"Howard, Jay",7,25
2019,rossialexander__27,"Rossi, Alexander",27,31
2019,castroneveshelio__3,"Castroneves, Helio",3,30
2019,dalyconor__25,"Daly, Conor",25,30
2019,kingjordan__42,"King, Jordan (R)",42,30
2019,rahalgraham__15,"Rahal, Graham",15,30
2019,alonsofernando__66,"Alonso, Fernando",66,29
2019,andrettimarco__98,"Andretti, Marco",98,29
2019,bourdaissebastien__18,"Bourdais, Sebastien",18,29
2019,chiltonmax__59,"Chilton, Max",59,29
2019,dixonscott__9,"Dixon, Scott",9,29
2019,hanleyben__81,"Hanley, Ben (R)",81,29
2019,hertacolton__88,"Herta, Colton (R)",88,29
2019,hildebrandjr__48,"Hildebrand, JR",48,29
2019,hinchcliffejames__5T,"Hinchcliffe, James",5T,29
2019,kaiserkyle__32,"Kaiser, Kyle",32,29
2019,karamsage__24,"Karam, Sage",24,29
2019,owardpatricio__31,"O'Ward, Patricio (R)",31,29
2019,powerwill__12,"Power, Will",12,29
2019,rosenqvistfelix__10,"Rosenqvist, Felix (R)",10,29
2019,carpentered__20,"Carpenter, Ed",20,28
2019,davisonjames__33,"Davison, James",33,28
2019,ericssonmarcus__7,"Ericsson, Marcus (R)",7,28
2019,harveyjack__60,"Harvey, Jack",60,28
2019,hunterreayryan__28,"Hunter-Reay, Ryan",28,28
2019,jonesed__63,"Jones, Ed",63,28
