scenario,horizon_min,expected_delta_speed_mph,p_improve,lower_80_mph,upper_80_mph,lower_90_mph,upper_90_mph
cooling,15,-0.054432,0.44594,-0.782540,0.687917,-1.275433,1.150164
cooling,30,-0.102471,0.40782,-0.834236,0.655405,-1.321165,1.119639
cooling,60,-0.203068,0.34118,-0.988170,0.551004,-1.420514,1.038300
cooling,90,-0.291977,0.28572,-1.109110,0.456296,-1.537576,0.965602
cooling,120,-0.359274,0.24878,-1.201032,0.395663,-1.620435,0.908742
neutral,15,-0.020194,0.47920,-0.738168,0.713457,-1.224958,1.184151
neutral,30,-0.034924,0.47334,-0.759246,0.701125,-1.247835,1.170208
neutral,60,-0.067463,0.44468,-0.822098,0.675810,-1.289240,1.163217
neutral,90,-0.084360,0.43386,-0.850850,0.670415,-1.313306,1.152392
neutral,120,-0.100256,0.42122,-0.905380,0.641164,-1.331673,1.138285
warming,15,0.028595,0.52820,-0.713485,0.754895,-1.186723,1.236875
warming,30,0.047455,0.54506,-0.681023,0.783254,-1.161812,1.261687
warming,60,0.085575,0.56746,-0.667570,0.833761,-1.145435,1.314811
warming,90,0.116429,0.59878,-0.640937,0.876633,-1.111165,1.348804
warming,120,0.163536,0.62762,-0.624342,0.942514,-1.080167,1.419005
