case_id,event_year,car_or_entry_id,category,inference_supported_horizons_min,inference_abstained_horizons_min,historical_scoring_status,historical_scoring_anchor_horizon_min,realised_horizon_minutes,observed_delta_v,abstention_reason_codes
2021_car12,2021,12,CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,15;30;60;90;120,,ABSTAINED,,252.3,0.176,HORIZON_OUT_OF_SUPPORT
2021_car18,2021,18,CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,15;30;60;90;120,,ABSTAINED,,288.01666666666665,0.798,HORIZON_OUT_OF_SUPPORT
2021_car2,2021,2,CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,15;30;60;90;120,,ABSTAINED,,125.83333333333333,0.022,HORIZON_OUT_OF_SUPPORT
2021_car21,2021,21,CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,15;30;60;90;120,,ABSTAINED,,126.65,0.642,HORIZON_OUT_OF_SUPPORT
2021_car26,2021,26,CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,15;30;60;90;120,,ABSTAINED,,132.81666666666666,-1.419,HORIZON_OUT_OF_SUPPORT
2021_car4,2021,4,CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,15;30;60;90;120,,ABSTAINED,,241.71666666666667,-0.927,HORIZON_OUT_OF_SUPPORT
2021_car47,2021,47,CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,15;30;60;90;120,,ABSTAINED,,126.81666666666666,-0.154,HORIZON_OUT_OF_SUPPORT
2021_car60,2021,60,ILLUSTRATIVE_ONLY,15;30;60;90;120,,ILLUSTRATIVE_ONLY,60.0,64.13333333333334,4.695,NON_ANCHOR_EVALUATION_NOT_APPROVED
2021_car7,2021,7,CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,15;30;60;90;120,,ABSTAINED,,225.75,0.246,HORIZON_OUT_OF_SUPPORT
2021_car86,2021,86,CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,15;30;60;90;120,,ABSTAINED,,231.15,-0.154,HORIZON_OUT_OF_SUPPORT
2020_car20_excluded,2020,20,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2020_car3_excluded,2020,3,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2020_car47_excluded,2020,47,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2020_car5_excluded,2020,5,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2020_car59_excluded,2020,59,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2020_car60_excluded,2020,60,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2020_car8_excluded,2020,8,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2020_car81_excluded,2020,81,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2020_car88_excluded,2020,88,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2020_car9_excluded,2020,9,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2020_car9_excluded,2020,9,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2021_car16_excluded,2021,16,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2021_car25_excluded,2021,25,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2021_car25_excluded,2021,25,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2021_car98_excluded,2021,98,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2021_car98_excluded,2021,98,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car11_excluded,2023,11,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car27_excluded,2023,27,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car27_excluded,2023,27,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car29_excluded,2023,29,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car33_excluded,2023,33,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car33_excluded,2023,33,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car66_excluded,2023,66,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car66_excluded,2023,66,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car77_excluded,2023,77,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car8_excluded,2023,8,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car8_excluded,2023,8,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car9_excluded,2023,9,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2023_car6_excluded,2023,6,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2024_car21_excluded,2024,21,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
2024_car5_excluded,2024,5,ABSTAINED_INSUFFICIENT_TIMESTAMP,,,ABSTAINED,,,,INSUFFICIENT_ATTEMPT_TIMESTAMP
