event_id,event_year,event_time,event_type,car_or_entry_id,decision_snapshot_id,prediction_id,information_cutoff,payload,provenance_ids,input_hash,event_hash,evaluation_status,abstention_reason_codes
18:2021:APPLICABILITY_CHANGED:000026,2021,2021-05-22T16:19:56Z,APPLICABILITY_CHANGED,18,phase3:2021_car18,,2021-05-22T16:19:56Z,"{""category"": ""CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED"", ""historical_evaluation_support"": {""anchor_horizon_min"": null, ""status"": ""ABSTAINED""}, ""inference_support"": {""abstained_horizons_min"": [], ""supported_horizons_min"": [15, 30, 60, 90, 120]}, ""strategy_identifiability"": {""note"": ""This project does not model opportunity timing and never issues a strategy recommendation."", ""status"": ""NOT_MODELLED""}}",,,5243dd1cf8ffb367db9d8d47ab31bb4b3cece2f3dc734fca2b6db6af5d7dda9c,CONDITIONAL_OUTLOOK_SUPPORTED_BUT_HISTORICAL_SCORING_UNSUPPORTED,
18:2021:FORECAST_AVAILABLE:000016,2021,2021-05-22T16:19:56Z,FORECAST_AVAILABLE,18,phase3:2021_car18,,2021-05-22T16:19:56Z,"{""forecast_ambient_temp_c"": 27.023156738281273, ""forecast_issue_time"": ""2021-05-22T16:00:00Z"", ""forecast_valid_time"": ""2021-05-22T17:00:00Z"", ""horizon_minutes"": 15, ""valid_time_error_minutes"": 25.066666666666666}",HRRR:20210522:1:2021-05-22 16:00:00+00:00:2021-05-22 17:00:00+00:00,,609d6eea2b2129f4606c7021822e10da9ac610b5857d39ba839a24471e35a767,OK,
18:2021:FORECAST_AVAILABLE:000018,2021,2021-05-22T16:19:56Z,FORECAST_AVAILABLE,18,phase3:2021_car18,,2021-05-22T16:19:56Z,"{""forecast_ambient_temp_c"": 27.023156738281273, ""forecast_issue_time"": ""2021-05-22T16:00:00Z"", ""forecast_valid_time"": ""2021-05-22T17:00:00Z"", ""horizon_minutes"": 30, ""valid_time_error_minutes"": 10.066666666666666}",HRRR:20210522:1:2021-05-22 16:00:00+00:00:2021-05-22 17:00:00+00:00,,e38e8f52c24c92472719739dd8b158c02ab7e59380adc94d6491734a903b8684,OK,
18:2021:FORECAST_AVAILABLE:000020,2021,2021-05-22T16:19:56Z,FORECAST_AVAILABLE,18,phase3:2021_car18,,2021-05-22T16:19:56Z,"{""forecast_ambient_temp_c"": 27.023156738281273, ""forecast_issue_time"": ""2021-05-22T16:00:00Z"", ""forecast_valid_time"": ""2021-05-22T17:00:00Z"", ""horizon_minutes"": 60, ""valid_time_error_minutes"": 19.933333333333334}",HRRR:20210522:1:2021-05-22 16:00:00+00:00:2021-05-22 17:00:00+00:00,,d8d0606d1ff99de47a22b710bc7bf30c248933842a6c42314e79d296bb55c2ac,OK,
18:2021:FORECAST_AVAILABLE:000022,2021,2021-05-22T16:19:56Z,FORECAST_AVAILABLE,18,phase3:2021_car18,,2021-05-22T16:19:56Z,"{""forecast_ambient_temp_c"": 27.882348632812523, ""forecast_issue_time"": ""2021-05-22T16:00:00Z"", ""forecast_valid_time"": ""2021-05-22T18:00:00Z"", ""horizon_minutes"": 90, ""valid_time_error_minutes"": 10.066666666666666}",HRRR:20210522:2:2021-05-22 16:00:00+00:00:2021-05-22 18:00:00+00:00,,d85998ea3e6f572c553ce02e46154a03cbda1bd7065e78e75fbe6a46409ee8a4,OK,
18:2021:FORECAST_AVAILABLE:000024,2021,2021-05-22T16:19:56Z,FORECAST_AVAILABLE,18,phase3:2021_car18,,2021-05-22T16:19:56Z,"{""forecast_ambient_temp_c"": 27.882348632812523, ""forecast_issue_time"": ""2021-05-22T16:00:00Z"", ""forecast_valid_time"": ""2021-05-22T18:00:00Z"", ""horizon_minutes"": 120, ""valid_time_error_minutes"": 19.933333333333334}",HRRR:20210522:2:2021-05-22 16:00:00+00:00:2021-05-22 18:00:00+00:00,,11ad7420c898b9e3a60008e42297e916145491fa92989ed34dfab905c8cfa608,OK,
18:2021:PHYSICAL_STATE_OBSERVED:000015,2021,2021-05-22T16:19:56Z,PHYSICAL_STATE_OBSERVED,18,,,2021-05-22T16:19:56Z,"{""current_ambient_temp_c"": 26.666666666666668, ""current_track_temp_c"": 34.44444444444444}",,,f9c1c0ca8a35fb525e32492c67f6eb3388a16c3a1ff07c46698578f3480012e1,OK,
18:2021:SHADOW_INFERENCE_ISSUED:000017,2021,2021-05-22T16:19:56Z,SHADOW_INFERENCE_ISSUED,18,phase3:2021_car18,phase3:2021_car18:h15,2021-05-22T16:19:56Z,"{""applicability_status"": ""SUPPORTED"", ""conditional_physical_opportunity_value"": 0.023542664209894242, ""expected_delta_v"": 0.023542664209894242, ""explanation"": {""current_track_to_ambient_thermal_gap_c"": 7.777777777777775, ""forecast_ambient_trajectory_c"": {""current_ambient_temp_c"": 26.666666666666668, ""delta_ambient_temp_c"": 0.3564900716146049, ""forecast_future_ambient_temp_c"": 27.023156738281273}, ""note"": ""These are the exact closed-form M2b_mean_solar terms FINAL_V2's adapter already evaluates for this horizon (see final_v2_adapter.py); shown here for display only, not a separate model or decomposition."", ""predicted_future_track_temperature_change_c"": 1.1753122625796661, ""solar_elevation_mean_deg"": 64.84136625062905, ""uncertainty_source_reference"": {""interpretation"": ""Frozen V2-D sensitivity ablation: fraction of this horizon's 80% predictive-interval width attributable to removing empirical attempt-level performance residual uncertainty. This is a global, frozen reference for the horizon, not a decomposition specific to this one prediction."", ""pi80_width_reduction_vs_full_removing_empirical_residual"": 0.9042389450398576, ""source"": ""weather/output/v2d_uncertainty_ablation/v2d_uncertainty_ablation_width_reduction_v1.csv"", ""variant"": ""NO_RESIDUAL""}}, ""horizon_minutes"": 15, ""median_delta_v"": 0.026366583547943724, ""p_improve"": 0.52415, ""pi80_high"": 0.7784797928632063, ""pi80_low"": -0.7185296998122632, ""pi90_high"": 1.2428663174498547, ""pi90_low"": -1.1894665722808855, ""queue_time_prediction"": ""NOT MODELLED"", ""retain_withdraw_recommendation"": ""NOT ISSUED""}",HRRR:20210522:1:2021-05-22 16:00:00+00:00:2021-05-22 17:00:00+00:00;008900eb428ad820bea907f91fe7c77a7e5965b56e20993b5acf9aed7627099d,1834deded20719dcc8d249f595039a4ce4a0a44387d7445cdd2f85963a46c671,aa3556dc09df9f15f6ef801f443f3f1c75894ee86b39662b51aa07372bf8c61d,SUPPORTED,
18:2021:SHADOW_INFERENCE_ISSUED:000019,2021,2021-05-22T16:19:56Z,SHADOW_INFERENCE_ISSUED,18,phase3:2021_car18,phase3:2021_car18:h30,2021-05-22T16:19:56Z,"{""applicability_status"": ""SUPPORTED"", ""conditional_physical_opportunity_value"": -0.014704925555070202, ""expected_delta_v"": -0.014704925555070202, ""explanation"": {""current_track_to_ambient_thermal_gap_c"": 7.777777777777775, ""forecast_ambient_trajectory_c"": {""current_ambient_temp_c"": 26.666666666666668, ""delta_ambient_temp_c"": 0.3564900716146049, ""forecast_future_ambient_temp_c"": 27.023156738281273}, ""note"": ""These are the exact closed-form M2b_mean_solar terms FINAL_V2's adapter already evaluates for this horizon (see final_v2_adapter.py); shown here for display only, not a separate model or decomposition."", ""predicted_future_track_temperature_change_c"": 2.1527287550764465, ""solar_elevation_mean_deg"": 65.7104552696424, ""uncertainty_source_reference"": {""interpretation"": ""Frozen V2-D sensitivity ablation: fraction of this horizon's 80% predictive-interval width attributable to removing empirical attempt-level performance residual uncertainty. This is a global, frozen reference for the horizon, not a decomposition specific to this one prediction."", ""pi80_width_reduction_vs_full_removing_empirical_residual"": 0.8554256022935537, ""source"": ""weather/output/v2d_uncertainty_ablation/v2d_uncertainty_ablation_width_reduction_v1.csv"", ""variant"": ""NO_RESIDUAL""}}, ""horizon_minutes"": 30, ""median_delta_v"": -0.01141578422625935, ""p_improve"": 0.4908, ""pi80_high"": 0.7542581101229665, ""pi80_low"": -0.7504930690367136, ""pi90_high"": 1.2158078282491573, ""pi90_low"": -1.232716706287916, ""queue_time_prediction"": ""NOT MODELLED"", ""retain_withdraw_recommendation"": ""NOT ISSUED""}",HRRR:20210522:1:2021-05-22 16:00:00+00:00:2021-05-22 17:00:00+00:00;008900eb428ad820bea907f91fe7c77a7e5965b56e20993b5acf9aed7627099d,1834deded20719dcc8d249f595039a4ce4a0a44387d7445cdd2f85963a46c671,72ec4ff23420d7e3c195510801f7ebe6331d1b300cbd9a1e6475df4b465c5a1a,SUPPORTED,
18:2021:SHADOW_INFERENCE_ISSUED:000021,2021,2021-05-22T16:19:56Z,SHADOW_INFERENCE_ISSUED,18,phase3:2021_car18,phase3:2021_car18:h60,2021-05-22T16:19:56Z,"{""applicability_status"": ""SUPPORTED"", ""conditional_physical_opportunity_value"": -0.08326073420183538, ""expected_delta_v"": -0.08326073420183538, ""explanation"": {""current_track_to_ambient_thermal_gap_c"": 7.777777777777775, ""forecast_ambient_trajectory_c"": {""current_ambient_temp_c"": 26.666666666666668, ""delta_ambient_temp_c"": 0.3564900716146049, ""forecast_future_ambient_temp_c"": 27.023156738281273}, ""note"": ""These are the exact closed-form M2b_mean_solar terms FINAL_V2's adapter already evaluates for this horizon (see final_v2_adapter.py); shown here for display only, not a separate model or decomposition."", ""predicted_future_track_temperature_change_c"": 3.9413686450657455, ""solar_elevation_mean_deg"": 66.89032607832755, ""uncertainty_source_reference"": {""interpretation"": ""Frozen V2-D sensitivity ablation: fraction of this horizon's 80% predictive-interval width attributable to removing empirical attempt-level performance residual uncertainty. This is a global, frozen reference for the horizon, not a decomposition specific to this one prediction."", ""pi80_width_reduction_vs_full_removing_empirical_residual"": 0.798707118459242, ""source"": ""weather/output/v2d_uncertainty_ablation/v2d_uncertainty_ablation_width_reduction_v1.csv"", ""variant"": ""NO_RESIDUAL""}}, ""horizon_minutes"": 60, ""median_delta_v"": -0.07844789596369034, ""p_improve"": 0.43875, ""pi80_high"": 0.690788562252791, ""pi80_low"": -0.8713076081170378, ""pi90_high"": 1.179295575127549, ""pi90_low"": -1.3136483520322872, ""queue_time_prediction"": ""NOT MODELLED"", ""retain_withdraw_recommendation"": ""NOT ISSUED""}",HRRR:20210522:1:2021-05-22 16:00:00+00:00:2021-05-22 17:00:00+00:00;008900eb428ad820bea907f91fe7c77a7e5965b56e20993b5acf9aed7627099d,1834deded20719dcc8d249f595039a4ce4a0a44387d7445cdd2f85963a46c671,ec7a17dbfed91f15ed7f140f2b7200ebdbb2e621fe0264097d5d9a31af76f56e,SUPPORTED,
