year,anchor_text,url,status,http_status,local_path,bytes,sha256,downloaded_at_utc,notes
2021,Time Trials Day 1 (Top Section Times),https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-topsectiontimes-quals-day1.pdf,ALREADY_EXISTS,,weather/evidence/downloads/2021/2021-indycar-topsectiontimes-quals-day1.pdf,326934,3c791ca618313a3ff2702d076a27d13a6a9b9336ff75172fe26b04ce355efba8,,
2021,Time Trials Day 2 (Top Section Times),https://doctorindy.com/wp-content/uploads/2021/04/2021-indycar-topsectiontimes-quals-poleday-sunday.pdf,DOWNLOADED,200,weather/evidence/downloads/2021/2021-indycar-topsectiontimes-quals-poleday-sunday.pdf,241056,cbbb92e6381b4e466b5e31d5bf8ef8ad2ec164d86a9324aff1affb4156a44d65,2026-09-08T19:00:06.685705+00:00,
2021,Top Section Results,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-topsectiontimes-race.pdf,DOWNLOADED,200,weather/evidence/downloads/2021/2021-indycar-topsectiontimes-race.pdf,340453,29954911f802c0cf0f553bdbc76b402af8b197557e396d13eeee399bbb207a51,2026-09-08T19:01:22.747439+00:00,
2021,Morning Practice,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-p6.pdf,DOWNLOADED,200,weather/evidence/downloads/2021/2021-indycar-results-p6.pdf,817212,45a45bcfe24900daaaf112441b45a0fc5a9986eb5a3621ecf3d6c11d183d6974,2026-09-08T19:02:37.472106+00:00,
2021,Qualifying Draw Order,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-qualorder-Day1.pdf,DOWNLOADED,200,weather/evidence/downloads/2021/2021-indycar-qualorder-Day1.pdf,62218,2d619ed54d3abeee7d2c6572db97bcd2e248b8a00c63560872cca9efbddc4bdd,2026-09-08T19:03:52.655247+00:00,
2021,Time Trials Day 1 (Results),https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-results-quals-day1.pdf,DOWNLOADED,200,weather/evidence/downloads/2021/2021-indycar-results-quals-day1.pdf,828492,7c773e62d54478f04810531107fd3dec51cf840247b5828e1a12332276d9874a,2026-09-08T19:05:05.810822+00:00,
2021,Morning Practice,https://doctorindy.com/wp-content/uploads/2021/04/2021-indycar-results-p7-sun-morning.pdf,DOWNLOADED,200,weather/evidence/downloads/2021/2021-indycar-results-p7-sun-morning.pdf,816123,517874cd26924d4b52c63478152b6ffdf018cfb378f577d209a79169bc4cdfa6,2026-09-08T19:06:23.275992+00:00,
2021,Section Results,https://doctorindy.com/wp-content/uploads/2021/05/2021-indycar-sectionresults-race.pdf,DOWNLOADED,200,weather/evidence/downloads/2021/2021-indycar-sectionresults-race.pdf,4224549,34e5def24ee1c58f6cb4a7ee80cd7d4e5ff13af08005059999ee0bdadae2c3bb,2026-09-08T19:07:36.674416+00:00,
2024,Race Top Section Results,https://doctorindy.com/wp-content/uploads/2024/04/indycar-topsectiontimes-race-05-26-2024.pdf,DOWNLOADED,200,weather/evidence/downloads/2024/indycar-topsectiontimes-race-05-26-2024.pdf,1154615,998766307dc017e959550dcfc8eb4ddd06b7af2ffe9a21716ccf4f462a9b9cce,2026-09-08T19:10:51.362269+00:00,
2024,Friday 5/17/2024: Qualifying Draw Order,https://doctorindy.com/wp-content/uploads/2024/04/indycar-qualorder-2024Indy500.pdf,DOWNLOADED,200,weather/evidence/downloads/2024/indycar-qualorder-2024Indy500.pdf,282083,53ed817fd0642b66ac7a529810b044a4e2a43c9f5fae84d7f9a91fab0e426033,2026-09-08T19:12:06.846854+00:00,
2024,Saturday 5/18/2024: Morning Practice,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p6-05-18-2024-morn.pdf,DOWNLOADED,200,weather/evidence/downloads/2024/indycar-results-p6-05-18-2024-morn.pdf,835785,d1a14ce02e2ea322605be862ce7a8e8af5970bab821cebcdc40fcf0cc66eed7e,2026-09-08T19:13:22.766072+00:00,
2024,Saturday 5/18/2024: Time Trials – Day 1,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-quals-day1-05-18-2024.pdf,ALREADY_EXISTS,,weather/evidence/downloads/2024/indycar-results-quals-day1-05-18-2024.pdf,899358,088f2c2ad775b0e84d029f5e0a48a0a35a6de907c179c0ce5eca6c635810a700,,
2024,Sunday 5/19/2024: Morning Practice,https://doctorindy.com/wp-content/uploads/2024/04/indycar-results-p7-05-19-2024.pdf,FAILED,429,,,,,Repeated rate limiting
2024,Race Section Results,https://doctorindy.com/wp-content/uploads/2024/04/indycar-sectionresults-race-05-26-2024.pdf,DOWNLOADED,200,weather/evidence/downloads/2024/indycar-sectionresults-race-05-26-2024.pdf,8033181,646b2891e22c62833c5bac336336217601c01a6963af4a2514fc92a335c0d1df,2026-09-08T19:20:50.677077+00:00,
2024,Qualifying Procedure,https://doctorindy.com/wp-content/uploads/2024/04/indycar-qual-explainer-2024Indy500.pdf,DOWNLOADED,200,weather/evidence/downloads/2024/indycar-qual-explainer-2024Indy500.pdf,751595,36bd656acb7ce31c65a9c4f46d8e396ff82f4192371cc66bb582180e7ee74320,2026-09-08T19:22:05.669704+00:00,
