year,session_date,local_time,source_sheet,source_row_index,source_block_occurrence,ambient_f,ambient_c,track_f,track_c,humidity,wind_raw,wind,wind_direction,pressure_raw,pressure,pressure_quality,sensor_1_name,sensor_1_f,sensor_2_name,sensor_2_f,sensor_3_name,sensor_3_f,sensor_4_name,sensor_4_f,sensor_avg_f,exclusion_reason
2022,2022-05-21,12:00:00,2022 Temp Archive,408,2,62.0,16.666666666666668,85.0,29.444444444444443,0.67,8,8.0,N,29.43,29.43,VALID,I2,87.6,I3T,81.0,I5,85.8,I6,87.4,85.44999999999999,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,12:15:00,2022 Temp Archive,409,2,63.0,17.22222222222222,87.0,30.555555555555557,0.66,7,7.0,N,29.43,29.43,VALID,I2,88.3,I3T,82.1,I5,88.7,I6,90.1,87.29999999999998,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,12:30:00,2022 Temp Archive,410,2,63.0,17.22222222222222,88.0,31.11111111111111,0.65,8,8.0,N,29.44,29.44,VALID,I2,90.5,I3T,83.5,I5,89.1,I6,90.1,88.30000000000001,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,12:45:00,2022 Temp Archive,411,2,63.0,17.22222222222222,89.0,31.666666666666668,0.65,2,2.0,NNW,29.45,29.45,VALID,I2,91.6,I3T,84.2,I5,90.3,I6,91.0,89.275,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,13:00:00,2022 Temp Archive,412,2,63.0,17.22222222222222,90.0,32.22222222222222,0.64,4,4.0,NNW,29.45,29.45,VALID,I2,91.8,I3T,85.1,I5,90.9,I6,91.4,89.79999999999998,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,13:15:00,2022 Temp Archive,413,2,64.0,17.77777777777778,90.0,32.22222222222222,0.62,5,5.0,NNE,29.46,29.46,VALID,I2,92.3,I3T,84.9,I5,91.4,I6,91.8,90.10000000000001,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,13:30:00,2022 Temp Archive,414,2,64.0,17.77777777777778,91.0,32.77777777777778,0.59,3,3.0,NNW,29.45,29.45,VALID,I2,93.6,I3T,86.4,I5,91.6,I6,92.3,90.97500000000001,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,13:45:00,2022 Temp Archive,415,2,64.0,17.77777777777778,94.0,34.44444444444444,5.58,9,9.0,NNW,29.46,29.46,VALID,I2,96.3,I3T,88.7,I5,94.8,I6,95.7,93.875,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,14:00:00,2022 Temp Archive,416,2,64.0,17.77777777777778,97.0,36.111111111111114,0.54,4,4.0,N,29.46,29.46,VALID,I2,99.3,I3T,91.2,I5,98.1,I6,99.3,96.97500000000001,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,15:30:00,2022 Temp Archive,417,2,66.0,18.88888888888889,108.0,42.22222222222222,0.42,N,,NNW,29.47,29.47,VALID,I2,109.8,I3T,104.7,I5,108.5,I6,108.5,107.875,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,15:45:00,2022 Temp Archive,418,2,67.0,19.444444444444443,109.0,42.77777777777778,0.43,2,2.0,NNE,29.46,29.46,VALID,I2,112.5,I3T,108.0,I5,111.6,I6,103.8,108.97500000000001,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,16:00:00,2022 Temp Archive,419,2,66.0,18.88888888888889,110.0,43.333333333333336,0.43,4,4.0,NE,29.46,29.46,VALID,I2,112.8,I3T,110.7,I5,112.3,I6,103.8,109.9,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,16:15:00,2022 Temp Archive,420,2,68.0,20.0,110.0,43.333333333333336,0.42,4,4.0,N,29.47,29.47,VALID,I2,112.1,I3T,109.9,I5,112.3,I6,105.4,109.92500000000001,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
2022,2022-05-21,16:30:00,2022 Temp Archive,421,2,67.0,19.444444444444443,108.0,42.22222222222222,0.41,3,3.0,NNW,29.47,29.47,VALID,I2,110.3,I3T,108.0,I5,110.8,I6,104.5,108.4,DUPLICATE_SOURCE_DATE_BLOCK_NOT_SELECTED_FOR_DAY1
