anchor_text,url,domain,file_type,relevance_score,matched_keywords
FirestoneTemps.xlsx,https://ptscin.com/wp-content/uploads/2025/06/FirestoneTemperatures.xlsx,ptscin.com,XLSX,3,firestone; temperature; temp
Indy NXT by Firestone,https://ptscin.com/indynxt/,ptscin.com,PAGE_OR_OTHER,2,firestone; indy
2014 Indy GP Qualifying,https://ptscin.com/wp-content/uploads/2025/06/2014-Indy-GP-Quals.png,ptscin.com,PAGE_OR_OTHER,1,indy
2014 Indy GP Race,https://ptscin.com/wp-content/uploads/2025/06/2014-GP-of-Indy.png,ptscin.com,PAGE_OR_OTHER,1,indy
2015 Indy GP Race,https://ptscin.com/wp-content/uploads/2025/06/GP-of-Indy-Race.png,ptscin.com,PAGE_OR_OTHER,1,indy
2016 Indy GP Qualifying,https://ptscin.com/wp-content/uploads/2025/06/IndyGP16-Qualifying-Chart.bmp,ptscin.com,PAGE_OR_OTHER,1,indy
2016 Indy GP Race,https://ptscin.com/wp-content/uploads/2025/06/IndyGP16-Race-Chart.png,ptscin.com,PAGE_OR_OTHER,1,indy
2017 Indy GP Qualifying,https://ptscin.com/wp-content/uploads/2025/06/IndyGP2017Qual.png,ptscin.com,PAGE_OR_OTHER,1,indy
2017 Indy GP Race,https://ptscin.com/wp-content/uploads/2025/06/IndyGPRace2017.png,ptscin.com,PAGE_OR_OTHER,1,indy
2018 Indy GP Qualifying,https://ptscin.com/wp-content/uploads/2025/06/IndyGPQual2018.png,ptscin.com,PAGE_OR_OTHER,1,indy
2018 Indy GP Race,https://ptscin.com/wp-content/uploads/2025/06/IndyGPRace18.png,ptscin.com,PAGE_OR_OTHER,1,indy
2019 COTA Qualifying,https://ptscin.com/wp-content/uploads/2025/06/IndyCar-Classic-Qual.png,ptscin.com,PAGE_OR_OTHER,1,indy
2019 COTA Race,https://ptscin.com/wp-content/uploads/2025/06/INDYCAR-Classic-2019.png,ptscin.com,PAGE_OR_OTHER,1,indy
2019 Indy GP Qualifying,https://ptscin.com/wp-content/uploads/2025/06/IndyCar-GP-Qual-2019.png,ptscin.com,PAGE_OR_OTHER,1,indy
2019 Indy GP Race,https://ptscin.com/wp-content/uploads/2025/06/Indy-GP-Race-5-11-19.png,ptscin.com,PAGE_OR_OTHER,1,indy
2020 Indy GP 1 Qualifying,https://ptscin.com/wp-content/uploads/2025/06/GMR-Grand-Prix-Qual-Combined.png,ptscin.com,PAGE_OR_OTHER,1,indy
