fold_id,fold_role,test_year,train_years,model_name,train_rows,test_rows,mae_mph,rmse_mph,r2,mean_error_pred_minus_actual_mph,median_absolute_error_mph,max_absolute_error_mph,model_policy_hash
PRIMARY_LOYO_2020,PRIMARY,2020,"2021,2023",MEAN_BASELINE,77,39,1.6408857808857862,2.6757467546159255,-0.45882304348404945,1.5006047286047384,0.9181688311688276,9.927168831168842,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,"2021,2023",RIDGE,77,39,2.957604816443895,3.229125176538885,-1.1246253623801787,-2.343594038267476,3.254056278742155,6.141780229384722,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,"2021,2023",ELASTIC_NET,77,39,2.0655093673145517,3.0695689017336756,-0.9198503297246381,1.815420918426325,1.1014771422855745,10.664051212749797,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,"2021,2023",RANDOM_FOREST,77,39,1.7258292298684574,2.7089818757191435,-0.49528783099006946,1.6227112654567935,1.0503383534670547,9.962825129566482,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2020,PRIMARY,2020,"2021,2023",HIST_GRADIENT_BOOSTING,77,39,1.8012128786908994,2.6327810947987946,-0.4123492433691345,1.5792792906154887,1.2544639569391904,9.35822899740461,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,"2020,2023",MEAN_BASELINE,67,49,0.9838196771245908,1.369307291688873,-0.29813629681675,0.6562180932074527,0.7738507462686641,5.149850746268669,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,"2020,2023",RIDGE,67,49,4.868372334133725,5.31270580539515,-18.541144044959,4.7625567313361925,5.165936105569699,11.085951481427117,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,"2020,2023",ELASTIC_NET,67,49,3.9735735427832855,4.362973919727065,-12.179037250203335,3.897234197976892,4.132445844695866,9.885515520774533,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,"2020,2023",RANDOM_FOREST,67,49,1.1545459475787085,1.5574613143391272,-0.6793955100592464,0.9983307276350896,1.0102464206715638,5.550518763415198,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2021,PRIMARY,2021,"2020,2023",HIST_GRADIENT_BOOSTING,67,49,2.0167252830957763,2.369699512513875,-2.8878097989331626,1.9899523808301038,1.8438736136980083,6.9720136791975165,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
PRIMARY_LOYO_2023,PRIMARY,2023,"2020,2021",MEAN_BASELINE,88,28,2.845780844155846,2.9421682374819413,-5.416514190080229,-2.703198051948054,2.959340909090912,3.811840909090904,599dee972901168e7297d02344e29079cd45fe0f34813db733b15470fcaab806
