feature_set_id,feature_name,feature_group,source_field,derivation,missingness_policy,included_v1,feature_set_hash
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,forecast_temp_c,HRRR_DERIVED_WEATHER,forecast_temp_c,same-cycle leakage-safe HRRR interpolation,NONE,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,forecast_relative_humidity_pct,HRRR_DERIVED_WEATHER,forecast_relative_humidity_pct,same-cycle leakage-safe HRRR interpolation,NONE,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,forecast_wind_speed_10m_ms,HRRR_DERIVED_WEATHER,forecast_wind_speed_10m_ms,same-cycle leakage-safe HRRR interpolation,NONE,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,forecast_wind_direction_sin,WEATHER_WIND_DIRECTION,forecast_wind_direction_deg,sin/cos circular encoding,NONE,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,forecast_wind_direction_cos,WEATHER_WIND_DIRECTION,forecast_wind_direction_deg,sin/cos circular encoding,NONE,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,forecast_pressure_hpa,HRRR_DERIVED_WEATHER,forecast_pressure_hpa,same-cycle leakage-safe HRRR interpolation,NONE,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,forecast_cloud_cover_pct,HRRR_DERIVED_WEATHER,forecast_cloud_cover_pct,same-cycle leakage-safe HRRR interpolation,NONE,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,forecast_shortwave_radiation_wm2,HRRR_DERIVED_WEATHER,forecast_shortwave_radiation_wm2,same-cycle leakage-safe HRRR interpolation,NONE,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,prior_supported_attempt_count,PRIOR_ATTEMPT_CONTEXT,prior_supported_attempt_count,direct,NONE,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,seconds_since_prior_supported_attempt,PRIOR_ATTEMPT_CONTEXT,seconds_since_prior_supported_attempt,direct with structural-zero imputation when no prior supported attempt,STRUCTURAL_ZERO_WITH_HAS_PRIOR_INDICATOR,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,best_prior_supported_average_speed_mph,PRIOR_ATTEMPT_CONTEXT,best_prior_supported_average_speed_mph,direct with structural-zero imputation when no prior supported attempt,STRUCTURAL_ZERO_WITH_HAS_PRIOR_INDICATOR,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
ATTEMPT_PERFORMANCE_FEATURE_SET_V1,has_prior_supported_attempt,PRIOR_ATTEMPT_CONTEXT,prior_supported_attempt_count,1 if prior count > 0 else 0,NONE,True,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4
