metric,value,status
output_rows_equal_40,1.0,PASS
current_attempt_id_unique,1.0,PASS
year_counts_match_expected,1.0,PASS
all_baseline_attempt_ids_present,1.0,PASS
all_baseline_speeds_present,1.0,PASS
all_current_speeds_present,1.0,PASS
all_delta_targets_present,1.0,PASS
all_baseline_time_deltas_positive,1.0,PASS
all_lineage_hashes_present,1.0,PASS
primary_rows_equal_39,1.0,PASS
sensitivity_2024_rows_equal_1,1.0,PASS
output_rows,40.0,INFO
primary_rows,39.0,INFO
target_delta_mean_mph,0.36702500000000243,INFO
target_delta_median_mph,0.14050000000000296,INFO
target_delta_mae_vs_zero_baseline_mph,0.5524250000000024,INFO
target_delta_rmse_vs_zero_baseline_mph,1.077187437264285,INFO
immediately_previous_baseline_rows,36.0,INFO
