metric,value,status
model_rows_equal_123,1,PASS
attempt_id_unique,1,PASS
final_feature_count_equal_12,1,PASS
all_final_features_complete,1,PASS
year_counts_match_expected,1,PASS
no_excluded_redundant_or_leakage_columns,1,PASS
wind_direction_encoding_valid,1,PASS
first_attempt_structural_seconds_null_in_source,1,PASS
first_attempt_structural_best_speed_null_in_source,1,PASS
repeat_attempt_seconds_present_in_source,1,PASS
repeat_attempt_best_speed_present_in_source,1,PASS
primary_fold_count_equal_3,1,PASS
sensitivity_fold_count_equal_1,1,PASS
model_rows,123,INFO
feature_count,12,INFO
feature_set_hash,f67c11b217f60b67868ddafd050d5a900f708364de2f3d0e10e7b4e10e749fa4,INFO
validation_protocol_hash,4f26fae389c94fb9756cb1fb004a3c515130f9089dbc31516414eebbe182f812,INFO
