path,file_type,read_ok,row_count,field_count,years,time_like_fields,identity_like_fields,has_time_like_field,error
weather/evidence/rescue/official_day1_session_details/raw_api/2020_5771_session_details.json,.json,True,59,34,,"[""BestLapTime"", ""ElapsedTime"", ""EventsSessionsDetailsID"", ""EventsSessionsID"", ""PositionStart"", ""TimesLed""]","[""BestLapTime"", ""BestSpeed"", ""BestSpeedFormatted"", ""CarNumber"", ""DriverName"", ""DriverOverrideID"", ""DriverUrl"", ""DriversID"", ""ElapsedTime"", ""EventsEntrylistID"", ""EventsSessionsDetailsID"", ""EventsSessionsID"", ""InLap"", ""LapsComplete"", ""LapsDown"", ""LapsLed"", ""QualLap1"", ""QualLap2"", ""QualLap3"", ""QualLap4"", ""SpeedAvg"", ""SpeedAvgFormatted"", ""Status""]",True,
weather/evidence/rescue/official_day1_session_details/raw_api/2021_5838_session_details.json,.json,True,59,34,,"[""BestLapTime"", ""ElapsedTime"", ""EventsSessionsDetailsID"", ""EventsSessionsID"", ""PositionStart"", ""TimesLed""]","[""BestLapTime"", ""BestSpeed"", ""BestSpeedFormatted"", ""CarNumber"", ""DriverName"", ""DriverOverrideID"", ""DriverUrl"", ""DriversID"", ""ElapsedTime"", ""EventsEntrylistID"", ""EventsSessionsDetailsID"", ""EventsSessionsID"", ""InLap"", ""LapsComplete"", ""LapsDown"", ""LapsLed"", ""QualLap1"", ""QualLap2"", ""QualLap3"", ""QualLap4"", ""SpeedAvg"", ""SpeedAvgFormatted"", ""Status""]",True,
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,.json,True,44,34,,"[""BestLapTime"", ""ElapsedTime"", ""EventsSessionsDetailsID"", ""EventsSessionsID"", ""PositionStart"", ""TimesLed""]","[""BestLapTime"", ""BestSpeed"", ""BestSpeedFormatted"", ""CarNumber"", ""DriverName"", ""DriverOverrideID"", ""DriverUrl"", ""DriversID"", ""ElapsedTime"", ""EventsEntrylistID"", ""EventsSessionsDetailsID"", ""EventsSessionsID"", ""InLap"", ""LapsComplete"", ""LapsDown"", ""LapsLed"", ""QualLap1"", ""QualLap2"", ""QualLap3"", ""QualLap4"", ""SpeedAvg"", ""SpeedAvgFormatted"", ""Status""]",True,
weather/evidence/rescue/official_day1_session_details/raw_api/2023_6202_session_details.json,.json,True,34,34,,"[""BestLapTime"", ""ElapsedTime"", ""EventsSessionsDetailsID"", ""EventsSessionsID"", ""PositionStart"", ""TimesLed""]","[""BestLapTime"", ""BestSpeed"", ""BestSpeedFormatted"", ""CarNumber"", ""DriverName"", ""DriverOverrideID"", ""DriverUrl"", ""DriversID"", ""ElapsedTime"", ""EventsEntrylistID"", ""EventsSessionsDetailsID"", ""EventsSessionsID"", ""InLap"", ""LapsComplete"", ""LapsDown"", ""LapsLed"", ""QualLap1"", ""QualLap2"", ""QualLap3"", ""QualLap4"", ""SpeedAvg"", ""SpeedAvgFormatted"", ""Status""]",True,
weather/evidence/rescue/official_day1_session_details/raw_api/2024_6382_session_details.json,.json,True,34,34,,"[""BestLapTime"", ""ElapsedTime"", ""EventsSessionsDetailsID"", ""EventsSessionsID"", ""PositionStart"", ""TimesLed""]","[""BestLapTime"", ""BestSpeed"", ""BestSpeedFormatted"", ""CarNumber"", ""DriverName"", ""DriverOverrideID"", ""DriverUrl"", ""DriversID"", ""ElapsedTime"", ""EventsEntrylistID"", ""EventsSessionsDetailsID"", ""EventsSessionsID"", ""InLap"", ""LapsComplete"", ""LapsDown"", ""LapsLed"", ""QualLap1"", ""QualLap2"", ""QualLap3"", ""QualLap4"", ""SpeedAvg"", ""SpeedAvgFormatted"", ""Status""]",True,
weather/evidence/rescue/official_indy500_correct_series/2020_events_by_year_series_correct.json,.json,True,14,3,,"[""Sessions""]","[""EventID"", ""EventName"", ""Sessions""]",True,
weather/evidence/rescue/official_indy500_correct_series/2021_events_by_year_series_correct.json,.json,True,16,3,,"[""Sessions""]","[""EventID"", ""EventName"", ""Sessions""]",True,
weather/evidence/rescue/official_indy500_correct_series/2022_events_by_year_series_correct.json,.json,True,17,3,,"[""Sessions""]","[""EventID"", ""EventName"", ""Sessions""]",True,
weather/evidence/rescue/official_indy500_correct_series/2023_events_by_year_series_correct.json,.json,True,17,3,,"[""Sessions""]","[""EventID"", ""EventName"", ""Sessions""]",True,
weather/evidence/rescue/official_indy500_correct_series/2024_events_by_year_series_correct.json,.json,True,18,3,,"[""Sessions""]","[""EventID"", ""EventName"", ""Sessions""]",True,
