attempt_id,session_id,year,car_number,driver_name,car_attempt_index,four_lap_average_speed_mph,canonical_result_status,attempt_class,official_result_row,official_status,chronology_evidence_rows,constraint_classes,has_bounded_interval,has_approximate_time,has_ordering_only,coverage_status,repeated_attempt,decision_status_candidate,rescue_priority,rescue_reason,canonical_mutated
cef4544c-d721-54eb-bf70-ce8535756a5e,INDY500_DAY1_2022,2022,21,Rinus VeeKay,1,233.655,VALID_RETAINED,A_COMPLETE,1,,1,BOUNDED_INTERVAL,True,False,False,CHRONOLOGY_TIME_BOUNDED,False,False,LOW,Already has usable bounded chronology.,False
e2318f1b-020c-5e41-abb3-2159a17b3a27,INDY500_DAY1_2022,2022,5,Pato O'Ward,1,233.037,VALID_RETAINED,A_COMPLETE,2,,1,BOUNDED_INTERVAL,True,False,False,CHRONOLOGY_TIME_BOUNDED,False,False,LOW,Already has usable bounded chronology.,False
8c6dd650-69c2-52af-8840-a92c88cb517e,INDY500_DAY1_2022,2022,7,Felix Rosenqvist,1,232.775,VALID_RETAINED,A_COMPLETE,3,,1,BOUNDED_INTERVAL,True,False,False,CHRONOLOGY_TIME_BOUNDED,False,False,LOW,Already has usable bounded chronology.,False
e10faf3a-59f8-5528-9a9b-1ea63c1322c9,INDY500_DAY1_2022,2022,10,Alex Palou,1,232.774,VALID_RETAINED,A_COMPLETE,4,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
a21e6e46-405e-5d8b-933f-63c35adeec21,INDY500_DAY1_2022,2022,1,Tony Kanaan,1,232.625,VALID_RETAINED,A_COMPLETE,5,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
98dc390f-b38c-5384-b51e-9f479c8859a6,INDY500_DAY1_2022,2022,48,Jimmie Johnson,1,232.398,VALID_RETAINED,A_COMPLETE,6,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
db54aa3f-0c36-5472-94f1-5c4555dd1a53,INDY500_DAY1_2022,2022,33,Ed Carpenter,1,232.397,VALID_RETAINED,A_COMPLETE,7,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
6bdde501-b1fc-5382-8f09-3918fb5aa07e,INDY500_DAY1_2022,2022,8,Marcus Ericsson,1,232.275,VALID_RETAINED,A_COMPLETE,8,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
a49549a1-2253-5bd5-9923-b0b7fdbb20d7,INDY500_DAY1_2022,2022,28,Romain Grosjean,1,232.201,VALID_RETAINED,A_COMPLETE,9,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
ed8e8f45-6cb1-51cb-a3a7-3aa60a373517,INDY500_DAY1_2022,2022,9,Scott Dixon,1,232.151,VALID_RETAINED,A_COMPLETE,10,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
e614cc7e-1b9a-5642-8a8c-06eb73a962a5,INDY500_DAY1_2022,2022,12,Will Power,1,231.842,VALID_RETAINED,A_COMPLETE,11,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
21e8c99e-b04c-516d-85a8-ccfbaed7ff46,INDY500_DAY1_2022,2022,51,Takuma Sato,2,231.708,VALID_RETAINED,A_COMPLETE,12,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,True,False,HIGH,Repeated attempt is directly relevant to retain/withdraw/requeue decision chronology.,False
85c917fa-1c7a-52cb-a47f-468b4bdae9a5,INDY500_DAY1_2022,2022,18,David Malukas,2,231.607,VALID_RETAINED,A_COMPLETE,13,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,True,False,HIGH,Repeated attempt is directly relevant to retain/withdraw/requeue decision chronology.,False
83034975-303c-57b1-9190-95bc705d3941,INDY500_DAY1_2022,2022,2,Josef Newgarden,1,231.58,VALID_RETAINED,A_COMPLETE,14,,1,ORDERING_ONLY,False,False,True,CHRONOLOGY_ORDERING_ONLY,False,False,MEDIUM,Ordering recovered but no usable wall-clock interval.,False
50c1a7df-b227-5216-ba4d-c391ee794a68,INDY500_DAY1_2022,2022,23,Santino Ferrucci,1,231.508,VALID_RETAINED,A_COMPLETE,15,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
782b5ff7-fb2c-5c01-9209-dfd3f4cb289b,INDY500_DAY1_2022,2022,60,Simon Pagenaud,1,231.275,VALID_RETAINED,A_COMPLETE,16,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
0ac03a4b-263a-56b8-bf3f-4996c2968118,INDY500_DAY1_2022,2022,11,JR Hildebrand,1,231.112,VALID_RETAINED,A_COMPLETE,17,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
f63416c8-d69c-5ec9-b8bc-1a26aae11c44,INDY500_DAY1_2022,2022,20,Conor Daly,1,230.999,VALID_RETAINED,A_COMPLETE,18,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
8fa25fec-e5a6-5844-b3d7-f67c9dc91378,INDY500_DAY1_2022,2022,77,Callum Ilott,2,230.961,VALID_RETAINED,A_COMPLETE,19,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,True,False,HIGH,Repeated attempt is directly relevant to retain/withdraw/requeue decision chronology.,False
b3147013-0fda-5982-bea1-85788019ef89,INDY500_DAY1_2022,2022,27,Alexander Rossi,2,230.812,VALID_RETAINED,A_COMPLETE,20,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,True,False,HIGH,Repeated attempt is directly relevant to retain/withdraw/requeue decision chronology.,False
49123354-e908-58a8-a865-3e57e6184f5c,INDY500_DAY1_2022,2022,15,Graham Rahal,1,230.766,VALID_RETAINED,A_COMPLETE,21,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
2c453335-3a19-5653-8d5c-79d94db93028,INDY500_DAY1_2022,2022,24,Sage Karam,2,230.464,VALID_RETAINED,A_COMPLETE,22,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,True,False,HIGH,Repeated attempt is directly relevant to retain/withdraw/requeue decision chronology.,False
63982b5e-7639-5140-a6a2-702a77c2fc85,INDY500_DAY1_2022,2022,98,Marco Andretti,2,230.345,VALID_RETAINED,A_COMPLETE,23,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,True,False,HIGH,Repeated attempt is directly relevant to retain/withdraw/requeue decision chronology.,False
c8097625-d9cf-5926-bba2-649d12e5c0e0,INDY500_DAY1_2022,2022,29,Devlin DeFrancesco,1,230.326,VALID_RETAINED,A_COMPLETE,24,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
784d352d-2b04-566e-8aef-19317c10d0fa,INDY500_DAY1_2022,2022,26,Colton Herta,1,230.235,VALID_RETAINED,A_COMPLETE,25,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False
43d9c081-67f5-5d6f-8b48-9db0ac683a6c,INDY500_DAY1_2022,2022,3,Scott McLaughlin,2,230.154,VALID_RETAINED,A_COMPLETE,26,,1,DERIVED_BOUNDED_INTERVAL,True,False,False,CHRONOLOGY_TIME_BOUNDED,True,False,LOW,Already has usable bounded chronology.,False
90eea27e-6e83-5e24-8428-811eae3ff157,INDY500_DAY1_2022,2022,06,Helio Castroneves,2,229.63,VALID_RETAINED,A_COMPLETE,27,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,True,False,HIGH,Repeated attempt is directly relevant to retain/withdraw/requeue decision chronology.,False
