metric,value,status
official_sources_targeted,6,INFO
official_sources_fetched,6,PASS
candidate_sentences,64,PASS
high_priority_candidates,4,INFO
explicit_clock_time_candidates,21,INFO
session_interruption_candidates,5,INFO
action_or_lane_candidates,4,INFO
candidates_matched_to_result_rows,20,INFO
chronology_candidates_auto_promoted,0,PASS
vague_relative_time_auto_normalized,0,PASS
article_publication_time_used_as_attempt_time,0,PASS
result_row_order_used_as_chronology,0,PASS
canonical_data_mutated,0,PASS
