candidate_id,source_id,source_class,source_url,sentence_index,sentence,candidate_classes,explicit_clock_times,relative_time_terms,interruption_terms,attempt_terms,action_terms,session_terms,drivers_detected,speeds_detected_mph,matched_result_row_count,review_priority,normalized_time_lower_utc,normalized_time_upper_utc,normalized_ordering_relation,promotion_status,chronology_promoted,notes
R1G4-C0001,INDYCAR_2022_DAY1_RECAP,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-day1-quals,2,"Technology Terms to Know Official Rulebook Shop Schedule Results Results By Race Results By Driver Results By Season Standings Championship NTT P1 Award Rookie of the Year Firestone Pit Stop Performance Engine Manufacturer News Videos Drivers Teams 2026 Schedule How to Follow Add to Calendar Download 2026 Schedule INDY NXT Schedule Previous Races Aug 30 1:00 PM ET Snap-on Milwaukee Mile 250 Milwaukee Mile West Allis, Wisconsin 2026 Winner Pato O'Ward 2026 Winner Pato O'Ward (R2) Race Recap Aug 30 6:00 PM ET Snap-on Makers and Fixers 250 Milwaukee Mile West Allis, Wisconsin 2026 Winner Pato O'Ward 2026 Winner Pato O'Ward (R1) Race Recap Sep 6 2:30 PM ET Mission Foods Grand Prix of Monterey WeatherTech Raceway Laguna Seca Monterey, California 2026 Winner Scott McLaughlin 2026 Winner Scott McLaughlin Race Recap Close Menu Toggle Menu Main Menu Schedule Results Standings News Videos Drivers Teams Fan Central INDYCAR 101 Shop Schedule 2026 Schedule How to Follow Add to Calendar Download 2026 Schedule INDY NXT Schedule Results Results By Race Results By Driver Results By Season Standings Championship NTT P1 Award Rookie of the Year Firestone Pit Stop Performance Engine Manufacturer Fan Central How to Follow INDYCAR App INDYCAR Radio Photo Galleries Fantasy Racing Chrome Web Extension INDYCAR Nation INDYCAR 101 INDYCAR 101 Home Meet the IR-28 The Basics What Makes INDYCAR Different?","[""EXPLICIT_CLOCK_TIME_MENTION"", ""DRIVER_SPECIFIC""]","[""1:00 PM"", ""6:00 PM"", ""2:30 PM"", ""00 PM"", ""30 PM""]",[],[],[],[],"[""weather""]","[{""driver"": ""Pato O'Ward"", ""car"": ""5""}, {""driver"": ""Scott McLaughlin"", ""car"": ""3""}]",[],3,LOW,,,,CANDIDATE_ONLY,False,Discovery candidate only. No vague language converted to timestamp automatically.
R1G4-C0002,INDYCAR_2022_DAY1_RECAP,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-day1-quals,9,"I think Ganassi is definitely our biggest rival out there for challenging for pole.” SEE: Saturday Qualifying Results | Qualifying Highlights | Qualifying Format Positions 13 through 33 in “The Greatest Spectacle in Racing” were set during today’s qualifying, which was interrupted twice by rain and lightning for a total of two hours, 14 minutes and cut short by 60 minutes.","[""SESSION_INTERRUPTION_OR_WEATHER""]",[],[],"[""rain"", ""lightning"", ""interrupted"", ""cut short""]",[],[],"[""qualifying""]",[],[],0,MEDIUM,,,,CANDIDATE_ONLY,False,Discovery candidate only. No vague language converted to timestamp automatically.
R1G4-C0003,INDYCAR_2022_DAY1_RECAP,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-day1-quals,10,"The second round of qualifying, for the 12 fastest drivers today, starts at 4 p.m. (ET) Sunday.","[""EXPLICIT_CLOCK_TIME_MENTION""]","[""4 p.m""]",[],[],[],[],"[""qualifying""]",[],[],0,LOW,,,,CANDIDATE_ONLY,False,Discovery candidate only. No vague language converted to timestamp automatically.
R1G4-C0004,INDYCAR_2022_DAY1_RECAP,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-day1-quals,11,"The six fastest drivers from that round will advance to the Firestone Fast Six, which starts at 5:10 p.m., and turn another four-lap qualifying run for the NTT P1 Award and its $100,000 prize.","[""EXPLICIT_CLOCK_TIME_MENTION"", ""ATTEMPT_OR_RUN_LANGUAGE""]","[""5:10 p.m"", ""10 p.m""]",[],[],"[""qualifying run""]",[],"[""qualifying""]",[],[],0,LOW,,,,CANDIDATE_ONLY,False,Discovery candidate only. No vague language converted to timestamp automatically.
R1G4-C0005,INDYCAR_2022_DAY1_RECAP,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-day1-quals,12,"Live coverage of the last two rounds of qualifying starts at 4 p.m. (ET) on NBC, with the INDYCAR Radio Network also providing coverage.","[""EXPLICIT_CLOCK_TIME_MENTION""]","[""4 p.m""]",[],[],[],[],"[""qualifying""]",[],[],0,LOW,,,,CANDIDATE_ONLY,False,Discovery candidate only. No vague language converted to timestamp automatically.
R1G4-C0006,INDYCAR_2022_DAY1_RECAP,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-day1-quals,15,"5 Arrow McLaren SP Chevrolet, followed by Rosenqvist at 232.775 in the No.","[""RELATIVE_TIME_OR_ORDERING_LANGUAGE""]",[],"[""followed""]",[],[],[],[],[],"[""232.775""]",0,LOW,,,,CANDIDATE_ONLY,False,Discovery candidate only. No vague language converted to timestamp automatically.
R1G4-C0007,INDYCAR_2022_DAY1_RECAP,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-day1-quals,17,Reigning NTT INDYCAR SERIES champion Alex Palou led a trio of Honda-powered Ganassi drivers in the next three spots.,"[""RELATIVE_TIME_OR_ORDERING_LANGUAGE"", ""DRIVER_SPECIFIC""]",[],"[""next""]",[],[],[],[],"[{""driver"": ""Alex Palou"", ""car"": ""10""}]",[],1,LOW,,,,CANDIDATE_ONLY,False,Discovery candidate only. No vague language converted to timestamp automatically.
R1G4-C0008,INDYCAR_2022_DAY1_RECAP,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-day1-quals,24,"“Watching them prepare literally since they left here last year and continually thinking of this race, and it being a motto to win here before the championship.","[""RELATIVE_TIME_OR_ORDERING_LANGUAGE""]",[],"[""before""]",[],[],[],[],[],[],0,LOW,,,,CANDIDATE_ONLY,False,Discovery candidate only. No vague language converted to timestamp automatically.
R1G4-C0009,INDYCAR_2022_DAY1_RECAP,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-day1-quals,26,"33 Alzamend Neuro Chevrolet after topping the morning practice with a single lap of 234.410, the fastest trip around the 2.5-mile IMS oval since 1996.","[""RELATIVE_TIME_OR_ORDERING_LANGUAGE""]",[],"[""after""]",[],[],[],[],[],"[""234.410""]",0,LOW,,,,CANDIDATE_ONLY,False,Discovery candidate only. No vague language converted to timestamp automatically.
R1G4-C0010,INDYCAR_2022_DAY1_RECAP,INDYCAR_OFFICIAL_EDITORIAL,https://www.indycar.com/news/2022/05/05-21-day1-quals,31,"9 PNC Bank Chip Ganassi Racing Honda, followed by 2018 “500” winner and current NTT INDYCAR SERIES points leader Will Power in 11th at 231.842 in the No.","[""RELATIVE_TIME_OR_ORDERING_LANGUAGE"", ""DRIVER_SPECIFIC""]",[],"[""followed""]",[],[],[],[],"[{""driver"": ""Will Power"", ""car"": ""12""}]","[""231.842""]",1,LOW,,,,CANDIDATE_ONLY,False,Discovery candidate only. No vague language converted to timestamp automatically.
