candidate_id,source_id,driver_name,car_number,speed_mph,official_result_row,official_result_status,official_result_source_file,official_result_source_line,match_semantic,chronology_promoted
R1G4-C0001,INDYCAR_2022_DAY1_RECAP,Pato O'Ward,5,233.037,2,,2022_6033_01_Results.txt,9,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0001,INDYCAR_2022_DAY1_RECAP,Scott McLaughlin,3,230.154,26,,2022_6033_01_Results.txt,33,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0001,INDYCAR_2022_DAY1_RECAP,Scott McLaughlin,3,231.543,34,Withdrawn,2022_6033_01_Results.txt,41,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0007,INDYCAR_2022_DAY1_RECAP,Alex Palou,10,232.774,4,,2022_6033_01_Results.txt,11,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0010,INDYCAR_2022_DAY1_RECAP,Will Power,12,231.842,11,,2022_6033_01_Results.txt,18,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0012,INDYCAR_2022_DAY1_RECAP,Marco Andretti,98,230.345,23,,2022_6033_01_Results.txt,30,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0012,INDYCAR_2022_DAY1_RECAP,Marco Andretti,98,226.108,39,Retired,2022_6033_01_Results.txt,46,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0018,INDYCAR_2022_DAY1_RECAP,Scott McLaughlin,3,230.154,26,,2022_6033_01_Results.txt,33,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0018,INDYCAR_2022_DAY1_RECAP,Scott McLaughlin,3,231.543,34,Withdrawn,2022_6033_01_Results.txt,41,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0018,INDYCAR_2022_DAY1_RECAP,Alex Palou,10,232.774,4,,2022_6033_01_Results.txt,11,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0020,INDYCAR_2022_SATO_BUZZ,Pato O'Ward,5,233.037,2,,2022_6033_01_Results.txt,9,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0020,INDYCAR_2022_SATO_BUZZ,Scott McLaughlin,3,230.154,26,,2022_6033_01_Results.txt,33,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0020,INDYCAR_2022_SATO_BUZZ,Scott McLaughlin,3,231.543,34,Withdrawn,2022_6033_01_Results.txt,41,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0021,INDYCAR_2022_SATO_BUZZ,Takuma Sato,51,231.708,12,,2022_6033_01_Results.txt,19,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0021,INDYCAR_2022_SATO_BUZZ,Takuma Sato,51,232.196,33,Failed Attempt,2022_6033_01_Results.txt,40,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0024,INDYCAR_2022_SATO_BUZZ,Marco Andretti,98,230.345,23,,2022_6033_01_Results.txt,30,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0024,INDYCAR_2022_SATO_BUZZ,Marco Andretti,98,226.108,39,Retired,2022_6033_01_Results.txt,46,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0026,INDYCAR_2022_SATO_BUZZ,Jimmie Johnson,48,232.398,6,,2022_6033_01_Results.txt,13,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
R1G4-C0039,INDYCAR_2022_SATO_BUZZ,Scott McLaughlin,3,230.154,26,,2022_6033_01_Results.txt,33,EDITORIAL_ENTITY_TO_OFFICIAL_RESULT_CANDIDATE,False
