evidence_id,source_type,source_class,source_name,source_path,sentence,exact_speed_hits,sentence_first_terms,sentence_second_terms,sentence_withdraw_terms,sentence_lane1_terms,sentence_lane2_terms,sentence_queue_terms,sentence_late_improver_terms,sentence_improve_terms,context_only_decision_terms,classification,repeat_pair_promotable,action_promotable,lane_promotable,interpretation
R1G18-C0005,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,"Ilott is mentioned, but the sentence carries no decision-relevant repeat/action/lane semantics."
R1G18-C0006,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,"Ilott is mentioned, but the sentence carries no decision-relevant repeat/action/lane semantics."
R1G18-C0007,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,"Ilott is mentioned, but the sentence carries no decision-relevant repeat/action/lane semantics."
R1G18-C0008,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,"Ilott is mentioned, but the sentence carries no decision-relevant repeat/action/lane semantics."
R1G18-C0009,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,"Ilott is mentioned, but the sentence carries no decision-relevant repeat/action/lane semantics."
R1G18-C0010,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,"Ilott is mentioned, but the sentence carries no decision-relevant repeat/action/lane semantics."
R1G18-C0011,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,"Ilott is mentioned, but the sentence carries no decision-relevant repeat/action/lane semantics."
R1G18-C0012,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,"Ilott is mentioned, but the sentence carries no decision-relevant repeat/action/lane semantics."
R1G18-C0013,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,"Ilott is mentioned, but the sentence carries no decision-relevant repeat/action/lane semantics."
R1G18-C0014,EXISTING_SECONDARY_CANDIDATE,REPUTABLE_SECONDARY_EDITORIAL,The Race,,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",,,,,,,,,,,ILOTT_MENTION_NO_DECISION_SEMANTICS,False,False,False,"Ilott is mentioned, but the sentence carries no decision-relevant repeat/action/lane semantics."
