source_path,source_class,unit_index,text,speed_hits,first_attempt_terms,second_attempt_terms,improvement_terms,status_terms,source_native,direct_repeat_semantic,strong_repeat_binding
weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,40,"Rookie David Malukas just missed the cut to advance to Sunday, ending up 13th and just behind Dale Coyne Racing teammate Sato at 231.607 in the No.",231.607,,,,,True,False,False
weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,41,"Rookie David Malukas just missed the cut to advance to Sunday, ending up 13th and just behind Dale Coyne Racing teammate Sato at 231.607 in the No.",231.607,,,,,True,False,False
weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/NBC_2022_DAY1.txt,SECONDARY_NBC,89,"(18) David Malukas, Honda, 02:35.4356 (231.607) 14.",231.607,,,,,True,False,False
weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/NBC_2022_DAY1.html,SECONDARY_NBC,102,"(18) David Malukas, Honda, 02:35.4356 (231.607) 14.",231.607,,,,,True,False,False
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,INDYCAR_OFFICIAL_RESULTS_OR_API,1,"{ ""EventName"": ""106th Running of the Indianapolis 500"", ""SessionDate"": ""5/21/2022"", ""SessionDateFormatted"": ""Saturday, May 21, 2022"", ""SessionName"": ""Qualifications - Day 1"", ""SessionReports"": [ { ""DocumentID"": ""c1826ed2-b1c2-42d4-8d35-3b68286ed2da"", ""DocumentType"": ""Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Results"", ""SortOrder"": 8, ""Url"": ""INDYCAR/Documents/6033/2022-05-21/indycar-officialqualresults-day1.pdf"", ""modified_date"": ""/Date(1653169717990)/"" }, { ""DocumentID"": ""c243cf3d-7da1-41fb-9d4e-c6f54f2e016c"", ""DocumentType"": ""Section Results"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Section Results"", ""SortOrder"": 9, ""Url"": ""INDYCAR/Documents/6033/2022-05-21/indycar-sectionresults-quals-day1.pdf"", ""modified_date"": ""/Date(1653168353783)/"" }, { ""DocumentID"": ""fe3a8b0b-24ab-4784-abec-3b016a962e8b"", ""DocumentType"": ""Top Section Times"", ""FileType"": ""application/pdf"", ""IsActive"": true, ""Name"": ""Top Section Times"", ""SortOrder"": 10, ""Url"": ""INDYCAR/Documents/6033/2022-05-21/indycar-topsectiontimes-quals-day1.pdf"", ""modified_date"": ""/Date(1653168359633)/"" } ], ""SessionType"": ""Q"", ""TrackType"": ""I"", ""records"": [ { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""21"", ""Difference"": null, ""DriverName"": ""Rinus VeeKay"", ""DriverOverrideID"": 4614, ""DriverUrl"": ""/Drivers/Rinus-VeeKay"", ""DriversID"": 4614, ""ElapsedTime"": ""02:34.0730"", ""EventsEntrylistID"": 34657, ""EventsSessionsDetailsID"": 105044, ""EventsSessionsID"": 6033, ""FirstName"": ""Rinus"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""VeeKay"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 1, ""PositionStart"": null, ""QualLap1"": "" 38.3465"", ""QualLap2"": "" 38.4745"", ""QualLap3"": "" 38.5681"", ""QualLap4"": "" 38.6839"", ""SpeedAvg"": 233.655, ""SpeedAvgFormatted"": ""233.655"", ""Status"": null, ""TeamName"": ""ECR"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""5"", ""Difference"": null, ""DriverName"": ""Pato O'Ward"", ""DriverOverrideID"": 4559, ""DriverUrl"": ""/Drivers/Pato-OWard"", ""DriversID"": 4559, ""ElapsedTime"": ""02:34.4820"", ""EventsEntry",231.607,,,,,False,False,False
weather/evidence/rescue/official_day1_session_details/raw_api/2022_6033_session_details.json,INDYCAR_OFFICIAL_RESULTS_OR_API,4,"Foyt Enterprises"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""6"", ""Difference"": null, ""DriverName"": ""Juan Pablo Montoya"", ""DriverOverrideID"": 4002, ""DriverUrl"": null, ""DriversID"": 4002, ""ElapsedTime"": ""02:37.4655"", ""EventsEntrylistID"": 34670, ""EventsSessionsDetailsID"": 105073, ""EventsSessionsID"": 6033, ""FirstName"": ""Juan Pablo"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Montoya"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 30, ""PositionStart"": null, ""QualLap1"": "" 39.2195"", ""QualLap2"": "" 39.2360"", ""QualLap3"": "" 39.4915"", ""QualLap4"": "" 39.5185"", ""SpeedAvg"": 228.622, ""SpeedAvgFormatted"": ""228.622"", ""Status"": null, ""TeamName"": ""Arrow McLaren"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""30"", ""Difference"": null, ""DriverName"": ""Christian Lundgaard"", ""DriverOverrideID"": 4938, ""DriverUrl"": ""/Drivers/Christian-Lundgaard"", ""DriversID"": 4938, ""ElapsedTime"": ""02:38.5531"", ""EventsEntrylistID"": 34662, ""EventsSessionsDetailsID"": 105074, ""EventsSessionsID"": 6033, ""FirstName"": ""Christian"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Lundgaard"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 31, ""PositionStart"": null, ""QualLap1"": "" 39.5436"", ""QualLap2"": "" 39.3861"", ""QualLap3"": "" 39.7186"", ""QualLap4"": "" 39.9048"", ""SpeedAvg"": 227.053, ""SpeedAvgFormatted"": ""227.053"", ""Status"": null, ""TeamName"": ""Rahal Letterman Lanigan Racing"", ""TimesLed"": null }, { ""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""45"", ""Difference"": null, ""DriverName"": ""Jack Harvey"", ""DriverOverrideID"": 4505, ""DriverUrl"": ""/Drivers/Jack-Harvey"", ""DriversID"": 4505, ""ElapsedTime"": ""02:38.6944"", ""EventsEntrylistID"": 34663, ""EventsSessionsDetailsID"": 105075, ""EventsSessionsID"": 6033, ""FirstName"": ""Jack"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Harvey"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 32, ""Positi",231.233,,,,,False,False,False
weather/evidence/rescue/official_day1_session_details/report_text_v1/2022_6033_01_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,1,"Event: 106th Running of the Indianapolis 500 Round 6 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Official Qualification Results NTT INDYCAR SERIES Session: Qualifications - Day 1 May 21, 2022 Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status 1 21 VeeKay, Rinus D/C/F 38.3465 38.4745 38.5681 38.6839 02:34.0730 233.655 Day 1 2 5 O'Ward, Pato D/C/F 38.5602 38.5975 38.6591 38.6652 02:34.4820 233.037 Day 1 3 7 Rosenqvist, Felix D/C/F 38.5419 38.6049 38.8046 38.7044 02:34.6558 232.775 Day 1 4 10 Palou, Alex D/H/F 38.5293 38.5976 38.6919 38.8377 02:34.6565 232.774 Day 1 5 1 Kanaan, Tony D/H/F 38.5968 38.6797 38.7326 38.7464 02:34.7555 232.625 Day 1 6 48 Johnson, Jimmie D/H/F 38.6043 38.7216 38.7707 38.8104 02:34.9070 232.398 Day 1 7 33 Carpenter, Ed D/C/F 38.6342 38.6611 38.7016 38.9107 02:34.9076 232.397 Day 1 8 8 Ericsson, Marcus D/H/F 38.6717 38.7254 38.7977 38.7942 02:34.9890 232.275 Day 1 9 28 Grosjean, Romain D/H/F 38.6937 38.7306 38.8006 38.8129 02:35.0378 232.201 Day 1 10 9 Dixon, Scott D/H/F 38.6681 38.7453 38.7964 38.8618 02:35.0716 232.151 Day 1 11 12 Power, Will D/C/F 38.7121 38.7537 38.8492 38.9634 02:35.2784 231.842 Day 1 12 51 Sato, Takuma D/H/F 38.7127 38.8115 38.9199 38.9238 02:35.3679 231.708 Day 1 13 18 Malukas, David D/H/F 38.7127 38.7587 39.0368 38.9274 02:35.4356 231.607 Day 1 14 2 Newgarden, Josef D/C/F 38.5920 38.7375 38.9300 39.1946 02:35.4541 231.580 Day 1 15 23 Ferrucci, Santino D/C/F 38.7531 38.8385 38.9056 39.0047 02:35.5019 231.508 Day 1 16 60 Pagenaud, Simon D/H/F 38.7615 38.8390 39.0138 39.0447 02:35.6590 231.275 Day 1 17 11 Hildebrand, JR D/C/F 38.8600 38.9412 38.9735 38.9937 02:35.7684 231.112 Day 1 18 20 Daly, Conor D/C/F 38.7183 38.8838 38.9911 39.2519 02:35.8451 230.999 Day 1 19 77 Ilott, Callum D/C/F 38.8151 38.8849 38.9907 39.1800 02:35.8707 230.961 Day 1 20 27 Rossi, Alexander D/H/F 38.8973 38.9483 39.0431 39.0826 02:35.9713 230.812 Day 1 21 15 Rahal, Graham D/H/F 38.9471 39.0214 39.0155 39.0182 02:36.0022 230.766 Day 1 22 24 Karam, Sage D/C/F 38.9436 39.0606 39.1276 39.0746 02:36.2064 230.464 Day 1 23 98 Andretti, Marco D/H/F 38.9617 39.0824 39.1106 39.1328 02:36.2875 230.345 Day 1",231.233|231.607,,,,retired|withdrawn|waved off,False,False,False
weather/evidence/rescue/official_day1_session_details/report_text_v1/2023_6202_02_Results.txt,INDYCAR_OFFICIAL_RESULTS_OR_API,1,"Event: 107th Running of the Indianapolis 500 Round 6 Track: Indianapolis Motor Speedway 2.5 mile(s) Report: Official Qualification Results NTT INDYCAR SERIES Session: Qualifications - Day 1 May 20, 2023 Rank Car Driver Name C/E/T Lap 1 Lap 2 Lap 3 Lap 4 Total Time Speed Qualified On Status 1 6 Rosenqvist, Felix D/C/F 38.4076 38.4107 38.4977 38.5650 02:33.8810 233.947 Day 1 2 7 Rossi, Alexander D/C/F 38.4325 38.5016 38.5623 38.6605 02:34.1569 233.528 Day 1 3 10 Palou, Alex D/H/F 38.4209 38.5113 38.6079 38.7031 02:34.2432 233.398 Day 1 4 21 VeeKay, Rinus D/C/F 38.4776 38.5261 38.6047 38.6365 02:34.2449 233.395 Day 1 5 9 Dixon, Scott D/H/F 38.4939 38.5038 38.5797 38.6810 02:34.2584 233.375 Day 1 6 66 Kanaan, Tony D/C/F 38.4521 38.5745 38.5677 38.6825 02:34.2768 233.347 Day 1 7 11 Sato, Takuma D/H/F 38.4476 38.5243 38.6581 38.6632 02:34.2932 233.322 Day 1 8 5 O'Ward, Pato D/C/F 38.4896 38.5635 38.6360 38.6503 02:34.3394 233.252 Day 1 9 14 Ferrucci, Santino D/C/F 38.5334 38.5873 38.6082 38.6804 02:34.4093 233.147 Day 1 10 8 Ericsson, Marcus D/H/F 38.5372 38.5840 38.6487 38.7167 02:34.4866 233.030 Day 1 11 55 Pedersen, Benjamin D/C/F 38.5775 38.6520 38.6975 38.7527 02:34.6797 232.739 Day 1 12 12 Power, Will D/C/F 38.6071 38.6492 38.7095 38.7274 02:34.6932 232.719 Day 1 13 33 Carpenter, Ed D/C/F 38.5227 38.7270 38.6922 38.7709 02:34.7128 232.689 Day 1 14 3 McLaughlin, Scott D/C/F 38.6409 38.6626 38.7084 38.7087 02:34.7206 232.677 Day 1 15 27 Kirkwood, Kyle D/H/F 38.5478 38.6164 38.7279 38.8390 02:34.7311 232.662 Day 1 16 20 Daly, Conor D/C/F 38.6052 38.6759 38.7675 38.8347 02:34.8833 232.433 Day 1 17 2 Newgarden, Josef D/C/F 38.6863 38.7298 38.7262 38.7616 02:34.9039 232.402 Day 1 18 23 Hunter-Reay, Ryan D/C/F 38.7189 38.7366 38.7918 38.8364 02:35.0837 232.133 Day 1 19 28 Grosjean, Romain D/H/F 38.6964 38.7765 38.8336 38.8679 02:35.1744 231.997 Day 1 20 06 Castroneves, Helio D/H/F 38.7358 38.7982 38.8212 38.8480 02:35.2032 231.954 Day 1 21 26 Herta, Colton D/H/F 38.7148 38.8143 38.8344 38.8420 02:35.2055 231.951 Day 1 22 60 Pagenaud, Simon D/H/F 38.8072 38.7957 38.7981 38.8529 02:35.2539 231.878 Day 1 23 18 Malukas, David D/H/F 38.7209 38.7854 38.8755 38.9452 02:35.327",,,,,retired|withdrawn|waved off,False,False,False
weather/output/chronology_rescue_2022_attempt_coverage_gap_audit_v1.csv,LOCAL_DERIVED_OR_OTHER,1,"﻿attempt_id,session_id,year,car_number,driver_name,car_attempt_index,four_lap_average_speed_mph,canonical_result_status,attempt_class,official_result_row,official_status,chronology_evidence_rows,constraint_classes,has_bounded_interval,has_approximate_time,has_ordering_only,coverage_status,repeated_attempt,decision_status_candidate,rescue_priority,rescue_reason,canonical_mutated cef4544c-d721-54eb-bf70-ce8535756a5e,INDY500_DAY1_2022,2022,21,Rinus VeeKay,1,233.655,VALID_RETAINED,A_COMPLETE,1,,1,BOUNDED_INTERVAL,True,False,False,CHRONOLOGY_TIME_BOUNDED,False,False,LOW,Already has usable bounded chronology.,False e2318f1b-020c-5e41-abb3-2159a17b3a27,INDY500_DAY1_2022,2022,5,Pato O'Ward,1,233.037,VALID_RETAINED,A_COMPLETE,2,,1,BOUNDED_INTERVAL,True,False,False,CHRONOLOGY_TIME_BOUNDED,False,False,LOW,Already has usable bounded chronology.,False 8c6dd650-69c2-52af-8840-a92c88cb517e,INDY500_DAY1_2022,2022,7,Felix Rosenqvist,1,232.775,VALID_RETAINED,A_COMPLETE,3,,1,BOUNDED_INTERVAL,True,False,False,CHRONOLOGY_TIME_BOUNDED,False,False,LOW,Already has usable bounded chronology.,False e10faf3a-59f8-5528-9a9b-1ea63c1322c9,INDY500_DAY1_2022,2022,10,Alex Palou,1,232.774,VALID_RETAINED,A_COMPLETE,4,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False a21e6e46-405e-5d8b-933f-63c35adeec21,INDY500_DAY1_2022,2022,1,Tony Kanaan,1,232.625,VALID_RETAINED,A_COMPLETE,5,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False 98dc390f-b38c-5384-b51e-9f479c8859a6,INDY500_DAY1_2022,2022,48,Jimmie Johnson,1,232.398,VALID_RETAINED,A_COMPLETE,6,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False db54aa3f-0c36-5472-94f1-5c4555dd1a53,INDY500_DAY1_2022,2022,33,Ed Carpenter,1,232.397,VALID_RETAINED,A_COMPLETE,7,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE,False,False,MEDIUM,Complete attempt without current chronology evidence.,False 6bdde501-b1fc-5382-8f09-3918fb5aa07e,INDY500_DAY1_2022,2022,8,Marcus Ericsson,1,232.275,VALID_RETAINED,A_COMPLETE,8,,0,,False,False,False,NO_CHRONOLOGY_EVIDENCE",231.233|231.607,,,,retired|withdrawn|waved off,False,False,False
weather/output/chronology_rescue_2022_attempt_coverage_gap_audit_v2.csv,LOCAL_DERIVED_OR_OTHER,13,"85c917fa-1c7a-52cb-a47f-468b4bdae9a5,18,David Malukas,2,231.607,A_COMPLETE,,0,,NO_CHRONOLOGY,False,,False,,True,False,HIGH,Decision-relevant attempt has no chronology evidence.",231.607,,,,,False,False,False
