driver_name,legacy_included,current_broad_included,attempt_id,car_attempt_index,canonical_result_status,official_status,official_result_row
Alexander Rossi,True,True,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,1,VALID_RETAINED,Withdrawn,35
Alexander Rossi,True,True,b3147013-0fda-5982-bea1-85788019ef89,2,VALID_RETAINED,,20
Callum Ilott,True,True,3cd6d98a-da75-5822-8dae-05e83ad8457c,1,VALID_RETAINED,Retired,37
Callum Ilott,True,True,8fa25fec-e5a6-5844-b3d7-f67c9dc91378,2,VALID_RETAINED,,19
Colton Herta,False,True,784d352d-2b04-566e-8aef-19317c10d0fa,1,VALID_RETAINED,,25
Colton Herta,False,True,88fe3936-d77d-5a12-bdd7-0104979729da,,UNKNOWN,Waved Off,41
David Malukas,True,True,619575d3-e7eb-5cce-886f-0a8485b98eba,1,VALID_RETAINED,Retired,36
David Malukas,True,True,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,2,VALID_RETAINED,,13
Helio Castroneves,True,True,01896a4f-c482-5093-a806-89bc4273641d,1,VALID_RETAINED,Withdrawn,40
Helio Castroneves,True,True,90eea27e-6e83-5e24-8428-811eae3ff157,2,VALID_RETAINED,,27
Josef Newgarden,False,True,83034975-303c-57b1-9190-95bc705d3941,1,VALID_RETAINED,,14
Josef Newgarden,False,True,a395f440-40c9-5b57-82bb-b5353a862b0f,,UNKNOWN,No Attempt,42
Marco Andretti,True,True,63982b5e-7639-5140-a6a2-702a77c2fc85,2,VALID_RETAINED,,23
Marco Andretti,True,True,c044edbc-0f6c-5aab-bdef-9c4156b50617,1,VALID_RETAINED,Retired,39
Sage Karam,True,True,2c453335-3a19-5653-8d5c-79d94db93028,2,VALID_RETAINED,,22
Sage Karam,True,True,4778bf12-3fb5-5321-b4ae-9dc2f0880c25,,UNKNOWN,No Attempt,44
Sage Karam,True,True,8e0c8731-4ddc-515a-949e-7902dd01eaeb,1,VALID_RETAINED,Withdrawn,38
Scott McLaughlin,True,True,43d9c081-67f5-5d6f-8b48-9db0ac683a6c,2,VALID_RETAINED,,26
Scott McLaughlin,True,True,d2ae8749-6312-5afd-b193-dd23dc071124,1,VALID_RETAINED,Withdrawn,34
Takuma Sato,True,True,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,2,VALID_RETAINED,,12
Takuma Sato,True,True,3f221659-74ff-5901-97dc-08071a734690,1,DISALLOWED,Failed Attempt,33
