driver_name,broad_repeat_attempt_count,attempt_ids,attempt_statuses,status_only_excluded_objects,legacy_denominator_included,eligibility_class,decision_relevant_denominator,rationale
Alexander Rossi,2,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8|b3147013-0fda-5982-bea1-85788019ef89,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8:canonical=VALID_RETAINED;official=Withdrawn || b3147013-0fda-5982-bea1-85788019ef89:canonical=VALID_RETAINED;official=BLANK,,True,ELIGIBLE_DECISION_RELEVANT_REPEAT_GROUP,INCLUDE,Driver is present in the frozen legacy decision-relevant repeat-pair denominator.
Callum Ilott,2,3cd6d98a-da75-5822-8dae-05e83ad8457c|8fa25fec-e5a6-5844-b3d7-f67c9dc91378,3cd6d98a-da75-5822-8dae-05e83ad8457c:canonical=VALID_RETAINED;official=Retired || 8fa25fec-e5a6-5844-b3d7-f67c9dc91378:canonical=VALID_RETAINED;official=BLANK,,True,ELIGIBLE_DECISION_RELEVANT_REPEAT_GROUP,INCLUDE,Driver is present in the frozen legacy decision-relevant repeat-pair denominator.
Colton Herta,2,784d352d-2b04-566e-8aef-19317c10d0fa|88fe3936-d77d-5a12-bdd7-0104979729da,784d352d-2b04-566e-8aef-19317c10d0fa:canonical=VALID_RETAINED;official=BLANK || 88fe3936-d77d-5a12-bdd7-0104979729da:canonical=UNKNOWN;official=Waved Off,88fe3936-d77d-5a12-bdd7-0104979729da:Waved Off,False,EXCLUDED_STATUS_ONLY_REPEAT_OBJECT,EXCLUDE,Broad object-level repeat detection includes a status-only qualifying object such as Waved Off or No Attempt; exclude from decision-relevant repeat-pair denominator.
David Malukas,2,619575d3-e7eb-5cce-886f-0a8485b98eba|85c917fa-1c7a-52cb-a47f-468b4bdae9a5,619575d3-e7eb-5cce-886f-0a8485b98eba:canonical=VALID_RETAINED;official=Retired || 85c917fa-1c7a-52cb-a47f-468b4bdae9a5:canonical=VALID_RETAINED;official=BLANK,,True,ELIGIBLE_DECISION_RELEVANT_REPEAT_GROUP,INCLUDE,Driver is present in the frozen legacy decision-relevant repeat-pair denominator.
Helio Castroneves,2,01896a4f-c482-5093-a806-89bc4273641d|90eea27e-6e83-5e24-8428-811eae3ff157,01896a4f-c482-5093-a806-89bc4273641d:canonical=VALID_RETAINED;official=Withdrawn || 90eea27e-6e83-5e24-8428-811eae3ff157:canonical=VALID_RETAINED;official=BLANK,,True,ELIGIBLE_DECISION_RELEVANT_REPEAT_GROUP,INCLUDE,Driver is present in the frozen legacy decision-relevant repeat-pair denominator.
Josef Newgarden,2,83034975-303c-57b1-9190-95bc705d3941|a395f440-40c9-5b57-82bb-b5353a862b0f,83034975-303c-57b1-9190-95bc705d3941:canonical=VALID_RETAINED;official=BLANK || a395f440-40c9-5b57-82bb-b5353a862b0f:canonical=UNKNOWN;official=No Attempt,a395f440-40c9-5b57-82bb-b5353a862b0f:No Attempt,False,EXCLUDED_STATUS_ONLY_REPEAT_OBJECT,EXCLUDE,Broad object-level repeat detection includes a status-only qualifying object such as Waved Off or No Attempt; exclude from decision-relevant repeat-pair denominator.
Marco Andretti,2,63982b5e-7639-5140-a6a2-702a77c2fc85|c044edbc-0f6c-5aab-bdef-9c4156b50617,63982b5e-7639-5140-a6a2-702a77c2fc85:canonical=VALID_RETAINED;official=BLANK || c044edbc-0f6c-5aab-bdef-9c4156b50617:canonical=VALID_RETAINED;official=Retired,,True,ELIGIBLE_DECISION_RELEVANT_REPEAT_GROUP,INCLUDE,Driver is present in the frozen legacy decision-relevant repeat-pair denominator.
Sage Karam,3,2c453335-3a19-5653-8d5c-79d94db93028|4778bf12-3fb5-5321-b4ae-9dc2f0880c25|8e0c8731-4ddc-515a-949e-7902dd01eaeb,2c453335-3a19-5653-8d5c-79d94db93028:canonical=VALID_RETAINED;official=BLANK || 4778bf12-3fb5-5321-b4ae-9dc2f0880c25:canonical=UNKNOWN;official=No Attempt || 8e0c8731-4ddc-515a-949e-7902dd01eaeb:canonical=VALID_RETAINED;official=Withdrawn,4778bf12-3fb5-5321-b4ae-9dc2f0880c25:No Attempt,True,ELIGIBLE_DECISION_RELEVANT_REPEAT_GROUP,INCLUDE,Driver is present in the frozen legacy decision-relevant repeat-pair denominator.
Scott McLaughlin,2,43d9c081-67f5-5d6f-8b48-9db0ac683a6c|d2ae8749-6312-5afd-b193-dd23dc071124,43d9c081-67f5-5d6f-8b48-9db0ac683a6c:canonical=VALID_RETAINED;official=BLANK || d2ae8749-6312-5afd-b193-dd23dc071124:canonical=VALID_RETAINED;official=Withdrawn,,True,ELIGIBLE_DECISION_RELEVANT_REPEAT_GROUP,INCLUDE,Driver is present in the frozen legacy decision-relevant repeat-pair denominator.
Takuma Sato,2,21e8c99e-b04c-516d-85a8-ccfbaed7ff46|3f221659-74ff-5901-97dc-08071a734690,21e8c99e-b04c-516d-85a8-ccfbaed7ff46:canonical=VALID_RETAINED;official=BLANK || 3f221659-74ff-5901-97dc-08071a734690:canonical=DISALLOWED;official=Failed Attempt,,True,ELIGIBLE_DECISION_RELEVANT_REPEAT_GROUP,INCLUDE,Driver is present in the frozen legacy decision-relevant repeat-pair denominator.
