csv_row,attempt_id,official_result_row,v2_car_number,canonical_car_number,official_raw_car_number,canonical_driver,v2_driver,official_pdf_driver,canonical_speed_mph,v2_official_speed_mph,speed_matches,driver_identity_verified,official_literal_matches_canonical,classification
2,cef4544c-d721-54eb-bf70-ce8535756a5e,1,21,21,21,Rinus VeeKay,"VeeKay, Rinus","VeeKay, Rinus",233.655,233.655,True,True,True,NO_LITERAL_REPAIR_REQUIRED
3,e2318f1b-020c-5e41-abb3-2159a17b3a27,2,5,5,5,Pato O'Ward,"O'Ward, Pato","O'Ward, Pato",233.037,233.037,True,True,True,NO_LITERAL_REPAIR_REQUIRED
4,8c6dd650-69c2-52af-8840-a92c88cb517e,3,7,7,7,Felix Rosenqvist,"Rosenqvist, Felix","Rosenqvist, Felix",232.775,232.775,True,True,True,NO_LITERAL_REPAIR_REQUIRED
5,e10faf3a-59f8-5528-9a9b-1ea63c1322c9,4,10,10,10,Alex Palou,"Palou, Alex","Palou, Alex",232.774,232.774,True,True,True,NO_LITERAL_REPAIR_REQUIRED
6,a21e6e46-405e-5d8b-933f-63c35adeec21,5,1,1,1,Tony Kanaan,"Kanaan, Tony","Kanaan, Tony",232.625,232.625,True,True,True,NO_LITERAL_REPAIR_REQUIRED
7,98dc390f-b38c-5384-b51e-9f479c8859a6,6,48,48,48,Jimmie Johnson,"Johnson, Jimmie","Johnson, Jimmie",232.398,232.398,True,True,True,NO_LITERAL_REPAIR_REQUIRED
8,db54aa3f-0c36-5472-94f1-5c4555dd1a53,7,33,33,33,Ed Carpenter,"Carpenter, Ed","Carpenter, Ed",232.397,232.397,True,True,True,NO_LITERAL_REPAIR_REQUIRED
9,6bdde501-b1fc-5382-8f09-3918fb5aa07e,8,8,8,8,Marcus Ericsson,"Ericsson, Marcus","Ericsson, Marcus",232.275,232.275,True,True,True,NO_LITERAL_REPAIR_REQUIRED
10,a49549a1-2253-5bd5-9923-b0b7fdbb20d7,9,28,28,28,Romain Grosjean,"Grosjean, Romain","Grosjean, Romain",232.201,232.201,True,True,True,NO_LITERAL_REPAIR_REQUIRED
11,ed8e8f45-6cb1-51cb-a3a7-3aa60a373517,10,9,9,9,Scott Dixon,"Dixon, Scott","Dixon, Scott",232.151,232.151,True,True,True,NO_LITERAL_REPAIR_REQUIRED
12,e614cc7e-1b9a-5642-8a8c-06eb73a962a5,11,12,12,12,Will Power,"Power, Will","Power, Will",231.842,231.842,True,True,True,NO_LITERAL_REPAIR_REQUIRED
13,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,12,51,51,51,Takuma Sato,"Sato, Takuma","Sato, Takuma",231.708,231.708,True,True,True,NO_LITERAL_REPAIR_REQUIRED
14,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,13,18,18,18,David Malukas,"Malukas, David","Malukas, David",231.607,231.607,True,True,True,NO_LITERAL_REPAIR_REQUIRED
15,83034975-303c-57b1-9190-95bc705d3941,14,2,2,2,Josef Newgarden,"Newgarden, Josef","Newgarden, Josef",231.58,231.580,True,True,True,NO_LITERAL_REPAIR_REQUIRED
16,50c1a7df-b227-5216-ba4d-c391ee794a68,15,23,23,23,Santino Ferrucci,"Ferrucci, Santino","Ferrucci, Santino",231.508,231.508,True,True,True,NO_LITERAL_REPAIR_REQUIRED
17,782b5ff7-fb2c-5c01-9209-dfd3f4cb289b,16,60,60,60,Simon Pagenaud,"Pagenaud, Simon","Pagenaud, Simon",231.275,231.275,True,True,True,NO_LITERAL_REPAIR_REQUIRED
18,0ac03a4b-263a-56b8-bf3f-4996c2968118,17,11,11,11,JR Hildebrand,"Hildebrand, JR","Hildebrand, JR",231.112,231.112,True,True,True,NO_LITERAL_REPAIR_REQUIRED
19,f63416c8-d69c-5ec9-b8bc-1a26aae11c44,18,20,20,20,Conor Daly,"Daly, Conor","Daly, Conor",230.999,230.999,True,True,True,NO_LITERAL_REPAIR_REQUIRED
20,8fa25fec-e5a6-5844-b3d7-f67c9dc91378,19,77,77,77,Callum Ilott,"Ilott, Callum","Ilott, Callum",230.961,230.961,True,True,True,NO_LITERAL_REPAIR_REQUIRED
21,b3147013-0fda-5982-bea1-85788019ef89,20,27,27,27,Alexander Rossi,"Rossi, Alexander","Rossi, Alexander",230.812,230.812,True,True,True,NO_LITERAL_REPAIR_REQUIRED
