candidate_id,driver_name,source_id,candidate_sentence,rejection_reason,promotion_status,notes
R1G18-C0005,Alexander Rossi,THE_RACE_2022_DAY1,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",CONTEXT_JOIN_FALSE_POSITIVE,REJECTED,"Driver name occurs in an adjacent final-grid listing, while the later generic statement about 'a handful of second-runs' does not identify this driver individually. No driver-specific chronology may be inferred."
R1G18-C0006,Callum Ilott,THE_RACE_2022_DAY1,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",CONTEXT_JOIN_FALSE_POSITIVE,REJECTED,"Driver name occurs in an adjacent final-grid listing, while the later generic statement about 'a handful of second-runs' does not identify this driver individually. No driver-specific chronology may be inferred."
R1G18-C0007,Colton Herta,THE_RACE_2022_DAY1,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",CONTEXT_JOIN_FALSE_POSITIVE,REJECTED,"Driver name occurs in an adjacent final-grid listing, while the later generic statement about 'a handful of second-runs' does not identify this driver individually. No driver-specific chronology may be inferred."
R1G18-C0008,David Malukas,THE_RACE_2022_DAY1,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",CONTEXT_JOIN_FALSE_POSITIVE,REJECTED,"Driver name occurs in an adjacent final-grid listing, while the later generic statement about 'a handful of second-runs' does not identify this driver individually. No driver-specific chronology may be inferred."
R1G18-C0009,Helio Castroneves,THE_RACE_2022_DAY1,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",CONTEXT_JOIN_FALSE_POSITIVE,REJECTED,"Driver name occurs in an adjacent final-grid listing, while the later generic statement about 'a handful of second-runs' does not identify this driver individually. No driver-specific chronology may be inferred."
R1G18-C0010,Josef Newgarden,THE_RACE_2022_DAY1,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",CONTEXT_JOIN_FALSE_POSITIVE,REJECTED,"Driver name occurs in an adjacent final-grid listing, while the later generic statement about 'a handful of second-runs' does not identify this driver individually. No driver-specific chronology may be inferred."
R1G18-C0011,Marco Andretti,THE_RACE_2022_DAY1,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",CONTEXT_JOIN_FALSE_POSITIVE,REJECTED,"Driver name occurs in an adjacent final-grid listing, while the later generic statement about 'a handful of second-runs' does not identify this driver individually. No driver-specific chronology may be inferred."
R1G18-C0012,Sage Karam,THE_RACE_2022_DAY1,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",CONTEXT_JOIN_FALSE_POSITIVE,REJECTED,"Driver name occurs in an adjacent final-grid listing, while the later generic statement about 'a handful of second-runs' does not identify this driver individually. No driver-specific chronology may be inferred."
R1G18-C0013,Scott McLaughlin,THE_RACE_2022_DAY1,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",CONTEXT_JOIN_FALSE_POSITIVE,REJECTED,"Driver name occurs in an adjacent final-grid listing, while the later generic statement about 'a handful of second-runs' does not identify this driver individually. No driver-specific chronology may be inferred."
R1G18-C0014,Stefan Wilson,THE_RACE_2022_DAY1,"13th to 33rd on the grid for the 2022 Indy 500 is set: 13 David Malukas 14 Josef Newgarden 15 Santino Ferrucci 16 Simon Pagenaud 17 JR Hildebrand 18 Conor Daly 19 Callum Ilott 20 Alexander Rossi 21 Graham Rahal 22 Sage Karam 23 Marco Andretti 24 Devlin DeFrancesco 25 Colton Herta 26 Scott McLaughlin 27 Helio Castroneves 28 Kyle Kirkwood 29 Dalton Kellett 30 Juan Pablo Montoya 31 Christian Lundgaard 32 Jack Harvey 33 Stefan Wilson Not long after a handful of second-runs on track, rain hit and delayed the session.",CONTEXT_JOIN_FALSE_POSITIVE,REJECTED,"Driver name occurs in an adjacent final-grid listing, while the later generic statement about 'a handful of second-runs' does not identify this driver individually. No driver-specific chronology may be inferred."
