baseline_group,prior_id,prior_alpha,prior_beta,central_policy,recovery_successes,recovery_trials,posterior_mean_recovery_probability,required_gain_mph,normal_branch_target_rate,recovery_branch_target_rate,p_target_given_completed,policy_hash
LOW_BASELINE,JEFFREYS_LIKE,0.5,0.5,False,4,18,0.23684210526315788,0.1,0.45714285714285713,1.0,0.5857142857142857,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,JEFFREYS_LIKE,0.5,0.5,False,4,18,0.23684210526315788,0.25,0.2857142857142857,1.0,0.4548872180451128,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,JEFFREYS_LIKE,0.5,0.5,False,4,18,0.23684210526315788,0.5,0.11428571428571428,1.0,0.3240601503759398,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,JEFFREYS_LIKE,0.5,0.5,False,4,18,0.23684210526315788,1.0,0.0,1.0,0.23684210526315788,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,UNIFORM_V1,1.0,1.0,True,4,18,0.25,0.1,0.45714285714285713,1.0,0.5928571428571429,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,UNIFORM_V1,1.0,1.0,True,4,18,0.25,0.25,0.2857142857142857,1.0,0.4642857142857143,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,UNIFORM_V1,1.0,1.0,True,4,18,0.25,0.5,0.11428571428571428,1.0,0.33571428571428574,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,UNIFORM_V1,1.0,1.0,True,4,18,0.25,1.0,0.0,1.0,0.25,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,MILD_SHRINKAGE,2.0,2.0,False,4,18,0.2727272727272727,0.1,0.45714285714285713,1.0,0.6051948051948052,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,MILD_SHRINKAGE,2.0,2.0,False,4,18,0.2727272727272727,0.25,0.2857142857142857,1.0,0.48051948051948046,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,MILD_SHRINKAGE,2.0,2.0,False,4,18,0.2727272727272727,0.5,0.11428571428571428,1.0,0.35584415584415585,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
LOW_BASELINE,MILD_SHRINKAGE,2.0,2.0,False,4,18,0.2727272727272727,1.0,0.0,1.0,0.2727272727272727,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,JEFFREYS_LIKE,0.5,0.5,False,0,21,0.022727272727272728,0.1,0.45714285714285713,1.0,0.46948051948051944,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,JEFFREYS_LIKE,0.5,0.5,False,0,21,0.022727272727272728,0.25,0.2857142857142857,1.0,0.3019480519480519,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,JEFFREYS_LIKE,0.5,0.5,False,0,21,0.022727272727272728,0.5,0.11428571428571428,1.0,0.1344155844155844,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,JEFFREYS_LIKE,0.5,0.5,False,0,21,0.022727272727272728,1.0,0.0,1.0,0.022727272727272728,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,UNIFORM_V1,1.0,1.0,True,0,21,0.043478260869565216,0.1,0.45714285714285713,1.0,0.4807453416149068,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,UNIFORM_V1,1.0,1.0,True,0,21,0.043478260869565216,0.25,0.2857142857142857,1.0,0.31677018633540377,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,UNIFORM_V1,1.0,1.0,True,0,21,0.043478260869565216,0.5,0.11428571428571428,1.0,0.15279503105590062,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,UNIFORM_V1,1.0,1.0,True,0,21,0.043478260869565216,1.0,0.0,1.0,0.043478260869565216,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,MILD_SHRINKAGE,2.0,2.0,False,0,21,0.08,0.1,0.45714285714285713,1.0,0.5005714285714286,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,MILD_SHRINKAGE,2.0,2.0,False,0,21,0.08,0.25,0.2857142857142857,1.0,0.34285714285714286,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,MILD_SHRINKAGE,2.0,2.0,False,0,21,0.08,0.5,0.11428571428571428,1.0,0.18514285714285716,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
AT_OR_ABOVE_BASELINE_MEDIAN,MILD_SHRINKAGE,2.0,2.0,False,0,21,0.08,1.0,0.0,1.0,0.08,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7
