metric,value,status
uncertainty_rows_equal_39,1,PASS
normal_rows_equal_35,1,PASS
recovery_rows_equal_4,1,PASS
target_profile_rows_equal_480,1,PASS
loyo_profile_rows_equal_24,1,PASS
prior_sensitivity_rows_match_expected,1,PASS
summary_rows_match_expected,1,PASS
envelope_rows_equal_target_profiles,1,PASS
all_probabilities_in_0_1,1,PASS
lower_not_above_central_when_completion_positive,1,PASS
upper_not_below_central_when_completion_positive,1,PASS
cutoff_blocked_rows_have_zero_unconditional_envelope,1,PASS
no_recommendation_enabled,1,PASS
all_recommendations_not_issued,1,PASS
all_policy_hashes_present,1,PASS
prior_sensitivity_rows,24,INFO
robustness_summary_rows,8,INFO
robustness_envelope_rows,480,INFO
max_conditional_robustness_width,0.15128205128205124,INFO
policy_hash,957026d0fdecd88e4af9bada85c293064350365f4d7b62e86e59c3f8eb0231f7,INFO
