state_id,domain,evidence_id,subject_attempt_id,related_attempt_id,binding_quality,source_name,source_class,source_reference,evidence_semantic
DTV2-2022-ALEXANDER_ROSSI,ACTION_LANE,R2B3-ROSSI-LANE1-ACTION,b3147013-0fda-5982-bea1-85788019ef89,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,PAIR_EXACT,Autosport + INDYCAR Official Qualification Results,REPUTABLE_SECONDARY_EDITORIAL+OFFICIAL_RESULTS,R2B2A-ROSSI-LANE1-AUTOSPORT,WITHDRAW_EXISTING_RESULT_AND_USE_LANE1|LANE_1
DTV2-2022-ALEXANDER_ROSSI,DECISION_STATE,R2C3-2022-ROSSI-01,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,b3147013-0fda-5982-bea1-85788019ef89,PAIR_EXACT,Autosport,REPUTABLE_SECONDARY_EDITORIAL,ROSSI_PRE_SECOND_RUN_RANK,15|OUTSIDE|12|UNKNOWN
DTV2-2022-ALEXANDER_ROSSI,DECISION_STATE,R2C3-2022-ROSSI-02,b3147013-0fda-5982-bea1-85788019ef89,1e2facfd-2c67-5b5a-9556-04ef28eeb0d8,PAIR_EXACT,Autosport,REPUTABLE_SECONDARY_EDITORIAL,ROSSI_POST_SECOND_RUN_RANK,21|OUTSIDE|12|UNKNOWN
DTV2-2022-CALLUM_ILOTT,ACTION_LANE,R1G26D-ILOTT-AUTOSPORT-RETAKE,8fa25fec-e5a6-5844-b3d7-f67c9dc91378,3cd6d98a-da75-5822-8dae-05e83ad8457c,PAIR_EXACT,AUTOSPORT,REPUTABLE_SECONDARY_EDITORIAL,R1G26D-ILOTT-AUTOSPORT-RETAKE,RETAKE_RUN|UNKNOWN
DTV2-2022-CALLUM_ILOTT,QUEUE,R2D3-2022-ILOTT-01,8fa25fec-e5a6-5844-b3d7-f67c9dc91378,3cd6d98a-da75-5822-8dae-05e83ad8457c,PAIR_EXACT,Autosport,REPUTABLE_SECONDARY_EDITORIAL,https://www.autosport.com/indycar/news/indy-500-sato-grosjean-johnson-into-top-12-fight-p13-33-set/10308540/,UNKNOWN|FIRST_RETAKE_IN_DESCRIBED_SEQUENCE
DTV2-2022-DAVID_MALUKAS,ACTION_LANE,R1G29C-MALUKAS-REPEAT-ACTION,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,619575d3-e7eb-5cce-886f-0a8485b98eba,PAIR_EXACT,Autosport + INDYCAR Official Qualification Results,REPUTABLE_SECONDARY_EDITORIAL+OFFICIAL_RESULTS,R1G29B-MALUKAS-AUTOSPORT,REPEAT_ATTEMPT_IMPROVED|UNKNOWN
DTV2-2022-DAVID_MALUKAS,DECISION_STATE,R2C3-2022-MALUKAS-01,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,619575d3-e7eb-5cce-886f-0a8485b98eba,PAIR_EXACT,Autosport,REPUTABLE_SECONDARY_EDITORIAL,POST_REPEAT_PROVISIONAL_TOP12_STATE,12|INSIDE|231.607
DTV2-2022-DAVID_MALUKAS,DECISION_STATE,R2C3-2022-MALUKAS-02,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,PAIR_PARTIAL,Autosport + The Race,REPUTABLE_SECONDARY_EDITORIAL_CORROBORATED,PROVISIONAL_P12_THEN_DISPLACED_OUTSIDE_TOP12,UNKNOWN|OUTSIDE|12
DTV2-2022-DAVID_MALUKAS,QUEUE,R2D3-2022-MALUKAS-01,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,619575d3-e7eb-5cce-886f-0a8485b98eba,PAIR_EXACT,Autosport,REPUTABLE_SECONDARY_EDITORIAL,https://www.autosport.com/indycar/news/indy-500-sato-grosjean-johnson-into-top-12-fight-p13-33-set/10308540/,CONFIRMED_GENERIC_LINE|UNKNOWN|UNKNOWN_FROM_LINE_PHRASE
DTV2-2022-DAVID_MALUKAS,QUEUE,R2D3-2022-MALUKAS-SATO-ORDER-01,85c917fa-1c7a-52cb-a47f-468b4bdae9a5,21e8c99e-b04c-516d-85a8-ccfbaed7ff46,PAIR_PARTIAL,Autosport,REPUTABLE_SECONDARY_EDITORIAL,https://www.autosport.com/indycar/news/indy-500-sato-grosjean-johnson-into-top-12-fight-p13-33-set/10308540/,NOT_APPLICABLE|UNKNOWN|BEFORE
