state_id,driver_name,domain,evidence_id,temporal_classification,source_name,source_class,source_semantic,state_stage,rank,cutoff_rank,feature_allowed
DTV3-2022-ALEXANDER_ROSSI,Alexander Rossi,PRE_DECISION_STATE,R2C3-2022-ROSSI-01,PRE_DECISION_ADMISSIBLE,Autosport,REPUTABLE_SECONDARY_EDITORIAL,ROSSI_PRE_SECOND_RUN_RANK,PRE_SECOND_RUN,15,12,True
DTV3-2022-ALEXANDER_ROSSI,Alexander Rossi,HISTORICAL_ACTION_LABEL,R2B3-ROSSI-LANE1-ACTION,LABEL_NOT_STATE_FEATURE,Autosport + INDYCAR Official Qualification Results,REPUTABLE_SECONDARY_EDITORIAL+OFFICIAL_RESULTS,WITHDRAW_EXISTING_RESULT_AND_USE_LANE1|LANE_1,HISTORICAL_ACTION,,,False
DTV3-2022-CALLUM_ILOTT,Callum Ilott,HISTORICAL_ACTION_LABEL,R1G26D-ILOTT-AUTOSPORT-RETAKE,LABEL_NOT_STATE_FEATURE,AUTOSPORT,REPUTABLE_SECONDARY_EDITORIAL,RETAKE_RUN|UNKNOWN,HISTORICAL_ACTION,,,False
DTV3-2022-DAVID_MALUKAS,David Malukas,HISTORICAL_ACTION_LABEL,R1G29C-MALUKAS-REPEAT-ACTION,LABEL_NOT_STATE_FEATURE,Autosport + INDYCAR Official Qualification Results,REPUTABLE_SECONDARY_EDITORIAL+OFFICIAL_RESULTS,REPEAT_ATTEMPT_IMPROVED|UNKNOWN,HISTORICAL_ACTION,,,False
DTV3-2022-HELIO_CASTRONEVES,Helio Castroneves,HISTORICAL_ACTION_LABEL,R1G25C-CASTRONEVES-FIRST-RUN-BAILOUT,LABEL_NOT_STATE_FEATURE,THE_RACE_2022_DAY1,REPUTABLE_SECONDARY_EDITORIAL,BAILED_OUT_OF_FIRST_RUN|UNKNOWN,HISTORICAL_ACTION,,,False
DTV3-2022-MARCO_ANDRETTI,Marco Andretti,HISTORICAL_ACTION_LABEL,R1G28F-MARCO-SECOND-ACTION,LABEL_NOT_STATE_FEATURE,The Race + INDYCAR Official Qualification Results,REPUTABLE_SECONDARY_EDITORIAL+OFFICIAL_RESULTS,SECOND_ATTEMPT|UNKNOWN,HISTORICAL_ACTION,,,False
DTV3-2022-SAGE_KARAM,Sage Karam,HISTORICAL_ACTION_LABEL,R1G30C-KARAM-REPEAT-ACTION,LABEL_NOT_STATE_FEATURE,Autosport + INDYCAR Official Qualification Results,REPUTABLE_SECONDARY_EDITORIAL+OFFICIAL_RESULTS,REPEAT_ATTEMPT_IMPROVED|UNKNOWN,HISTORICAL_ACTION,,,False
DTV3-2022-SCOTT_MCLAUGHLIN,Scott McLaughlin,PRE_DECISION_STATE,R2C3-2022-MCLAUGHLIN-01,PRE_DECISION_ADMISSIBLE,The Race,REPUTABLE_SECONDARY_EDITORIAL,EXISTING_15TH_PLACE_RESULT_BEFORE_LANE1_ACTION,PRE_ACTION_EXISTING_RESULT,15,12,True
DTV3-2022-SCOTT_MCLAUGHLIN,Scott McLaughlin,HISTORICAL_ACTION_LABEL,R1G19-MCLAUGHLIN-LANE1,LABEL_NOT_STATE_FEATURE,The Race,REPUTABLE_SECONDARY_EDITORIAL,WITHDRAW_EXISTING_RESULT_AND_USE_LANE1|LANE_1,HISTORICAL_ACTION,,,False
DTV3-2022-TAKUMA_SATO,Takuma Sato,HISTORICAL_ACTION_LABEL,R1G27D-SATO-ACTION,LABEL_NOT_STATE_FEATURE,INDYCAR 2022 Day 1 Qualifying Recap,INDYCAR_OFFICIAL_EDITORIAL+INDYCAR_OFFICIAL_RESULTS,REQUIRED_REATTEMPT_AFTER_INVALIDATION|UNKNOWN,HISTORICAL_ACTION,,,False
