domain,evidence_id,year,driver_name,classification,state_stage,state_semantic,rank,rank_lower_bound,rank_upper_bound,cutoff_rank,cutoff_speed_mph,queue_membership,queue_lane,queue_position,relative_run_order,source_name,source_class,predecision_feature_allowed
DECISION_STATE,R2C3-2022-MCLAUGHLIN-02,2022,Scott McLaughlin,POST_ACTION_OUTCOME_ONLY,POST_RERUN_SEQUENCE,LATER_TEMPORAL_RANK_AFTER_TRACK_REOPENED,26,26,26,12,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,The Race,REPUTABLE_SECONDARY_EDITORIAL,False
DECISION_STATE,R2C3-2022-ROSSI-02,2022,Alexander Rossi,POST_ACTION_OUTCOME_ONLY,POST_SECOND_RUN,ROSSI_POST_SECOND_RUN_RANK,21,21,21,12,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Autosport,REPUTABLE_SECONDARY_EDITORIAL,False
DECISION_STATE,R2C3-2022-MALUKAS-01,2022,David Malukas,POST_ACTION_OUTCOME_ONLY,POST_REPEAT_PROVISIONAL,POST_REPEAT_PROVISIONAL_TOP12_STATE,12,12,12,12,231.607,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Autosport,REPUTABLE_SECONDARY_EDITORIAL,False
DECISION_STATE,R2C3-2022-SATO-01,2022,Takuma Sato,POST_ACTION_OUTCOME_ONLY,POST_REATTEMPT_PROVISIONAL,SATO_TO_P12_DISPLACES_MALUKAS_FROM_TOP12,12,12,12,12,231.708,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Autosport + The Race,REPUTABLE_SECONDARY_EDITORIAL_CORROBORATED,False
DECISION_STATE,R2C3-2022-MALUKAS-02,2022,David Malukas,POST_ACTION_OUTCOME_ONLY,POST_SATO_DISPLACEMENT,PROVISIONAL_P12_THEN_DISPLACED_OUTSIDE_TOP12,UNKNOWN,13,UNKNOWN,12,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Autosport + The Race,REPUTABLE_SECONDARY_EDITORIAL_CORROBORATED,False
QUEUE,R2D3-2022-MCLAUGHLIN-01,2022,Scott McLaughlin,POST_ACTION_TRANSITION_ONLY,EXPLICIT_QUEUE_POSITION,FRONT_OF_LANE1_QUEUE_AFTER_WITHDRAWING_EXISTING_RESULT,15,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED,LANE_1,FRONT,UNKNOWN,The Race,REPUTABLE_SECONDARY_EDITORIAL,False
QUEUE,R2D3-2022-ILOTT-01,2022,Callum Ilott,ORDERING_ONLY,RETAKE_RUN_ORDER,FIRST_RETAKE_RUN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,FIRST_RETAKE_IN_DESCRIBED_SEQUENCE,Autosport,REPUTABLE_SECONDARY_EDITORIAL,False
QUEUE,R2D3-2022-MALUKAS-01,2022,David Malukas,POST_ACTION_TRANSITION_ONLY,GENERIC_QUEUE_MEMBERSHIP,PUT_IN_LINE_FOR_REPEAT_RUN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED_GENERIC_LINE,UNKNOWN,UNKNOWN,UNKNOWN_FROM_LINE_PHRASE,Autosport,REPUTABLE_SECONDARY_EDITORIAL,False
QUEUE,R2D3-2022-SATO-01,2022,Takuma Sato,POST_ACTION_TRANSITION_ONLY,GENERIC_QUEUE_MEMBERSHIP,PUT_IN_LINE_FOR_REATTEMPT,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CONFIRMED_GENERIC_LINE,UNKNOWN,UNKNOWN,UNKNOWN_FROM_LINE_PHRASE,Autosport,REPUTABLE_SECONDARY_EDITORIAL,False
QUEUE,R2D3-2022-MALUKAS-SATO-ORDER-01,2022,David Malukas,ORDERING_ONLY,RELATIVE_RUN_ORDER,MALUKAS_SECOND_BEFORE_SATO_SECOND,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,UNKNOWN,BEFORE,Autosport,REPUTABLE_SECONDARY_EDITORIAL,False
