current_retained_speed_mph,required_gain_mph,absolute_target_speed_mph,baseline_group,time_remaining_minutes,wait_scenario_id,p_completed_rerun,p_no_completed_rerun,central_target_success_probability,target_success_robustness_lower,target_success_robustness_upper,p_any_gain_given_completed,p_any_loss_given_completed,expected_delta_given_completed_mph,delta_q05_mph,delta_q50_mph,delta_q95_mph,cutoff_state,opportunity_band,risk_band,largest_sensitivity_source,decision_profile_status,recommendation,final_policy_hash
229.0,0.1,229.1,LOW_BASELINE,10.0,WAIT_05MIN,1.0,0.0,0.5928571428571429,0.5692307692307692,0.6666666666666667,0.7428571428571429,0.2571428571428571,0.7839686200000018,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.25,229.25,LOW_BASELINE,10.0,WAIT_05MIN,1.0,0.0,0.4642857142857143,0.4153846153846154,0.5666666666666667,0.7428571428571429,0.2571428571428571,0.7839686200000018,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.5,229.5,LOW_BASELINE,10.0,WAIT_05MIN,1.0,0.0,0.3357142857142857,0.3230769230769231,0.3666666666666666,0.7428571428571429,0.2571428571428571,0.7839686200000018,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,LOW_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,1.0,230.0,LOW_BASELINE,10.0,WAIT_05MIN,1.0,0.0,0.25,0.2,0.3333333333333333,0.7428571428571429,0.2571428571428571,0.7839686200000018,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,LOW_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.1,229.1,LOW_BASELINE,10.0,WAIT_15MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.25,229.25,LOW_BASELINE,10.0,WAIT_15MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.5,229.5,LOW_BASELINE,10.0,WAIT_15MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,1.0,230.0,LOW_BASELINE,10.0,WAIT_15MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.1,229.1,LOW_BASELINE,10.0,WAIT_30MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.25,229.25,LOW_BASELINE,10.0,WAIT_30MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.5,229.5,LOW_BASELINE,10.0,WAIT_30MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,1.0,230.0,LOW_BASELINE,10.0,WAIT_30MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.1,229.1,LOW_BASELINE,10.0,WAIT_45MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.25,229.25,LOW_BASELINE,10.0,WAIT_45MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.5,229.5,LOW_BASELINE,10.0,WAIT_45MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,1.0,230.0,LOW_BASELINE,10.0,WAIT_45MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.1,229.1,LOW_BASELINE,20.0,WAIT_05MIN,1.0,0.0,0.5928571428571429,0.5692307692307692,0.6666666666666667,0.7428571428571429,0.2571428571428571,0.784659190000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.25,229.25,LOW_BASELINE,20.0,WAIT_05MIN,1.0,0.0,0.4642857142857143,0.4153846153846154,0.5666666666666667,0.7428571428571429,0.2571428571428571,0.784659190000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.5,229.5,LOW_BASELINE,20.0,WAIT_05MIN,1.0,0.0,0.3357142857142857,0.3230769230769231,0.3666666666666666,0.7428571428571429,0.2571428571428571,0.784659190000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,LOW_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,1.0,230.0,LOW_BASELINE,20.0,WAIT_05MIN,1.0,0.0,0.25,0.2,0.3333333333333333,0.7428571428571429,0.2571428571428571,0.784659190000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,LOW_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.1,229.1,LOW_BASELINE,20.0,WAIT_15MIN,1.0,0.0,0.5928571428571429,0.5692307692307692,0.6666666666666667,0.7428571428571429,0.2571428571428571,0.781189410000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.25,229.25,LOW_BASELINE,20.0,WAIT_15MIN,1.0,0.0,0.4642857142857143,0.4153846153846154,0.5666666666666667,0.7428571428571429,0.2571428571428571,0.781189410000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,MODERATE_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.5,229.5,LOW_BASELINE,20.0,WAIT_15MIN,1.0,0.0,0.3357142857142857,0.3230769230769231,0.3666666666666666,0.7428571428571429,0.2571428571428571,0.781189410000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,LOW_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,1.0,230.0,LOW_BASELINE,20.0,WAIT_15MIN,1.0,0.0,0.25,0.2,0.3333333333333333,0.7428571428571429,0.2571428571428571,0.781189410000002,-0.382000000000005,0.2270000000000038,4.694999999999993,COMPLETION_FEASIBLE_UNDER_SCENARIO,LOW_TARGET_OPPORTUNITY,MODERATE_COMPLETED_RUN_DOWNSIDE,CROSS_YEAR_LOYO,TARGET_AWARE_RISK_PROFILE_AVAILABLE,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.1,229.1,LOW_BASELINE,20.0,WAIT_30MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.25,229.25,LOW_BASELINE,20.0,WAIT_30MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.5,229.5,LOW_BASELINE,20.0,WAIT_30MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,1.0,230.0,LOW_BASELINE,20.0,WAIT_30MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
229.0,0.1,229.1,LOW_BASELINE,20.0,WAIT_45MIN,0.0,1.0,0.0,0.0,0.0,0.7428571428571429,0.2571428571428571,,,,,CUTOFF_BLOCKED,NO_TARGET_OPPORTUNITY_UNDER_SCENARIO,CUTOFF_DOMINATED,CROSS_YEAR_LOYO,NO_RERUN_COMPLETION_UNDER_WAIT_SCENARIO,NOT_ISSUED,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394
