metric,value,status
output_rows_equal_480,1,PASS
compact_rows_equal_480,1,PASS
unique_scenario_keys_equal_expected,1,PASS
no_duplicate_scenario_keys,1,PASS
all_probabilities_in_0_1,1,PASS
completion_plus_failure_equals_one,1,PASS
robustness_lower_not_above_central,1,PASS
robustness_upper_not_below_central,1,PASS
cutoff_blocked_target_probability_zero,1,PASS
cutoff_blocked_robustness_zero,1,PASS
no_recommendation_enabled,1,PASS
all_recommendations_not_issued,1,PASS
all_caveats_present,1,PASS
all_final_policy_hashes_present,1,PASS
final_profile_rows,480,INFO
cutoff_blocked_rows,192,INFO
completion_feasible_rows,288,INFO
normal_empirical_rows,35,INFO
recovery_like_empirical_rows,4,INFO
policy_hash,e0fcb330ff1d3953549fa63adb805a1a03b452ceb606affc228de0ba82288394,INFO
