metric,expected_value,actual_value,status,global_policy_hash
canonical_attempts,329,329,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
performance_timing_total,136,136,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
repeat_uncertainty_rows,39,39,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
normal_rows,35,35,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
recovery_rows,4,4,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
direct_queue_wait_pairs,0,0,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
complete_run_duration_rows,260,260,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
mc_scenarios,120,120,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
draws_per_scenario,100000,100000,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
total_mc_draws,12000000,12000000,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
target_compact_rows,480,480,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
loyo_profile_rows,24,24,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
robustness_envelope_rows,480,480,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
final_profile_rows,480,480,PASS,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144
