metric,value,status
all_expected_numeric_invariants_pass,1,PASS
final_recommendation_enabled_count_zero,1,PASS
all_final_recommendations_not_issued,1,PASS
no_queue_wait_historical_claim,1,PASS
no_leaderboard_historical_claim,1,PASS
queue_policy_direct_wait_unobserved,1,PASS
queue_policy_position_unobserved,1,PASS
queue_policy_2024_cutoff_exact,1,PASS
metadata_profile_rows_match,1,PASS
metadata_normal_rows_match,1,PASS
metadata_recovery_rows_match,1,PASS
metadata_recommendation_disabled,1,PASS
all_phase_qas_pass,1,PASS
all_required_sources_have_policy_hash,1,PASS
final_phase8a_qa_pass,1,PASS
numeric_invariant_rows,14,INFO
phase_qa_files_audited,9,INFO
policy_hash_inventory_rows,11,INFO
global_policy_hash,8972ef7667126756eedf27624163201fcf3fed011b9f524b9d32016a94d05144,INFO
