year,field_name,value,count
2020,CarNumber,9,4
2020,CarNumber,30,3
2020,CarNumber,88,3
2020,CarNumber,26,3
2020,CarNumber,12,3
2020,CarNumber,15,2
2020,CarNumber,8,2
2020,CarNumber,45,2
2020,CarNumber,1,2
2020,CarNumber,5,2
2020,CarNumber,20,2
2020,CarNumber,47,2
2020,CarNumber,60,2
2020,CarNumber,7,2
2020,CarNumber,22,2
2020,CarNumber,51,2
2020,CarNumber,3,2
2020,CarNumber,4,2
2020,CarNumber,59,2
2020,CarNumber,81,2
2020,CarNumber,98,1
2020,CarNumber,28,1
2020,CarNumber,27,1
2020,CarNumber,29,1
2020,CarNumber,21,1
2020,CarNumber,55,1
2020,CarNumber,10,1
2020,CarNumber,18,1
2020,CarNumber,14,1
2020,CarNumber,41,1
2020,CarNumber,66,1
2020,CarNumber,24,1
2020,CarNumber,67,1
2020,DriverName,Scott Dixon,4
2020,DriverName,Takuma Sato,3
2020,DriverName,Colton Herta,3
2020,DriverName,Zach Veach,3
2020,DriverName,Will Power,3
2020,DriverName,Graham Rahal,2
2020,DriverName,Marcus Ericsson,2
2020,DriverName,Spencer Pigot,2
2020,DriverName,Josef Newgarden,2
2020,DriverName,Pato O'Ward,2
2020,DriverName,Ed Carpenter,2
2020,DriverName,Conor Daly,2
2020,DriverName,Jack Harvey,2
2020,DriverName,Oliver Askew,2
2020,DriverName,Simon Pagenaud,2
2020,DriverName,James Davison,2
2020,DriverName,Helio Castroneves,2
2020,DriverName,Charlie Kimball,2
2020,DriverName,Max Chilton,2
2020,DriverName,Ben Hanley,2
2020,DriverName,Marco Andretti,1
2020,DriverName,Ryan Hunter-Reay,1
2020,DriverName,Alexander Rossi,1
2020,DriverName,James Hinchcliffe,1
2020,DriverName,Rinus VeeKay,1
2020,DriverName,Alex Palou,1
2020,DriverName,Felix Rosenqvist,1
2020,DriverName,Santino Ferrucci,1
2020,DriverName,Tony Kanaan,1
2020,DriverName,Dalton Kellett,1
2020,DriverName,Fernando Alonso,1
2020,DriverName,Sage Karam,1
2020,DriverName,JR Hildebrand,1
2020,DriverOverrideID,3628,4
2020,DriverOverrideID,3811,3
2020,DriverOverrideID,4511,3
2020,DriverOverrideID,4235,3
2020,DriverOverrideID,3667,3
2020,DriverOverrideID,3668,2
2020,DriverOverrideID,4905,2
2020,DriverOverrideID,4232,2
2020,DriverOverrideID,4215,2
2020,DriverOverrideID,4559,2
2020,DriverOverrideID,3620,2
2020,DriverOverrideID,4218,2
2020,DriverOverrideID,4505,2
2020,DriverOverrideID,4616,2
2020,DriverOverrideID,4276,2
2020,DriverOverrideID,3709,2
2020,DriverOverrideID,3622,2
2020,DriverOverrideID,4144,2
2020,DriverOverrideID,4558,2
2020,DriverOverrideID,4906,2
2020,DriverOverrideID,3608,1
2020,DriverOverrideID,3645,1
2020,DriverOverrideID,4587,1
2020,DriverOverrideID,4216,1
2020,DriverOverrideID,4614,1
2020,DriverOverrideID,4931,1
2020,DriverOverrideID,4588,1
2020,DriverOverrideID,4897,1
2020,DriverOverrideID,3648,1
2020,DriverOverrideID,4416,1
2020,DriverOverrideID,4628,1
2020,DriverOverrideID,4247,1
2020,DriverOverrideID,3736,1
2020,DriverUrl,/Drivers/Scott-Dixon,4
2020,DriverUrl,/Drivers/Takuma-Sato,3
2020,DriverUrl,/Drivers/Will-Power,3
2020,DriverUrl,/Drivers/Graham-Rahal,2
2020,DriverUrl,/Drivers/Marcus-Ericsson,2
2020,DriverUrl,/Drivers/Josef-Newgarden,2
2020,DriverUrl,/Drivers/Pato-OWard,2
2020,DriverUrl,/Drivers/Ed-Carpenter,2
2020,DriverUrl,/Drivers/Conor-Daly,2
2020,DriverUrl,/Drivers/Jack-Harvey,2
2020,DriverUrl,/Drivers/Helio-Castroneves,2
2020,DriverUrl,/Drivers/Ryan-Hunter-Reay,1
2020,DriverUrl,/Drivers/Alexander-Rossi,1
2020,DriverUrl,/Drivers/Rinus-VeeKay,1
2020,DriverUrl,/Drivers/Alex-Palou,1
2020,DriverUrl,/Drivers/Felix-Rosenqvist,1
2020,DriverUrl,/Drivers/Santino-Ferrucci,1
2020,DriversID,3628,4
2020,DriversID,3811,3
2020,DriversID,4511,3
2020,DriversID,4235,3
2020,DriversID,3667,3
2020,DriversID,3668,2
2020,DriversID,4905,2
2020,DriversID,4232,2
2020,DriversID,4215,2
2020,DriversID,4559,2
2020,DriversID,3620,2
2020,DriversID,4218,2
2020,DriversID,4505,2
2020,DriversID,4616,2
2020,DriversID,4276,2
2020,DriversID,3709,2
2020,DriversID,3622,2
2020,DriversID,4144,2
2020,DriversID,4558,2
2020,DriversID,4906,2
2020,DriversID,3608,1
2020,DriversID,3645,1
2020,DriversID,4587,1
2020,DriversID,4216,1
2020,DriversID,4614,1
2020,DriversID,4931,1
2020,DriversID,4588,1
2020,DriversID,4897,1
2020,DriversID,3648,1
2020,DriversID,4416,1
2020,DriversID,4628,1
2020,DriversID,4247,1
2020,DriversID,3736,1
2020,EventsEntrylistID,33574,4
2020,EventsEntrylistID,33586,3
2020,EventsEntrylistID,33590,3
2020,EventsEntrylistID,33583,3
2020,EventsEntrylistID,33576,3
2020,EventsEntrylistID,33578,2
2020,EventsEntrylistID,33573,2
2020,EventsEntrylistID,33595,2
2020,EventsEntrylistID,33569,2
2020,EventsEntrylistID,33571,2
2020,EventsEntrylistID,33580,2
2020,EventsEntrylistID,33588,2
2020,EventsEntrylistID,33589,2
2020,EventsEntrylistID,33572,2
2020,EventsEntrylistID,33582,2
2020,EventsEntrylistID,33596,2
2020,EventsEntrylistID,33592,2
2020,EventsEntrylistID,33570,2
2020,EventsEntrylistID,33597,2
2020,EventsEntrylistID,33600,2
2020,EventsEntrylistID,33591,1
2020,EventsEntrylistID,33585,1
2020,EventsEntrylistID,33584,1
2020,EventsEntrylistID,33601,1
2020,EventsEntrylistID,33581,1
2020,EventsEntrylistID,33587,1
2020,EventsEntrylistID,33575,1
2020,EventsEntrylistID,33579,1
2020,EventsEntrylistID,33577,1
2020,EventsEntrylistID,33594,1
2020,EventsEntrylistID,33598,1
2020,EventsEntrylistID,33593,1
2020,EventsEntrylistID,33599,1
2020,EventsSessionsID,5771,59
2020,FirstName,Scott,4
2020,FirstName,James,3
2020,FirstName,Takuma,3
2020,FirstName,Colton,3
2020,FirstName,Zach,3
2020,FirstName,Will,3
2020,FirstName,Graham,2
2020,FirstName,Marcus,2
2020,FirstName,Spencer,2
2020,FirstName,Josef,2
2020,FirstName,Pato,2
2020,FirstName,Ed,2
2020,FirstName,Conor,2
2020,FirstName,Jack,2
2020,FirstName,Oliver,2
2020,FirstName,Simon,2
2020,FirstName,Helio,2
2020,FirstName,Charlie,2
2020,FirstName,Max,2
2020,FirstName,Ben,2
2020,FirstName,Marco,1
2020,FirstName,Ryan,1
2020,FirstName,Alexander,1
2020,FirstName,Rinus,1
2020,FirstName,Alex,1
2020,FirstName,Felix,1
2020,FirstName,Santino,1
2020,FirstName,Tony,1
2020,FirstName,Dalton,1
2020,FirstName,Fernando,1
2020,FirstName,Sage,1
2020,FirstName,JR,1
2020,IsDeleted,False,59
2020,LastName,Dixon,4
2020,LastName,Sato,3
2020,LastName,Herta,3
2020,LastName,Veach,3
2020,LastName,Power,3
2020,LastName,Rahal,2
2020,LastName,Ericsson,2
2020,LastName,Pigot,2
2020,LastName,Newgarden,2
2020,LastName,O'Ward,2
2020,LastName,Carpenter,2
2020,LastName,Daly,2
2020,LastName,Harvey,2
2020,LastName,Askew,2
2020,LastName,Pagenaud,2
2020,LastName,Davison,2
2020,LastName,Castroneves,2
2020,LastName,Kimball,2
2020,LastName,Chilton,2
2020,LastName,Hanley,2
2020,LastName,Andretti,1
2020,LastName,Hunter-Reay,1
2020,LastName,Rossi,1
2020,LastName,Hinchcliffe,1
2020,LastName,VeeKay,1
2020,LastName,Palou,1
2020,LastName,Rosenqvist,1
2020,LastName,Ferrucci,1
2020,LastName,Kanaan,1
2020,LastName,Kellett,1
2020,LastName,Alonso,1
2020,LastName,Karam,1
2020,LastName,Hildebrand,1
2020,TeamName,Team Penske,9
2020,TeamName,Chip Ganassi Racing,7
2020,TeamName,Andretti Autosport,6
2020,TeamName,ECR,5
2020,TeamName,Rahal Letterman Lanigan Racing,5
2020,TeamName,Arrow McLaren,5
2020,TeamName,A.J. Foyt Enterprises,4
2020,TeamName,Andretti Steinbrenner Autosport,3
2020,TeamName,Rahal Letterman Lanigan Racing with Citrone/Buhl Autosport,2
2020,TeamName,Meyer Shank Racing,2
2020,TeamName,"Dale Coyne Racing with Rick Ware Racing, BYRD and Belardi Auto Racing",2
2020,TeamName,Carlin,2
2020,TeamName,Dreyer & Reinbold Racing,2
2020,TeamName,DragonSpeed / Cusick Motorsports,2
2020,TeamName,Andretti Herta w/ Marco & Curb-Agajanian,1
2020,TeamName,Dale Coyne Racing with RWR,1
2020,TeamName,Dale Coyne Racing with Vasser-Sullivan,1
2021,CarNumber,98,3
2021,CarNumber,25,3
2021,CarNumber,24,3
2021,CarNumber,16,3
2021,CarNumber,26,2
2021,CarNumber,21,2
2021,CarNumber,06,2
2021,CarNumber,10,2
2021,CarNumber,18,2
2021,CarNumber,7,2
2021,CarNumber,30,2
2021,CarNumber,47,2
2021,CarNumber,60,2
2021,CarNumber,2,2
2021,CarNumber,45,2
2021,CarNumber,86,2
2021,CarNumber,4,2
2021,CarNumber,12,2
2021,CarNumber,11,2
2021,CarNumber,75,2
2021,CarNumber,9,1
2021,CarNumber,48,1
2021,CarNumber,20,1
2021,CarNumber,28,1
2021,CarNumber,8,1
2021,CarNumber,27,1
2021,CarNumber,5,1
2021,CarNumber,51,1
2021,CarNumber,29,1
2021,CarNumber,3,1
2021,CarNumber,15,1
2021,CarNumber,1,1
2021,CarNumber,22,1
2021,CarNumber,14,1
2021,CarNumber,59,1
2021,DriverName,Marco Andretti,3
2021,DriverName,Stefan Wilson,3
2021,DriverName,Sage Karam,3
2021,DriverName,Simona De Silvestro,3
2021,DriverName,Colton Herta,2
2021,DriverName,Rinus VeeKay,2
2021,DriverName,Helio Castroneves,2
2021,DriverName,Alex Palou,2
2021,DriverName,Ed Jones,2
2021,DriverName,Felix Rosenqvist,2
2021,DriverName,Takuma Sato,2
2021,DriverName,Conor Daly,2
2021,DriverName,Jack Harvey,2
2021,DriverName,Josef Newgarden,2
2021,DriverName,Santino Ferrucci,2
2021,DriverName,Juan Pablo Montoya,2
2021,DriverName,Dalton Kellett,2
2021,DriverName,Will Power,2
2021,DriverName,Charlie Kimball,2
2021,DriverName,RC Enerson,2
2021,DriverName,Scott Dixon,1
2021,DriverName,Tony Kanaan,1
2021,DriverName,Ed Carpenter,1
2021,DriverName,Ryan Hunter-Reay,1
2021,DriverName,Marcus Ericsson,1
2021,DriverName,Alexander Rossi,1
2021,DriverName,Pato O'Ward,1
2021,DriverName,Pietro Fittipaldi,1
2021,DriverName,James Hinchcliffe,1
2021,DriverName,Scott McLaughlin,1
2021,DriverName,Graham Rahal,1
2021,DriverName,JR Hildebrand,1
2021,DriverName,Simon Pagenaud,1
2021,DriverName,Sebastien Bourdais,1
2021,DriverName,Max Chilton,1
2021,DriverOverrideID,3608,3
2021,DriverOverrideID,3803,3
2021,DriverOverrideID,4247,3
2021,DriverOverrideID,3813,3
2021,DriverOverrideID,4511,2
2021,DriverOverrideID,4614,2
2021,DriverOverrideID,3622,2
2021,DriverOverrideID,4931,2
2021,DriverOverrideID,4542,2
2021,DriverOverrideID,4588,2
2021,DriverOverrideID,3811,2
2021,DriverOverrideID,4218,2
2021,DriverOverrideID,4505,2
2021,DriverOverrideID,4215,2
2021,DriverOverrideID,4897,2
2021,DriverOverrideID,4002,2
2021,DriverOverrideID,4416,2
2021,DriverOverrideID,3667,2
2021,DriverOverrideID,4144,2
2021,DriverOverrideID,4442,2
2021,DriverOverrideID,3628,1
2021,DriverOverrideID,3648,1
2021,DriverOverrideID,3620,1
2021,DriverOverrideID,3645,1
2021,DriverOverrideID,4905,1
2021,DriverOverrideID,4587,1
2021,DriverOverrideID,4559,1
2021,DriverOverrideID,4882,1
2021,DriverOverrideID,4216,1
2021,DriverOverrideID,4932,1
2021,DriverOverrideID,3668,1
2021,DriverOverrideID,3736,1
2021,DriverOverrideID,4276,1
2021,DriverOverrideID,4021,1
2021,DriverOverrideID,4558,1
2021,DriverUrl,/Drivers/Rinus-VeeKay,2
2021,DriverUrl,/Drivers/Helio-Castroneves,2
2021,DriverUrl,/Drivers/Alex-Palou,2
2021,DriverUrl,/Drivers/Felix-Rosenqvist,2
2021,DriverUrl,/Drivers/Takuma-Sato,2
2021,DriverUrl,/Drivers/Conor-Daly,2
2021,DriverUrl,/Drivers/Jack-Harvey,2
2021,DriverUrl,/Drivers/Josef-Newgarden,2
2021,DriverUrl,/Drivers/Santino-Ferrucci,2
2021,DriverUrl,/Drivers/Will-Power,2
2021,DriverUrl,/Drivers/Scott-Dixon,1
2021,DriverUrl,/Drivers/Ed-Carpenter,1
2021,DriverUrl,/Drivers/Ryan-Hunter-Reay,1
2021,DriverUrl,/Drivers/Marcus-Ericsson,1
2021,DriverUrl,/Drivers/Alexander-Rossi,1
2021,DriverUrl,/Drivers/Pato-OWard,1
2021,DriverUrl,/Drivers/Scott-McLaughlin,1
2021,DriverUrl,/Drivers/Graham-Rahal,1
2021,DriversID,3608,3
2021,DriversID,3803,3
2021,DriversID,4247,3
2021,DriversID,3813,3
2021,DriversID,4511,2
2021,DriversID,4614,2
2021,DriversID,3622,2
2021,DriversID,4931,2
2021,DriversID,4542,2
2021,DriversID,4588,2
2021,DriversID,3811,2
2021,DriversID,4218,2
2021,DriversID,4505,2
2021,DriversID,4215,2
2021,DriversID,4897,2
2021,DriversID,4002,2
2021,DriversID,4416,2
2021,DriversID,3667,2
2021,DriversID,4144,2
2021,DriversID,4442,2
2021,DriversID,3628,1
2021,DriversID,3648,1
2021,DriversID,3620,1
2021,DriversID,3645,1
2021,DriversID,4905,1
2021,DriversID,4587,1
2021,DriversID,4559,1
2021,DriversID,4882,1
2021,DriversID,4216,1
2021,DriversID,4932,1
2021,DriversID,3668,1
2021,DriversID,3736,1
2021,DriversID,4276,1
2021,DriversID,4021,1
2021,DriversID,4558,1
2021,EventsEntrylistID,33931,3
2021,EventsEntrylistID,33927,3
2021,EventsEntrylistID,33926,3
2021,EventsEntrylistID,33924,3
2021,EventsEntrylistID,33910,2
2021,EventsEntrylistID,33908,2
2021,EventsEntrylistID,33922,2
2021,EventsEntrylistID,33903,2
2021,EventsEntrylistID,33906,2
2021,EventsEntrylistID,33900,2
2021,EventsEntrylistID,33913,2
2021,EventsEntrylistID,33907,2
2021,EventsEntrylistID,33916,2
2021,EventsEntrylistID,33897,2
2021,EventsEntrylistID,33928,2
2021,EventsEntrylistID,33930,2
2021,EventsEntrylistID,33898,2
2021,EventsEntrylistID,33904,2
2021,EventsEntrylistID,33923,2
2021,EventsEntrylistID,33929,2
2021,EventsEntrylistID,33902,1
2021,EventsEntrylistID,33920,1
2021,EventsEntrylistID,33925,1
2021,EventsEntrylistID,33912,1
2021,EventsEntrylistID,33901,1
2021,EventsEntrylistID,33911,1
2021,EventsEntrylistID,33899,1
2021,EventsEntrylistID,33914,1
2021,EventsEntrylistID,33919,1
2021,EventsEntrylistID,33918,1
2021,EventsEntrylistID,33905,1
2021,EventsEntrylistID,33921,1
2021,EventsEntrylistID,33909,1
2021,EventsEntrylistID,33917,1
2021,EventsEntrylistID,33915,1
2021,EventsSessionsID,5838,59
2021,FirstName,Ed,3
2021,FirstName,Marco,3
2021,FirstName,Stefan,3
2021,FirstName,Sage,3
2021,FirstName,Simona,3
2021,FirstName,Scott,2
2021,FirstName,Colton,2
2021,FirstName,Rinus,2
2021,FirstName,Helio,2
2021,FirstName,Alex,2
2021,FirstName,Felix,2
2021,FirstName,Takuma,2
2021,FirstName,Conor,2
2021,FirstName,Jack,2
2021,FirstName,Josef,2
2021,FirstName,Santino,2
2021,FirstName,Juan Pablo,2
2021,FirstName,Dalton,2
2021,FirstName,Will,2
2021,FirstName,Charlie,2
2021,FirstName,RC,2
2021,FirstName,Tony,1
2021,FirstName,Ryan,1
2021,FirstName,Marcus,1
2021,FirstName,Alexander,1
