year,session_id,record_index,raw_json,field__BestLapTime,field__BestSpeed,field__BestSpeedFormatted,field__CarNumber,field__Difference,field__DriverName,field__DriverOverrideID,field__DriverUrl,field__DriversID,field__ElapsedTime,field__EventsEntrylistID,field__EventsSessionsDetailsID,field__EventsSessionsID,field__FirstName,field__Gap,field__InLap,field__IsDeleted,field__LapsComplete,field__LapsDown,field__LapsLed,field__LastName,field__PitStops,field__PointsEarned,field__PositionFinish,field__PositionStart,field__QualLap1,field__QualLap2,field__QualLap3,field__QualLap4,field__SpeedAvg,field__SpeedAvgFormatted,field__Status,field__TeamName,field__TimesLed
2020,5771,1,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""98"", ""Difference"": null, ""DriverName"": ""Marco Andretti"", ""DriverOverrideID"": 3608, ""DriverUrl"": null, ""DriversID"": 3608, ""ElapsedTime"": ""02:35.6078"", ""EventsEntrylistID"": 33591, ""EventsSessionsDetailsID"": 99787, ""EventsSessionsID"": 5771, ""FirstName"": ""Marco"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Andretti"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 1, ""PositionStart"": null, ""QualLap1"": "" 38.7635"", ""QualLap2"": "" 38.8670"", ""QualLap3"": "" 38.9664"", ""QualLap4"": "" 39.0109"", ""SpeedAvg"": 231.351, ""SpeedAvgFormatted"": ""231.351"", ""Status"": null, ""TeamName"": ""Andretti Herta w/ Marco & Curb-Agajanian"", ""TimesLed"": null}",,,,98,,Marco Andretti,3608,,3608,02:35.6078,33591,99787,5771,Marco,,,False,,,,Andretti,,,1,, 38.7635, 38.8670, 38.9664, 39.0109,231.351,231.351,,Andretti Herta w/ Marco & Curb-Agajanian,
2020,5771,2,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""28"", ""Difference"": null, ""DriverName"": ""Ryan Hunter-Reay"", ""DriverOverrideID"": 3645, ""DriverUrl"": ""/Drivers/Ryan-Hunter-Reay"", ""DriversID"": 3645, ""ElapsedTime"": ""02:35.6217"", ""EventsEntrylistID"": 33585, ""EventsSessionsDetailsID"": 99788, ""EventsSessionsID"": 5771, ""FirstName"": ""Ryan"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Hunter-Reay"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 2, ""PositionStart"": null, ""QualLap1"": "" 38.8512"", ""QualLap2"": "" 38.8759"", ""QualLap3"": "" 38.9241"", ""QualLap4"": "" 38.9705"", ""SpeedAvg"": 231.33, ""SpeedAvgFormatted"": ""231.330"", ""Status"": null, ""TeamName"": ""Andretti Autosport"", ""TimesLed"": null}",,,,28,,Ryan Hunter-Reay,3645,/Drivers/Ryan-Hunter-Reay,3645,02:35.6217,33585,99788,5771,Ryan,,,False,,,,Hunter-Reay,,,2,, 38.8512, 38.8759, 38.9241, 38.9705,231.33,231.330,,Andretti Autosport,
2020,5771,3,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""27"", ""Difference"": null, ""DriverName"": ""Alexander Rossi"", ""DriverOverrideID"": 4587, ""DriverUrl"": ""/Drivers/Alexander-Rossi"", ""DriversID"": 4587, ""ElapsedTime"": ""02:35.6638"", ""EventsEntrylistID"": 33584, ""EventsSessionsDetailsID"": 99789, ""EventsSessionsID"": 5771, ""FirstName"": ""Alexander"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Rossi"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 3, ""PositionStart"": null, ""QualLap1"": "" 38.8122"", ""QualLap2"": "" 38.8774"", ""QualLap3"": "" 38.9814"", ""QualLap4"": "" 38.9928"", ""SpeedAvg"": 231.268, ""SpeedAvgFormatted"": ""231.268"", ""Status"": null, ""TeamName"": ""Andretti Autosport"", ""TimesLed"": null}",,,,27,,Alexander Rossi,4587,/Drivers/Alexander-Rossi,4587,02:35.6638,33584,99789,5771,Alexander,,,False,,,,Rossi,,,3,, 38.8122, 38.8774, 38.9814, 38.9928,231.268,231.268,,Andretti Autosport,
2020,5771,4,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""29"", ""Difference"": null, ""DriverName"": ""James Hinchcliffe"", ""DriverOverrideID"": 4216, ""DriverUrl"": null, ""DriversID"": 4216, ""ElapsedTime"": ""02:35.7126"", ""EventsEntrylistID"": 33601, ""EventsSessionsDetailsID"": 99790, ""EventsSessionsID"": 5771, ""FirstName"": ""James"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Hinchcliffe"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 4, ""PositionStart"": null, ""QualLap1"": "" 38.8282"", ""QualLap2"": "" 38.8948"", ""QualLap3"": "" 38.9530"", ""QualLap4"": "" 39.0366"", ""SpeedAvg"": 231.195, ""SpeedAvgFormatted"": ""231.195"", ""Status"": null, ""TeamName"": ""Andretti Autosport"", ""TimesLed"": null}",,,,29,,James Hinchcliffe,4216,,4216,02:35.7126,33601,99790,5771,James,,,False,,,,Hinchcliffe,,,4,, 38.8282, 38.8948, 38.9530, 39.0366,231.195,231.195,,Andretti Autosport,
2020,5771,5,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""9"", ""Difference"": null, ""DriverName"": ""Scott Dixon"", ""DriverOverrideID"": 3628, ""DriverUrl"": ""/Drivers/Scott-Dixon"", ""DriversID"": 3628, ""ElapsedTime"": ""02:35.7396"", ""EventsEntrylistID"": 33574, ""EventsSessionsDetailsID"": 99791, ""EventsSessionsID"": 5771, ""FirstName"": ""Scott"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Dixon"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 5, ""PositionStart"": null, ""QualLap1"": "" 38.7626"", ""QualLap2"": "" 38.9061"", ""QualLap3"": "" 38.9957"", ""QualLap4"": "" 39.0752"", ""SpeedAvg"": 231.155, ""SpeedAvgFormatted"": ""231.155"", ""Status"": null, ""TeamName"": ""Chip Ganassi Racing"", ""TimesLed"": null}",,,,9,,Scott Dixon,3628,/Drivers/Scott-Dixon,3628,02:35.7396,33574,99791,5771,Scott,,,False,,,,Dixon,,,5,, 38.7626, 38.9061, 38.9957, 39.0752,231.155,231.155,,Chip Ganassi Racing,
2020,5771,6,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""21"", ""Difference"": null, ""DriverName"": ""Rinus VeeKay"", ""DriverOverrideID"": 4614, ""DriverUrl"": ""/Drivers/Rinus-VeeKay"", ""DriversID"": 4614, ""ElapsedTime"": ""02:35.7674"", ""EventsEntrylistID"": 33581, ""EventsSessionsDetailsID"": 99792, ""EventsSessionsID"": 5771, ""FirstName"": ""Rinus"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""VeeKay"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 6, ""PositionStart"": null, ""QualLap1"": "" 38.8284"", ""QualLap2"": "" 38.9562"", ""QualLap3"": "" 38.9800"", ""QualLap4"": "" 39.0028"", ""SpeedAvg"": 231.114, ""SpeedAvgFormatted"": ""231.114"", ""Status"": null, ""TeamName"": ""ECR"", ""TimesLed"": null}",,,,21,,Rinus VeeKay,4614,/Drivers/Rinus-VeeKay,4614,02:35.7674,33581,99792,5771,Rinus,,,False,,,,VeeKay,,,6,, 38.8284, 38.9562, 38.9800, 39.0028,231.114,231.114,,ECR,
2020,5771,7,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""55"", ""Difference"": null, ""DriverName"": ""Alex Palou"", ""DriverOverrideID"": 4931, ""DriverUrl"": ""/Drivers/Alex-Palou"", ""DriversID"": 4931, ""ElapsedTime"": ""02:35.8213"", ""EventsEntrylistID"": 33587, ""EventsSessionsDetailsID"": 99793, ""EventsSessionsID"": 5771, ""FirstName"": ""Alex"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Palou"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 7, ""PositionStart"": null, ""QualLap1"": "" 38.8681"", ""QualLap2"": "" 38.9254"", ""QualLap3"": "" 38.9934"", ""QualLap4"": "" 39.0344"", ""SpeedAvg"": 231.034, ""SpeedAvgFormatted"": ""231.034"", ""Status"": null, ""TeamName"": ""Dale Coyne Racing with RWR"", ""TimesLed"": null}",,,,55,,Alex Palou,4931,/Drivers/Alex-Palou,4931,02:35.8213,33587,99793,5771,Alex,,,False,,,,Palou,,,7,, 38.8681, 38.9254, 38.9934, 39.0344,231.034,231.034,,Dale Coyne Racing with RWR,
2020,5771,8,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""15"", ""Difference"": null, ""DriverName"": ""Graham Rahal"", ""DriverOverrideID"": 3668, ""DriverUrl"": ""/Drivers/Graham-Rahal"", ""DriversID"": 3668, ""ElapsedTime"": ""02:35.9641"", ""EventsEntrylistID"": 33578, ""EventsSessionsDetailsID"": 99794, ""EventsSessionsID"": 5771, ""FirstName"": ""Graham"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Rahal"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 8, ""PositionStart"": null, ""QualLap1"": "" 38.9438"", ""QualLap2"": "" 38.9820"", ""QualLap3"": "" 39.0050"", ""QualLap4"": "" 39.0333"", ""SpeedAvg"": 230.822, ""SpeedAvgFormatted"": ""230.822"", ""Status"": null, ""TeamName"": ""Rahal Letterman Lanigan Racing"", ""TimesLed"": null}",,,,15,,Graham Rahal,3668,/Drivers/Graham-Rahal,3668,02:35.9641,33578,99794,5771,Graham,,,False,,,,Rahal,,,8,, 38.9438, 38.9820, 39.0050, 39.0333,230.822,230.822,,Rahal Letterman Lanigan Racing,
2020,5771,9,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""30"", ""Difference"": null, ""DriverName"": ""Takuma Sato"", ""DriverOverrideID"": 3811, ""DriverUrl"": ""/Drivers/Takuma-Sato"", ""DriversID"": 3811, ""ElapsedTime"": ""02:35.9844"", ""EventsEntrylistID"": 33586, ""EventsSessionsDetailsID"": 99795, ""EventsSessionsID"": 5771, ""FirstName"": ""Takuma"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Sato"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 9, ""PositionStart"": null, ""QualLap1"": "" 38.9200"", ""QualLap2"": "" 39.0011"", ""QualLap3"": "" 39.0100"", ""QualLap4"": "" 39.0533"", ""SpeedAvg"": 230.792, ""SpeedAvgFormatted"": ""230.792"", ""Status"": null, ""TeamName"": ""Rahal Letterman Lanigan Racing"", ""TimesLed"": null}",,,,30,,Takuma Sato,3811,/Drivers/Takuma-Sato,3811,02:35.9844,33586,99795,5771,Takuma,,,False,,,,Sato,,,9,, 38.9200, 39.0011, 39.0100, 39.0533,230.792,230.792,,Rahal Letterman Lanigan Racing,
2020,5771,10,"{""BestLapTime"": null, ""BestSpeed"": null, ""BestSpeedFormatted"": null, ""CarNumber"": ""88"", ""Difference"": null, ""DriverName"": ""Colton Herta"", ""DriverOverrideID"": 4511, ""DriverUrl"": null, ""DriversID"": 4511, ""ElapsedTime"": ""02:35.9962"", ""EventsEntrylistID"": 33590, ""EventsSessionsDetailsID"": 99796, ""EventsSessionsID"": 5771, ""FirstName"": ""Colton"", ""Gap"": null, ""InLap"": null, ""IsDeleted"": false, ""LapsComplete"": null, ""LapsDown"": null, ""LapsLed"": null, ""LastName"": ""Herta"", ""PitStops"": null, ""PointsEarned"": null, ""PositionFinish"": 10, ""PositionStart"": null, ""QualLap1"": "" 38.8374"", ""QualLap2"": "" 38.9965"", ""QualLap3"": "" 39.0561"", ""QualLap4"": "" 39.1062"", ""SpeedAvg"": 230.775, ""SpeedAvgFormatted"": ""230.775"", ""Status"": null, ""TeamName"": ""Andretti Steinbrenner Autosport"", ""TimesLed"": null}",,,,88,,Colton Herta,4511,,4511,02:35.9962,33590,99796,5771,Colton,,,False,,,,Herta,,,10,, 38.8374, 38.9965, 39.0561, 39.1062,230.775,230.775,,Andretti Steinbrenner Autosport,
