year,session_id,report_index,report_type,pdf_path,text_path,extract_ok,pdftotext_returncode,char_count,nonempty_line_count,total_term_hits,terms_found,stderr
2020,5771,01,Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2020_5771_01_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_01_Results.txt,True,0,8673,68,34,"[""withdraw"", ""withdrawn"", ""attempt"", ""time"", ""rank"", ""waved"", ""waved off""]",
2020,5771,02,Section Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2020_5771_02_Section_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_02_Section_Results.txt,True,0,128628,1060,1,"[""time""]",
2020,5771,03,Top Section Times,weather/evidence/rescue/official_day1_session_details/reports_v2/2020_5771_03_Top_Section_Times.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2020_5771_03_Top_Section_Times.txt,True,0,134106,1212,94,"[""time"", ""rank""]",
2021,5838,01,Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_01_Results.txt,True,0,8893,68,35,"[""withdraw"", ""withdrawn"", ""attempt"", ""time"", ""rank"", ""bump"", ""waved"", ""waved off""]",
2021,5838,02,Section Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_02_Section_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_02_Section_Results.txt,True,0,134139,1107,1,"[""time""]",
2021,5838,03,Top Section Times,weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_03_Top_Section_Times.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2021_5838_03_Top_Section_Times.txt,True,0,137442,1247,88,"[""time"", ""rank""]",
2022,6033,01,Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2022_6033_01_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2022_6033_01_Results.txt,True,0,7067,54,18,"[""withdraw"", ""withdrawn"", ""attempt"", ""time"", ""rank"", ""waved"", ""waved off""]",
2022,6033,02,Section Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2022_6033_02_Section_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2022_6033_02_Section_Results.txt,True,0,105101,855,1,"[""time""]",
2022,6033,03,Top Section Times,weather/evidence/rescue/official_day1_session_details/reports_v2/2022_6033_03_Top_Section_Times.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2022_6033_03_Top_Section_Times.txt,True,0,127262,1158,88,"[""time"", ""rank""]",
2023,6202,01,Overall Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2023_6202_01_Overall_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2023_6202_01_Overall_Results.txt,True,0,5239,42,2,"[""time"", ""rank""]",
2023,6202,02,Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2023_6202_02_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2023_6202_02_Results.txt,True,0,12182,94,55,"[""withdraw"", ""withdrawn"", ""attempt"", ""time"", ""rank"", ""bump"", ""waved"", ""waved off""]",
2023,6202,03,Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2023_6202_03_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2023_6202_03_Results.txt,True,0,5326,43,2,"[""time"", ""rank""]",
2023,6202,04,Section Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2023_6202_04_Section_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2023_6202_04_Section_Results.txt,True,0,153932,1287,1,"[""time""]",
2023,6202,05,Top Section Times,weather/evidence/rescue/official_day1_session_details/reports_v2/2023_6202_05_Top_Section_Times.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2023_6202_05_Top_Section_Times.txt,True,0,172392,1559,118,"[""time"", ""rank""]",
2024,6382,01,Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2024_6382_01_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2024_6382_01_Results.txt,True,0,11001,83,58,"[""withdraw"", ""withdrawn"", ""attempt"", ""time"", ""rank"", ""bump"", ""waved"", ""waved off""]",
2024,6382,02,Section Results,weather/evidence/rescue/official_day1_session_details/reports_v2/2024_6382_02_Section_Results.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2024_6382_02_Section_Results.txt,True,0,157215,1498,1,"[""time""]",
2024,6382,03,Top Section Times,weather/evidence/rescue/official_day1_session_details/reports_v2/2024_6382_03_Top_Section_Times.pdf,weather/evidence/rescue/official_day1_session_details/report_text_v1/2024_6382_03_Top_Section_Times.txt,True,0,194690,1778,136,"[""time"", ""rank""]",
