year,source_file,source_line_number,result_row,car_number,driver_name_pdf,engine_tire,qual_lap_1,qual_lap_2,qual_lap_3,qual_lap_4,elapsed_time,speed_avg_mph,status,raw_line
2020,2020_5771_01_Results.txt,8,1,98,"Andretti, Marco",D/H/F,38.7635,38.8670,38.9664,39.0109,02:35.6078,231.351,," 1     98   Andretti, Marco      D/H/F    38.7635     38.8670    38.9664    39.0109    02:35.6078     231.351       Day 1"
2020,2020_5771_01_Results.txt,9,2,28,"Hunter-Reay, Ryan",D/H/F,38.8512,38.8759,38.9241,38.9705,02:35.6217,231.330,," 2     28   Hunter-Reay, Ryan    D/H/F    38.8512     38.8759    38.9241    38.9705    02:35.6217     231.330       Day 1"
2020,2020_5771_01_Results.txt,10,3,27,"Rossi, Alexander",D/H/F,38.8122,38.8774,38.9814,38.9928,02:35.6638,231.268,," 3     27   Rossi, Alexander     D/H/F    38.8122     38.8774    38.9814    38.9928    02:35.6638     231.268       Day 1"
2020,2020_5771_01_Results.txt,11,4,29,"Hinchcliffe, James",D/H/F,38.8282,38.8948,38.9530,39.0366,02:35.7126,231.195,," 4     29   Hinchcliffe, James   D/H/F    38.8282     38.8948    38.9530    39.0366    02:35.7126     231.195       Day 1"
2020,2020_5771_01_Results.txt,12,5,9,"Dixon, Scott",D/H/F,38.7626,38.9061,38.9957,39.0752,02:35.7396,231.155,," 5     9    Dixon, Scott         D/H/F    38.7626     38.9061    38.9957    39.0752    02:35.7396     231.155       Day 1"
2020,2020_5771_01_Results.txt,13,6,21,"VeeKay, Rinus",D/C/F,38.8284,38.9562,38.9800,39.0028,02:35.7674,231.114,," 6     21   VeeKay, Rinus        D/C/F    38.8284     38.9562    38.9800    39.0028    02:35.7674     231.114       Day 1"
2020,2020_5771_01_Results.txt,14,7,55,"Palou, Alex",D/H/F,38.8681,38.9254,38.9934,39.0344,02:35.8213,231.034,," 7     55   Palou, Alex          D/H/F    38.8681     38.9254    38.9934    39.0344    02:35.8213     231.034       Day 1"
2020,2020_5771_01_Results.txt,15,8,15,"Rahal, Graham",D/H/F,38.9438,38.9820,39.0050,39.0333,02:35.9641,230.822,," 8     15   Rahal, Graham        D/H/F    38.9438     38.9820    39.0050    39.0333    02:35.9641     230.822       Day 1"
2020,2020_5771_01_Results.txt,16,9,30,"Sato, Takuma",D/H/F,38.9200,39.0011,39.0100,39.0533,02:35.9844,230.792,," 9     30   Sato, Takuma         D/H/F    38.9200     39.0011    39.0100    39.0533    02:35.9844     230.792       Day 1"
2020,2020_5771_01_Results.txt,17,10,88,"Herta, Colton",D/H/F,38.8374,38.9965,39.0561,39.1062,02:35.9962,230.775,," 10    88   Herta, Colton        D/H/F    38.8374     38.9965    39.0561    39.1062    02:35.9962     230.775       Day 1"
2020,2020_5771_01_Results.txt,18,11,8,"Ericsson, Marcus",D/H/F,38.9144,39.0450,39.0506,39.1274,02:36.1374,230.566,," 11    8    Ericsson, Marcus     D/H/F    38.9144     39.0450    39.0506    39.1274    02:36.1374     230.566       Day 1"
2020,2020_5771_01_Results.txt,19,12,45,"Pigot, Spencer",D/H/F,38.9063,38.9863,39.0861,39.1770,02:36.1557,230.539,," 12    45   Pigot, Spencer       D/H/F    38.9063     38.9863    39.0861    39.1770    02:36.1557     230.539       Day 1"
2020,2020_5771_01_Results.txt,20,13,1,"Newgarden, Josef",D/C/F,39.0573,39.0611,39.0767,39.1252,02:36.3203,230.296,," 13    1    Newgarden, Josef     D/C/F    39.0573     39.0611    39.0767    39.1252    02:36.3203     230.296       Day 1"
2020,2020_5771_01_Results.txt,21,14,10,"Rosenqvist, Felix",D/H/F,39.0221,39.0956,39.1045,39.1269,02:36.3491,230.254,," 14    10   Rosenqvist, Felix    D/H/F    39.0221     39.0956    39.1045    39.1269    02:36.3491     230.254       Day 1"
2020,2020_5771_01_Results.txt,22,15,5,"O'Ward, Pato",D/C/F,38.9932,39.0884,39.1237,39.1716,02:36.3769,230.213,," 15    5    O'Ward, Pato         D/C/F    38.9932     39.0884    39.1237    39.1716    02:36.3769     230.213       Day 1"
2020,2020_5771_01_Results.txt,23,16,20,"Carpenter, Ed",D/C/F,39.0060,39.0795,39.0909,39.2017,02:36.3781,230.211,," 16    20   Carpenter, Ed        D/C/F    39.0060     39.0795    39.0909    39.2017    02:36.3781     230.211       Day 1"
2020,2020_5771_01_Results.txt,24,17,26,"Veach, Zach",D/H/F,39.0212,39.1183,39.1841,39.2248,02:36.5484,229.961,," 17    26   Veach, Zach          D/H/F    39.0212     39.1183    39.1841    39.2248    02:36.5484     229.961       Day 1"
2020,2020_5771_01_Results.txt,25,18,47,"Daly, Conor",D/C/F,38.9642,39.1489,39.1972,39.2422,02:36.5525,229.955,," 18    47   Daly, Conor          D/C/F    38.9642     39.1489    39.1972    39.2422    02:36.5525     229.955       Day 1"
2020,2020_5771_01_Results.txt,26,19,18,"Ferrucci, Santino",D/H/F,39.0531,39.1176,39.2006,39.2023,02:36.5736,229.924,," 19    18   Ferrucci, Santino    D/H/F    39.0531     39.1176    39.2006    39.2023    02:36.5736     229.924       Day 1"
2020,2020_5771_01_Results.txt,27,20,60,"Harvey, Jack",D/H/F,39.0298,39.1558,39.2385,39.1920,02:36.6161,229.861,," 20    60   Harvey, Jack         D/H/F    39.0298     39.1558    39.2385    39.1920    02:36.6161     229.861       Day 1"
2020,2020_5771_01_Results.txt,28,21,7,"Askew, Oliver",D/C/F,39.0787,39.1552,39.2128,39.2385,02:36.6852,229.760,," 21    7    Askew, Oliver        D/C/F    39.0787     39.1552    39.2128    39.2385    02:36.6852     229.760       Day 1"
2020,2020_5771_01_Results.txt,29,22,12,"Power, Will",D/C/F,39.0721,39.1698,39.2205,39.2628,02:36.7252,229.701,," 22    12   Power, Will          D/C/F    39.0721     39.1698    39.2205    39.2628    02:36.7252     229.701       Day 1"
2020,2020_5771_01_Results.txt,30,23,14,"Kanaan, Tony",D/C/F,39.1440,39.2427,39.3254,39.3872,02:37.0993,229.154,," 23    14   Kanaan, Tony         D/C/F    39.1440     39.2427    39.3254    39.3872    02:37.0993     229.154       Day 1"
2020,2020_5771_01_Results.txt,31,24,41,"Kellett, Dalton",D/C/F,39.2822,39.2943,39.3287,39.3828,02:37.2880,228.880,," 24    41   Kellett, Dalton      D/C/F    39.2822     39.2943    39.3287    39.3828    02:37.2880     228.880       Day 1"
2020,2020_5771_01_Results.txt,32,25,22,"Pagenaud, Simon",D/C/F,39.2107,39.2620,39.2958,39.5495,02:37.3180,228.836,," 25    22   Pagenaud, Simon      D/C/F    39.2107     39.2620    39.2958    39.5495    02:37.3180     228.836       Day 1"
2020,2020_5771_01_Results.txt,33,26,66,"Alonso, Fernando",D/C/F,39.2297,39.3278,39.3838,39.4233,02:37.3646,228.768,," 26    66   Alonso, Fernando     D/C/F    39.2297     39.3278    39.3838    39.4233    02:37.3646     228.768       Day 1"
2020,2020_5771_01_Results.txt,34,27,51,"Davison, James",D/H/F,38.9683,39.0851,39.5133,39.8122,02:37.3789,228.747,," 27    51   Davison, James       D/H/F    38.9683     39.0851    39.5133    39.8122    02:37.3789     228.747       Day 1"
2020,2020_5771_01_Results.txt,35,28,3,"Castroneves, Helio",D/C/F,39.1851,39.4148,39.4799,39.5570,02:37.6368,228.373,," 28    3    Castroneves, Helio   D/C/F    39.1851     39.4148    39.4799    39.5570    02:37.6368     228.373       Day 1"
2020,2020_5771_01_Results.txt,36,29,4,"Kimball, Charlie",D/C/F,39.1855,39.2330,39.3048,40.3392,02:38.0625,227.758,," 29    4    Kimball, Charlie     D/C/F    39.1855     39.2330    39.3048    40.3392    02:38.0625     227.758       Day 1"
2020,2020_5771_01_Results.txt,37,30,59,"Chilton, Max",D/C/F,39.4663,39.6188,39.6221,39.6717,02:38.3789,227.303,," 30    59   Chilton, Max         D/C/F    39.4663     39.6188    39.6221    39.6717    02:38.3789     227.303       Day 1"
2020,2020_5771_01_Results.txt,38,31,24,"Karam, Sage",D/C/F,39.5415,39.6010,39.6580,39.7205,02:38.5210,227.099,," 31    24   Karam, Sage          D/C/F    39.5415     39.6010    39.6580    39.7205    02:38.5210     227.099       Day 1"
2020,2020_5771_01_Results.txt,39,32,67,"Hildebrand, JR",D/C/F,39.3711,39.9418,39.8265,39.9124,02:39.0518,226.341,," 32    67   Hildebrand, JR       D/C/F    39.3711     39.9418    39.8265    39.9124    02:39.0518     226.341       Day 1"
2020,2020_5771_01_Results.txt,40,33,81,"Hanley, Ben",D/C/F,40.1922,40.4381,40.5140,40.3505,02:41.4948,222.917,," 33    81   Hanley, Ben          D/C/F    40.1922     40.4381    40.5140    40.3505    02:41.4948     222.917       Day 1"
2020,2020_5771_01_Results.txt,41,34,9,"Dixon, Scott",D/H/F,38.7337,38.8790,38.9878,0.0000,01:56.6005,231.560,Waved Off," 34    9    Dixon, Scott         D/H/F    38.7337     38.8790    38.9878     0.0000    01:56.6005     231.560       Day 1        Waved Off"
2020,2020_5771_01_Results.txt,42,35,9,"Dixon, Scott",D/H/F,38.8287,38.9341,38.9760,39.0421,02:35.7809,231.094,Retired," 35    9    Dixon, Scott         D/H/F    38.8287     38.9341    38.9760    39.0421    02:35.7809     231.094       Day 1          Retired"
