year,session_id,report_index,document_id,document_type,raw_path,downloaded,selected_strategy,selected_url,final_url,status_code,content_type,bytes,pdf_magic,sha256,local_path,errors
2020,5771,1,4fbad798-3ee3-49d6-b070-fd02e6503037,Results,INDYCAR/Documents/5771/2020-08-15/indycar-results-quals-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-results-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-results-quals-day1.pdf,200,application/pdf,844503,True,0e79809e2c57d544d2b9a00138934c8e3cf68493a0612e58e677806b4d3a6ead,weather/evidence/rescue/official_day1_session_details/reports_v2/2020_5771_01_Results.pdf,
2020,5771,2,ce0534ee-9e62-43f1-9201-ce265d36fab3,Section Results,INDYCAR/Documents/5771/2020-08-15/indycar-sectionresults-quals-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-sectionresults-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-sectionresults-quals-day1.pdf,200,application/pdf,270523,True,83a046b3d3054ab7dbb5409294c91bde1be3687a35b8894113a35ca983d2c8b4,weather/evidence/rescue/official_day1_session_details/reports_v2/2020_5771_02_Section_Results.pdf,
2020,5771,3,a2487467-c790-4a6e-937b-9f6b58f5f4f8,Top Section Times,INDYCAR/Documents/5771/2020-08-15/indycar-topsectiontimes-quals-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-topsectiontimes-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-topsectiontimes-quals-day1.pdf,200,application/pdf,264948,True,8c0ae210d19bb253a77378976de1540dc88a01d68c2ffd6f0aeb4b0a5d0821e9,weather/evidence/rescue/official_day1_session_details/reports_v2/2020_5771_03_Top_Section_Times.pdf,
2021,5838,1,d8245705-9ee9-4ba0-92d7-a954f8cc47f1,Results,INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf,200,application/pdf,828492,True,7c773e62d54478f04810531107fd3dec51cf840247b5828e1a12332276d9874a,weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_01_Results.pdf,
2021,5838,2,e877fdac-3953-4257-a782-52e177f76210,Section Results,INDYCAR/Documents/5838/2021-05-22/indycar-sectionresults-quals-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-sectionresults-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-sectionresults-quals-day1.pdf,200,application/pdf,302960,True,c53a2e94e4e11c8f8cfb515128ef04e8d1832508ec8d55377edfc70392c94e6c,weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_02_Section_Results.pdf,
2021,5838,3,5c21d5b6-d685-45b4-8398-b70d69d7c465,Top Section Times,INDYCAR/Documents/5838/2021-05-22/indycar-topsectiontimes-quals-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-topsectiontimes-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-topsectiontimes-quals-day1.pdf,200,application/pdf,326934,True,3c791ca618313a3ff2702d076a27d13a6a9b9336ff75172fe26b04ce355efba8,weather/evidence/rescue/official_day1_session_details/reports_v2/2021_5838_03_Top_Section_Times.pdf,
2022,6033,1,c1826ed2-b1c2-42d4-8d35-3b68286ed2da,Results,INDYCAR/Documents/6033/2022-05-21/indycar-officialqualresults-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-officialqualresults-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-officialqualresults-day1.pdf,200,application/pdf,852613,True,95ba427d6920f5c57728cb1809117e291acf339f99f441f76171cb3f9f1693af,weather/evidence/rescue/official_day1_session_details/reports_v2/2022_6033_01_Results.pdf,
2022,6033,2,c243cf3d-7da1-41fb-9d4e-c6f54f2e016c,Section Results,INDYCAR/Documents/6033/2022-05-21/indycar-sectionresults-quals-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-sectionresults-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-sectionresults-quals-day1.pdf,200,application/pdf,246955,True,fffba5a9d78a312961f9a2e3d1e1d4019fcf6e06eb9b98f83875ec6161c1dc79,weather/evidence/rescue/official_day1_session_details/reports_v2/2022_6033_02_Section_Results.pdf,
2022,6033,3,fe3a8b0b-24ab-4784-abec-3b016a962e8b,Top Section Times,INDYCAR/Documents/6033/2022-05-21/indycar-topsectiontimes-quals-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-topsectiontimes-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-topsectiontimes-quals-day1.pdf,200,application/pdf,267722,True,e0b8faefb0e2f3013b90734f7a209057912ec7a6bdb9b4134893b1a329626757,weather/evidence/rescue/official_day1_session_details/reports_v2/2022_6033_03_Top_Section_Times.pdf,
2023,6202,1,1be5c87d-287b-41fa-b1b7-fc5852d40392,Overall Results,INDYCAR/Documents/6202/2023-05-20/indycar-officialqualsfinalpostings-quals-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-officialqualsfinalpostings-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-officialqualsfinalpostings-quals-day1.pdf,200,application/pdf,961707,True,1e7c2431aa4e06d285cf5110daa399b2cde22e05c7cb50767478604c95d3209c,weather/evidence/rescue/official_day1_session_details/reports_v2/2023_6202_01_Overall_Results.pdf,
2023,6202,2,b5340669-4b5d-4531-9e3e-8b638f10f89e,Results,INDYCAR/Documents/6202/2023-05-20/indycar-results-quals-day1.pdf,True,HTTP_WWW_FRONTEND_STYLE,http://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-results-quals-day1.pdf,http://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-results-quals-day1.pdf,200,application/pdf,875885,True,88a5ed6041f697489d608094cfbb91177b45403ef4e92b67429ead65a1fdf344,weather/evidence/rescue/official_day1_session_details/reports_v2/2023_6202_02_Results.pdf,
