year,request_type,request_url,ok,status_code,content_type,bytes,sha256,error
2020,SESSION_DETAIL,https://www.indycar.com/api/results/EventsSessionDetails?id=5771,True,200,application/json; charset=utf-8,43454,da923b77141101566fdc20d5228cb2bc3c05e63e64733609f507046e9a284592,
2020,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-results-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2020,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-sectionresults-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2020,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/5771/2020-08-15/indycar-topsectiontimes-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2021,SESSION_DETAIL,https://www.indycar.com/api/results/EventsSessionDetails?id=5838,True,200,application/json; charset=utf-8,43481,966134f3735659c3695e0c8df27fb7c2c5352a09ec699442c46b841668f55ca9,
2021,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-results-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2021,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-sectionresults-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2021,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/5838/2021-05-22/indycar-topsectiontimes-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2022,SESSION_DETAIL,https://www.indycar.com/api/results/EventsSessionDetails?id=6033,True,200,application/json; charset=utf-8,32922,060a982c2ccb0b2406208ff63db28ffa510fe8d0ea4ae184b45f4076b5b19eee,
2022,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-officialqualresults-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2022,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-sectionresults-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2022,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6033/2022-05-21/indycar-topsectiontimes-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2023,SESSION_DETAIL,https://www.indycar.com/api/results/EventsSessionDetails?id=6202,True,200,application/json; charset=utf-8,26302,81394ddde635e4948554bb40d5b5408a6ae56efa7776f6c9be5f3a955c79a069,
2023,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-officialqualsfinalpostings-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2023,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-results-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2023,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-results-quals-day1 - MOD34.pdf,False,,,0,,InvalidURL: URL can't contain control characters. '/INDYCAR/Documents/6202/2023-05-20/indycar-results-quals-day1 - MOD34.pdf' (found at least ' ')
2023,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-sectionresults-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2023,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6202/2023-05-20/indycar-topsectiontimes-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2024,SESSION_DETAIL,https://www.indycar.com/api/results/EventsSessionDetails?id=6382,True,200,application/json; charset=utf-8,25743,799115c38360c8298bec537800e4f9ba3fa61a202131027c74e76451593b88d4,
2024,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6382/2024-05-18/indycar-results-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2024,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6382/2024-05-18/indycar-sectionresults-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
2024,SESSION_REPORT,https://www.imscdn.com/INDYCAR/Documents/6382/2024-05-18/indycar-topsectiontimes-quals-day1.pdf,False,,,0,,"URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.imscdn.com'. (_ssl.c:1081)>"
