year,script_url,official_indycar_host,fetch_attempted,ok,status_code,content_type,bytes,sha256,local_path,dynamic_term_hits,high_value_term_hits,error
2020,https://go.indianapolismotorspeedway.com/js/forms2/js/forms2.min.js,False,False,,,,,,,,,
2020,https://www.indycar.com/bundles/scripts/indycar/v2/bundle?v=Y7uvJAxKjgqcUN-MzaUNJ58nW7SCLw7-yYV2trrlOd41,True,True,True,200,text/javascript; charset=utf-8,606987,95f1c0ac3f92c55ea398674dc81ec6309a6969c037f947be9d74b501a3296f58,weather/evidence/rescue/official_dynamic_resources/2020_002_bundle.js,$.ajax;/api/;ajax;api/;eventid;json;qualification;qualifying;report;reports;results;sessionid;sessionreport;timing;xmlhttprequest,/api/;eventid;qualification;sessionid;sessionreport;timing,
2021,https://go.indianapolismotorspeedway.com/js/forms2/js/forms2.min.js,False,False,,,,,,,,,
2021,https://www.indycar.com/bundles/scripts/indycar/v2/bundle?v=Y7uvJAxKjgqcUN-MzaUNJ58nW7SCLw7-yYV2trrlOd41,True,True,True,200,text/javascript; charset=utf-8,606987,95f1c0ac3f92c55ea398674dc81ec6309a6969c037f947be9d74b501a3296f58,weather/evidence/rescue/official_dynamic_resources/2021_002_bundle.js,$.ajax;/api/;ajax;api/;eventid;json;qualification;qualifying;report;reports;results;sessionid;sessionreport;timing;xmlhttprequest,/api/;eventid;qualification;sessionid;sessionreport;timing,
2022,https://go.indianapolismotorspeedway.com/js/forms2/js/forms2.min.js,False,False,,,,,,,,,
2022,https://www.indycar.com/bundles/scripts/indycar/v2/bundle?v=Y7uvJAxKjgqcUN-MzaUNJ58nW7SCLw7-yYV2trrlOd41,True,True,True,200,text/javascript; charset=utf-8,606987,95f1c0ac3f92c55ea398674dc81ec6309a6969c037f947be9d74b501a3296f58,weather/evidence/rescue/official_dynamic_resources/2022_002_bundle.js,$.ajax;/api/;ajax;api/;eventid;json;qualification;qualifying;report;reports;results;sessionid;sessionreport;timing;xmlhttprequest,/api/;eventid;qualification;sessionid;sessionreport;timing,
2023,https://go.indianapolismotorspeedway.com/js/forms2/js/forms2.min.js,False,False,,,,,,,,,
2023,https://www.indycar.com/bundles/scripts/indycar/v2/bundle?v=Y7uvJAxKjgqcUN-MzaUNJ58nW7SCLw7-yYV2trrlOd41,True,True,True,200,text/javascript; charset=utf-8,606987,95f1c0ac3f92c55ea398674dc81ec6309a6969c037f947be9d74b501a3296f58,weather/evidence/rescue/official_dynamic_resources/2023_002_bundle.js,$.ajax;/api/;ajax;api/;eventid;json;qualification;qualifying;report;reports;results;sessionid;sessionreport;timing;xmlhttprequest,/api/;eventid;qualification;sessionid;sessionreport;timing,
2024,https://go.indianapolismotorspeedway.com/js/forms2/js/forms2.min.js,False,False,,,,,,,,,
2024,https://www.indycar.com/bundles/scripts/indycar/v2/bundle?v=Y7uvJAxKjgqcUN-MzaUNJ58nW7SCLw7-yYV2trrlOd41,True,True,True,200,text/javascript; charset=utf-8,606987,95f1c0ac3f92c55ea398674dc81ec6309a6969c037f947be9d74b501a3296f58,weather/evidence/rescue/official_dynamic_resources/2024_002_bundle.js,$.ajax;/api/;ajax;api/;eventid;json;qualification;qualifying;report;reports;results;sessionid;sessionreport;timing;xmlhttprequest,/api/;eventid;qualification;sessionid;sessionreport;timing,
