year,session_date,seed_url,anchor_text,candidate_url,host,official_indycar_host,candidate_type,priority_score,manual_review_status
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,Official Rulebook,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/indycar-rulebook.pdf,epaddock.indycar.com,True,PDF,12,UNREVIEWED
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,Download 2026 Schedule,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,www.indycar.com,True,PDF,12,UNREVIEWED
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,Results,https://www.indycar.com/Results,www.indycar.com,True,RESULTS_CANDIDATE,2,UNREVIEWED
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,Results By Driver,https://www.indycar.com/Results?type=driver,www.indycar.com,True,RESULTS_CANDIDATE,2,UNREVIEWED
2020,2020-08-15,https://www.indycar.com/results/ntt-indycar-series/2020/104th-running-of-the-indianapolis-500/qualifications---day-1,Results By Season,https://www.indycar.com/Results?type=season,www.indycar.com,True,RESULTS_CANDIDATE,2,UNREVIEWED
2021,2021-05-22,https://www.indycar.com/results/ntt-indycar-series/2021/105th-running-of-the-indianapolis-500/qualifications---day-1,Official Rulebook,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/indycar-rulebook.pdf,epaddock.indycar.com,True,PDF,12,UNREVIEWED
2021,2021-05-22,https://www.indycar.com/results/ntt-indycar-series/2021/105th-running-of-the-indianapolis-500/qualifications---day-1,Download 2026 Schedule,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,www.indycar.com,True,PDF,12,UNREVIEWED
2021,2021-05-22,https://www.indycar.com/results/ntt-indycar-series/2021/105th-running-of-the-indianapolis-500/qualifications---day-1,Results,https://www.indycar.com/Results,www.indycar.com,True,RESULTS_CANDIDATE,2,UNREVIEWED
2021,2021-05-22,https://www.indycar.com/results/ntt-indycar-series/2021/105th-running-of-the-indianapolis-500/qualifications---day-1,Results By Driver,https://www.indycar.com/Results?type=driver,www.indycar.com,True,RESULTS_CANDIDATE,2,UNREVIEWED
2021,2021-05-22,https://www.indycar.com/results/ntt-indycar-series/2021/105th-running-of-the-indianapolis-500/qualifications---day-1,Results By Season,https://www.indycar.com/Results?type=season,www.indycar.com,True,RESULTS_CANDIDATE,2,UNREVIEWED
2022,2022-05-21,https://www.indycar.com/results/ntt-indycar-series/2022/106th-running-of-the-indianapolis-500/qualifications---day-1,Official Rulebook,https://epaddock.indycar.com/docs/default-source/rules-regulations-and-policies/indycar-rulebook.pdf,epaddock.indycar.com,True,PDF,12,UNREVIEWED
2022,2022-05-21,https://www.indycar.com/results/ntt-indycar-series/2022/106th-running-of-the-indianapolis-500/qualifications---day-1,Download 2026 Schedule,https://www.indycar.com/-/media/Files/Current-Schedule.pdf,www.indycar.com,True,PDF,12,UNREVIEWED
2022,2022-05-21,https://www.indycar.com/results/ntt-indycar-series/2022/106th-running-of-the-indianapolis-500/qualifications---day-1,Results,https://www.indycar.com/Results,www.indycar.com,True,RESULTS_CANDIDATE,2,UNREVIEWED
2022,2022-05-21,https://www.indycar.com/results/ntt-indycar-series/2022/106th-running-of-the-indianapolis-500/qualifications---day-1,Results By Driver,https://www.indycar.com/Results?type=driver,www.indycar.com,True,RESULTS_CANDIDATE,2,UNREVIEWED
2022,2022-05-21,https://www.indycar.com/results/ntt-indycar-series/2022/106th-running-of-the-indianapolis-500/qualifications---day-1,Results By Season,https://www.indycar.com/Results?type=season,www.indycar.com,True,RESULTS_CANDIDATE,2,UNREVIEWED
