driver_name,source_path,source_class,unit_index,classification,pit_terms,refuel_terms,cooling_terms,tire_terms,adjustment_terms,repair_terms,run_context_terms,drivers_in_unit,service_between_attempts,refuel_confirmed,cooling_confirmed,tire_service_confirmed,adjustment_confirmed,repair_confirmed,exact_service_time,promotion_status,text
Marco Andretti,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,169,DIRECT_COOLING_CANDIDATE,,,cooldown,,,,first attempt,Marco Andretti|Takuma Sato,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"While slowing on his cooldown lap after his first attempt, Sato was judged to have impeded the qualifying attempt of the next driver, Marco Andretti."
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,169,DIRECT_COOLING_CANDIDATE,,,cooldown,,,,first attempt,Marco Andretti|Takuma Sato,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"While slowing on his cooldown lap after his first attempt, Sato was judged to have impeded the qualifying attempt of the next driver, Marco Andretti."
David Malukas,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_SATO_BUZZ.txt,INDYCAR_OFFICIAL_EDITORIAL,168,DIRECT_TIRE_SERVICE_CANDIDATE,,,,Tires,,,,David Malukas,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,14 ROKiT/AJ Foyt Racing Chevrolet) was widely praised for delivering a dominating season last year in Indy Lights presented by Cooper Tires – he won 10 of the 20 races to capture the series title – Malukas won seven races and only finished 13 points behind Kirkwood.
Marco Andretti,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,171,DIRECT_COOLING_CANDIDATE,,,cooldown,,,,first attempt,Marco Andretti|Takuma Sato,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"While slowing on his cooldown lap after his first attempt, Sato was judged to have impeded the qualifying attempt of the next driver, Marco Andretti."
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,171,DIRECT_COOLING_CANDIDATE,,,cooldown,,,,first attempt,Marco Andretti|Takuma Sato,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"While slowing on his cooldown lap after his first attempt, Sato was judged to have impeded the qualifying attempt of the next driver, Marco Andretti."
David Malukas,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_SATO_BUZZ.html,INDYCAR_OFFICIAL_EDITORIAL,170,DIRECT_TIRE_SERVICE_CANDIDATE,,,,Tires,,,,David Malukas,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,14 ROKiT/AJ Foyt Racing Chevrolet) was widely praised for delivering a dominating season last year in Indy Lights presented by Cooper Tires &ndash; he won 10 of the 20 races to capture the series title &ndash; Malukas won seven races and only finished 13 points behind Kirkwood.
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,26,PIT_MENTION_REVIEW,garage,,,,,,,Marco Andretti,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"Immediately drama struck as Arrow McLaren SP’s Juan Pablo Montoya lost a favourable ninth-place qualifying draw by failing tech inspection for a broken diffuser strake, Colton Herta had to go back to the garage to change and a Honda engine on his Andretti car and Stefan Wilson had the same issue for Cusick Motorsport."
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,56,DIRECT_COOLING_CANDIDATE,,,cool,,,,,Marco Andretti|Takuma Sato,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,Sato was originally in the top 12 early in the day but was robbed of his time after he didn’t move to the warm-up lane on his cool-down lap and subsequently impeded Marco Andretti.
Takuma Sato,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,56,DIRECT_COOLING_CANDIDATE,,,cool,,,,,Marco Andretti|Takuma Sato,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,Sato was originally in the top 12 early in the day but was robbed of his time after he didn’t move to the warm-up lane on his cool-down lap and subsequently impeded Marco Andretti.
Marco Andretti,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,25,PIT_MENTION_REVIEW,garage,,,,,,,Marco Andretti,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,REVIEW_REQUIRED,"Immediately drama struck as Arrow McLaren SP’s Juan Pablo Montoya lost a favourable ninth-place qualifying draw by failing tech inspection for a broken diffuser strake, Colton Herta had to go back to the garage to change and a Honda engine on his Andretti car and Stefan Wilson had the same issue for Cusick Motorsport."
