driver_name,source_path,source_class,source_native,unit_index,evidence_family,classification,nearest_driver,target_distance_chars,queue_terms,position_terms,ordering_terms,restart_terms,action_terms,drivers_in_unit,queue_wait_seconds,exact_timestamp,text,promotion_status
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_DAY1_RECAP.txt,INDYCAR_OFFICIAL_EDITORIAL,True,168,ORDERING_ONLY,SOURCE_NATIVE_RUN_ORDER_CANDIDATE,,,,,after his first run,,second attempt,Takuma Sato,UNKNOWN,UNKNOWN,"Sato was forced to make a second attempt after his first run of 232.196 was disallowed after INDYCAR officials penalized Sato for qualifying interference and failure to follow instructions, affecting another competitor.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/article_text/INDYCAR_2022_SATO_BUZZ.txt,INDYCAR_OFFICIAL_EDITORIAL,True,134,ORDERING_ONLY,SOURCE_NATIVE_RUN_ORDER_CANDIDATE,,,,,"After completing his four-lap run of 232.196 mph, Sato failed to exit the backstretch onto the deceleration lane, which surprised the next driver beginning his qualifying run",,,Takuma Sato,UNKNOWN,UNKNOWN,"After completing his four-lap run of 232.196 mph, Sato failed to exit the backstretch onto the deceleration lane, which surprised the next driver beginning his qualifying run.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_DAY1_RECAP.html,INDYCAR_OFFICIAL_EDITORIAL,True,170,ORDERING_ONLY,SOURCE_NATIVE_RUN_ORDER_CANDIDATE,,,,,after his first run,,second attempt,Takuma Sato,UNKNOWN,UNKNOWN,"Sato was forced to make a second attempt after his first run of 232.196 was disallowed after INDYCAR officials penalized Sato for qualifying interference and failure to follow instructions, affecting another competitor.",REVIEW_REQUIRED
Takuma Sato,weather/evidence/rescue/official_2022_editorial_chronology/raw_html/INDYCAR_2022_SATO_BUZZ.html,INDYCAR_OFFICIAL_EDITORIAL,True,136,ORDERING_ONLY,SOURCE_NATIVE_RUN_ORDER_CANDIDATE,,,,,"After completing his four-lap run of 232.196 mph, Sato failed to exit the backstretch onto the deceleration lane, which surprised the next driver beginning his qualifying run",,,Takuma Sato,UNKNOWN,UNKNOWN,"After completing his four-lap run of 232.196 mph, Sato failed to exit the backstretch onto the deceleration lane, which surprised the next driver beginning his qualifying run.",REVIEW_REQUIRED
Sage Karam,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,100,QUEUE,QUEUE_TERM_BELONGS_CLOSER_TO_OTHER_DRIVER,Scott McLaughlin,90,Lane 1 queue|front of the Lane 1 queue,front of the Lane 1 queue,,When the track re-opened,unable to improve,Sage Karam|Scott McLaughlin,UNKNOWN,UNKNOWN,"When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin – who gave his 15th place time to jump to the front of the Lane 1 queue – tumbled down to 26th as lightning struck in the distance.",REVIEW_REQUIRED
Scott McLaughlin,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,100,QUEUE,DIRECT_QUEUE_POSITION_CANDIDATE,Scott McLaughlin,47,Lane 1 queue|front of the Lane 1 queue,front of the Lane 1 queue,,When the track re-opened,unable to improve,Sage Karam|Scott McLaughlin,UNKNOWN,UNKNOWN,"When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin – who gave his 15th place time to jump to the front of the Lane 1 queue – tumbled down to 26th as lightning struck in the distance.",REVIEW_REQUIRED
Sage Karam,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,100,QUEUE,QUEUE_TERM_BELONGS_CLOSER_TO_OTHER_DRIVER,Scott McLaughlin,103,Lane 1 queue|front of the Lane 1 queue,front of the Lane 1 queue,,When the track re-opened,unable to improve,Sage Karam|Scott McLaughlin,UNKNOWN,UNKNOWN,"When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin – who gave his 15th place time to jump to the front of the Lane 1 queue – tumbled down to 26th as lightning struck in the distance.",REVIEW_REQUIRED
Scott McLaughlin,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,100,QUEUE,DIRECT_QUEUE_POSITION_CANDIDATE,Scott McLaughlin,60,Lane 1 queue|front of the Lane 1 queue,front of the Lane 1 queue,,When the track re-opened,unable to improve,Sage Karam|Scott McLaughlin,UNKNOWN,UNKNOWN,"When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin – who gave his 15th place time to jump to the front of the Lane 1 queue – tumbled down to 26th as lightning struck in the distance.",REVIEW_REQUIRED
Helio Castroneves,weather/evidence/rescue/secondary_2022_high_priority_chronology/article_text/THE_RACE_2022_DAY1.txt,SECONDARY_THE_RACE,True,108,ORDERING_ONLY,SOURCE_NATIVE_RUN_ORDER_CANDIDATE,,,,,after bailing out of his first run,,,Helio Castroneves,UNKNOWN,UNKNOWN,The 2021 winner Helio Castroneves will start 27th after bailing out of his first run due to the tricky conditions and a poor car balance.,REVIEW_REQUIRED
Sage Karam,weather/evidence/rescue/secondary_2022_high_priority_chronology/raw_html/THE_RACE_2022_DAY1.html,SECONDARY_THE_RACE,True,83,QUEUE,QUEUE_TERM_BELONGS_CLOSER_TO_OTHER_DRIVER,Scott McLaughlin,96,Lane 1 queue|front of the Lane 1 queue,front of the Lane 1 queue,,When the track re-opened,unable to improve,Sage Karam|Scott McLaughlin,UNKNOWN,UNKNOWN,"When the track re-opened, Sage Karam was unable to improve and Scott McLaughlin &#8211; who gave his 15th place time to jump to the front of the Lane 1 queue &#8211; tumbled down to 26th as lightning struck in the distance.",REVIEW_REQUIRED
