policy_id,component,status,allowed_representation,source,modeling_rule,simulation_use,policy_hash
QUEUE_WAIT_UNCERTAINTY_POLICY_V1,DIRECT_QUEUE_WAIT,UNOBSERVED,LATENT_UNCERTAINTY_ONLY,NONE_SUFFICIENT,DO_NOT_ESTIMATE_DIRECT_QUEUE_WAIT_FROM_RECORDER_CAPTURE_TIMESTAMPS,SCENARIO_OR_LATENT_MODEL_ONLY,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
QUEUE_WAIT_UNCERTAINTY_POLICY_V1,QUEUE_POSITION,UNOBSERVED,LATENT_STATE,NO_COMPLETE_HISTORICAL_LANE_STATE,DO_NOT_RECONSTRUCT_EXACT_LANE1_LANE2_QUEUE_STATE,SENSITIVITY_SCENARIO_ONLY,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
QUEUE_WAIT_UNCERTAINTY_POLICY_V1,ATTEMPT_THROUGHPUT,PARTIALLY_OBSERVED,DESCRIPTIVE_PROXY,PERFORMANCE_GRADE_SUPPORTED_ATTEMPT_TIMESTAMPS,ADJACENT_SUPPORTED_TIMESTAMP_SPACING_IS_NOT_QUEUE_WAIT,CALIBRATION_SANITY_CHECK_ONLY,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
QUEUE_WAIT_UNCERTAINTY_POLICY_V1,TIMED_RUN_DURATION,OBSERVED_SUPPORTED,EMPIRICAL_DISTRIBUTION,CANONICAL_COMPLETE_FOUR_LAP_ATTEMPTS,MAY_SAMPLE_OR_USE_EMPIRICAL_QUANTILES_FOR_RUN_DURATION,WITHDRAW_TO_COMPLETION_TIME_COMPONENT,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
QUEUE_WAIT_UNCERTAINTY_POLICY_V1,STAGING_AND_RELEASE_OVERHEAD,UNOBSERVED_SEPARATELY,LATENT_UNCERTAINTY,NO_SEPARATE_RELIABLE_MEASUREMENT,DO_NOT_SET_TO_ZERO_AS_FACT;HANDLE_IN_WAIT_SCENARIO,INCLUDED_IN_LATENT_WAIT_COMPONENT,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
QUEUE_WAIT_UNCERTAINTY_POLICY_V1,SESSION_CUTOFF_2024,EXACT_SUPPORTED,HARD_BOUNDARY,OFFICIAL_SESSION_BOUNDARY_EVIDENCE,2024_CUTOFF_21_50_UTC_MAY_BE_USED_AS_HARD_COMPLETION_BOUNDARY,CUTOFF_FEASIBILITY,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
QUEUE_WAIT_UNCERTAINTY_POLICY_V1,SESSION_CUTOFF_OTHER_YEARS,NOT_FROZEN_EXACT,NO_HARD_BOUNDARY_UNTIL_VERIFIED,INCOMPLETE_BOUNDARY_EVIDENCE,DO_NOT_INVENT_EXACT_SESSION_END,EXCLUDE_FROM_HARD_CUTOFF_VALIDATION_UNTIL_VERIFIED,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
QUEUE_WAIT_UNCERTAINTY_POLICY_V1,RETAIN_ACTION,DETERMINISTIC_CURRENT_RESULT,CURRENT_RETAINED_SPEED,DECISION_STATE_INPUT,RETAIN_PRESERVES_CURRENT_RESULT;NO_QUEUE_WAIT,BASELINE_ACTION,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
QUEUE_WAIT_UNCERTAINTY_POLICY_V1,WITHDRAW_ACTION,PROBABILISTIC,WAIT_UNCERTAINTY_PLUS_PERFORMANCE_UNCERTAINTY,QUEUE_SCENARIO_PLUS_REPEAT_PERFORMANCE_UNCERTAINTY,WITHDRAW_FORFEITS_CURRENT_RESULT_BEFORE_NEW_ATTEMPT_OUTCOME,MONTE_CARLO_BRANCH,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
QUEUE_WAIT_UNCERTAINTY_POLICY_V1,NO_COMPLETED_RERUN_BEFORE_CUTOFF,EXPLICIT_FAILURE_STATE,SIMULATION_OUTCOME,SESSION_CUTOFF_COMPARISON,IF_WITHDRAW_TO_COMPLETION_TIME_EXCEEDS_CUTOFF_NEW_RESULT_IS_UNAVAILABLE,MANDATORY_DOWNSIDE_BRANCH,181e8000471333de5348722998444fcf40ff49807db0f2a0845631d3de21e707
