alpha,holdout_year,feature,standardized_coefficient,train_mean,train_std
0.1,2020,delta_forecast_temp_c,0.5515791358,1.8087791534,1.2874269141
0.1,2020,delta_forecast_dewpoint_c,-0.1136970114,-0.9861502858,1.4803578140
0.1,2020,delta_forecast_relative_humidity_pct,0.6810017667,-7.4544888211,6.6555608705
0.1,2020,delta_forecast_wind_speed_10m_ms,0.1305214671,0.4200538303,0.4793518040
0.1,2020,delta_forecast_gust_ms,-0.0684956756,0.0603757834,0.7872621442
0.1,2020,delta_forecast_pressure_hpa,0.1137127674,-1.2270170940,0.9553152664
0.1,2020,delta_forecast_cloud_cover_pct,-0.0549594393,-25.2139529915,40.2260516323
0.1,2020,delta_forecast_shortwave_radiation_wm2,0.1566479274,-37.6914925214,177.0736988762
0.1,2021,delta_forecast_temp_c,0.1247704605,2.3881559037,1.4454050445
0.1,2021,delta_forecast_dewpoint_c,0.1318931472,-0.2873464023,0.7054341810
0.1,2021,delta_forecast_relative_humidity_pct,0.0362281853,-8.7472906289,6.7615664968
0.1,2021,delta_forecast_wind_speed_10m_ms,-0.1786910054,0.2911821105,0.5192104864
0.1,2021,delta_forecast_gust_ms,0.0153340754,0.3974807503,0.6348865221
0.1,2021,delta_forecast_pressure_hpa,0.1207713032,-0.4449527778,0.7334283881
0.1,2021,delta_forecast_cloud_cover_pct,0.1632912178,4.9287222222,5.1347037135
0.1,2021,delta_forecast_shortwave_radiation_wm2,-0.0795740096,-18.1155583333,121.5171268517
0.1,2023,delta_forecast_temp_c,0.1425776023,2.3125710194,1.3953067983
0.1,2023,delta_forecast_dewpoint_c,-0.0151101586,-1.3338173600,1.3049450838
0.1,2023,delta_forecast_relative_humidity_pct,0.0255001066,-10.1020038284,6.6619866249
0.1,2023,delta_forecast_wind_speed_10m_ms,-0.3123664981,0.0787996736,0.4186659850
0.1,2023,delta_forecast_gust_ms,0.2540279469,-0.2767814034,0.5091717370
0.1,2023,delta_forecast_pressure_hpa,-0.1078177620,-1.1303032407,0.9403564846
0.1,2023,delta_forecast_cloud_cover_pct,-0.2643605482,-31.4223842593,37.5781994422
0.1,2023,delta_forecast_shortwave_radiation_wm2,0.2963786513,-2.1616724537,178.8978301563
1.0,2020,delta_forecast_temp_c,0.1549835819,1.8087791534,1.2874269141
1.0,2020,delta_forecast_dewpoint_c,0.0962332135,-0.9861502858,1.4803578140
1.0,2020,delta_forecast_relative_humidity_pct,0.1418512841,-7.4544888211,6.6555608705
1.0,2020,delta_forecast_wind_speed_10m_ms,0.1111733965,0.4200538303,0.4793518040
1.0,2020,delta_forecast_gust_ms,-0.0032380468,0.0603757834,0.7872621442
1.0,2020,delta_forecast_pressure_hpa,0.0394162640,-1.2270170940,0.9553152664
1.0,2020,delta_forecast_cloud_cover_pct,-0.0599847856,-25.2139529915,40.2260516323
1.0,2020,delta_forecast_shortwave_radiation_wm2,0.1533489103,-37.6914925214,177.0736988762
1.0,2021,delta_forecast_temp_c,0.0623718744,2.3881559037,1.4454050445
1.0,2021,delta_forecast_dewpoint_c,0.1086386080,-0.2873464023,0.7054341810
1.0,2021,delta_forecast_relative_humidity_pct,-0.0008615936,-8.7472906289,6.7615664968
1.0,2021,delta_forecast_wind_speed_10m_ms,-0.0900900800,0.2911821105,0.5192104864
1.0,2021,delta_forecast_gust_ms,-0.0176414026,0.3974807503,0.6348865221
1.0,2021,delta_forecast_pressure_hpa,0.0809042145,-0.4449527778,0.7334283881
1.0,2021,delta_forecast_cloud_cover_pct,0.0916384856,4.9287222222,5.1347037135
1.0,2021,delta_forecast_shortwave_radiation_wm2,-0.0987630575,-18.1155583333,121.5171268517
1.0,2023,delta_forecast_temp_c,0.1297407326,2.3125710194,1.3953067983
1.0,2023,delta_forecast_dewpoint_c,0.0202875108,-1.3338173600,1.3049450838
1.0,2023,delta_forecast_relative_humidity_pct,-0.0191920987,-10.1020038284,6.6619866249
1.0,2023,delta_forecast_wind_speed_10m_ms,-0.1816832226,0.0787996736,0.4186659850
1.0,2023,delta_forecast_gust_ms,0.1808743893,-0.2767814034,0.5091717370
1.0,2023,delta_forecast_pressure_hpa,-0.0862215957,-1.1303032407,0.9403564846
1.0,2023,delta_forecast_cloud_cover_pct,-0.1641621914,-31.4223842593,37.5781994422
1.0,2023,delta_forecast_shortwave_radiation_wm2,0.1918519261,-2.1616724537,178.8978301563
10.0,2020,delta_forecast_temp_c,0.0603265575,1.8087791534,1.2874269141
10.0,2020,delta_forecast_dewpoint_c,0.0468716496,-0.9861502858,1.4803578140
10.0,2020,delta_forecast_relative_humidity_pct,0.0050440119,-7.4544888211,6.6555608705
10.0,2020,delta_forecast_wind_speed_10m_ms,0.0648775200,0.4200538303,0.4793518040
10.0,2020,delta_forecast_gust_ms,0.0385098471,0.0603757834,0.7872621442
