alpha,holdout_year,train_rows,test_rows,ridge_mae_mph,zero_delta_mae_same_test_mph,mae_improvement_vs_zero_mph,ridge_rmse_mph,ridge_r2
0.1,2020,26,9,0.2772527103,0.1727777778,-0.1044749325,0.3093701067,-2.8835894317
0.1,2021,20,15,2.0754513897,0.3904666667,-1.6849847230,2.4735419583,-18.8435153338
0.1,2023,24,11,0.6520764206,0.2696363636,-0.3824400570,0.7670050567,-6.6930226231
1.0,2020,26,9,0.2592886855,0.1727777778,-0.0865109078,0.2881910595,-2.3700599288
1.0,2021,20,15,1.2086938485,0.3904666667,-0.8182271819,1.4758989580,-6.0646930972
1.0,2023,24,11,0.4697543771,0.2696363636,-0.2001180134,0.5826813453,-3.4397936308
10.0,2020,26,9,0.1902587109,0.1727777778,-0.0174809331,0.2171903050,-0.9140685481
10.0,2021,20,15,0.5574614548,0.3904666667,-0.1669947881,0.6937877796,-0.5611094029
10.0,2023,24,11,0.3214731042,0.2696363636,-0.0518367406,0.4167737735,-1.2714402613
100.0,2020,26,9,0.1524183730,0.1727777778,0.0203594048,0.1837320522,-0.3697662723
100.0,2021,20,15,0.4132560082,0.3904666667,-0.0227893415,0.5928278972,-0.1398227284
100.0,2023,24,11,0.2717196026,0.2696363636,-0.0020832390,0.3476087334,-0.5800903244
