pair_id,year,driver_name,car_number,baseline_attempt_id,repeat_attempt_id,baseline_speed_mph,observed_repeat_delta_mph,reconstructed_repeat_speed_mph,diagnostic_recovery_like,baseline_below_year_median,diagnostic_branch,baseline_timing_usable,repeat_timing_usable,baseline_hrrr_leakage_safe,repeat_hrrr_leakage_safe,baseline_context_usable,repeat_context_usable,baseline_performance_time_utc,repeat_performance_time_utc,seconds_since_prior_supported_attempt,elapsed_time_role,pair_environment_fit_ready,causal_effect_claim_allowed,queue_wait_truth_claim,baseline_forecast_temp_c,repeat_forecast_temp_c,delta_forecast_temp_c,baseline_forecast_dewpoint_c,repeat_forecast_dewpoint_c,delta_forecast_dewpoint_c,baseline_forecast_relative_humidity_pct,repeat_forecast_relative_humidity_pct,delta_forecast_relative_humidity_pct,baseline_forecast_wind_speed_10m_ms,repeat_forecast_wind_speed_10m_ms,delta_forecast_wind_speed_10m_ms,baseline_forecast_gust_ms,repeat_forecast_gust_ms,delta_forecast_gust_ms,baseline_forecast_pressure_hpa,repeat_forecast_pressure_hpa,delta_forecast_pressure_hpa,baseline_forecast_cloud_cover_pct,repeat_forecast_cloud_cover_pct,delta_forecast_cloud_cover_pct,baseline_forecast_shortwave_radiation_wm2,repeat_forecast_shortwave_radiation_wm2,delta_forecast_shortwave_radiation_wm2,baseline_ptsc_ambient_c,repeat_ptsc_ambient_c,delta_ptsc_ambient_c,baseline_ptsc_track_c,repeat_ptsc_track_c,delta_ptsc_track_c,baseline_ptsc_humidity,repeat_ptsc_humidity,delta_ptsc_humidity,baseline_ptsc_wind,repeat_ptsc_wind,delta_ptsc_wind,baseline_ptsc_pressure,repeat_ptsc_pressure,delta_ptsc_pressure
R3B3B-001,2020,Jack Harvey,60,954d29f8-6770-5c41-9322-b23c885935ef,e7089fb7-0048-5bb8-8589-cc5bbc59a6cd,229.8610000000,-0.1040000000,229.7570000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T15:20:45Z,2020-08-15T17:55:45Z,9300.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,25.9578739166,29.7911964417,3.8333225250,19.1522997538,18.5119606018,-0.6403391520,66.2400470447,50.8333255453,-15.4067214994,0.6540063842,0.6597157305,0.0057093462,1.7687872972,1.3398907131,-0.4288965841,987.6850000000,987.6070833333,-0.0779166667,0.0000000000,0.0000000000,0.0000000000,729.7475000000,918.3000000000,188.5525000000,26.8796296296,30.5555555556,3.6759259259,39.8703703704,50.9444444444,11.0740740741,0.6461666667,0.5343333333,-0.1118333333,1.5333333333,2.7166666667,1.1833333333,29.1700000000,29.1700000000,0.0000000000
R3B3B-002,2020,Scott Dixon,9,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,33a57398-b346-53e3-b5e5-369a3ca71efc,231.0940000000,-0.0410000000,231.0530000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T15:25:45Z,2020-08-15T18:00:45Z,9300.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,26.0835681915,29.8925529480,3.8089847565,19.1249204000,18.4564220428,-0.6684983571,65.6455983371,50.3426897024,-15.3029086347,0.6552458024,0.6517202647,-0.0035255377,1.7392038735,1.3683918687,-0.3708120048,987.5850000000,987.5912500000,0.0062500000,0.0000000000,0.0000000000,0.0000000000,741.3975000000,919.1500000000,177.7525000000,27.0648148148,30.5000000000,3.4351851852,40.2407407407,50.0555555556,9.8148148148,0.6428333333,0.5410000000,-0.1018333333,2.8666666667,2.9500000000,0.0833333333,29.1700000000,29.1695000000,-0.0005000000
R3B3B-003,2020,Marcus Ericsson,8,518373d9-25de-58cf-8315-f6c215b6f672,25ddda12-052a-5d71-ac52-6e96cf8edab9,230.4720000000,0.0940000000,230.5660000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T16:13:15Z,2020-08-15T18:16:35Z,7400.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,27.4609875997,30.1498542786,2.6888666789,19.5555231730,18.2600757599,-1.2954474131,62.1862135933,49.0455150670,-13.1406985263,0.9362099434,0.6757844024,-0.2604255411,1.7969805233,1.5914731203,-0.2055074030,986.8441666667,987.4065277778,0.5623611111,0.0000000000,0.0000000000,0.0000000000,831.7445833333,901.2055555556,69.4609722222,28.7592592593,29.5030864198,0.7438271605,46.2777777778,51.4043209877,5.1265432099,0.5846666667,0.5589444444,-0.0257222222,0.2333333333,2.2111111111,1.9777777778,29.1700000000,29.1589444444,-0.0110555556
R3B3B-004,2020,Ed Carpenter,20,9a2e168d-3dda-5e76-8daf-588c20d91341,893c5471-df02-55c0-946f-0af9d0a835d9,229.8110000000,0.4000000000,230.2110000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T16:27:25Z,2020-08-15T18:47:30Z,8405.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,27.8220859951,30.5986648560,2.7765788608,19.3634234958,18.7174488068,-0.6459746891,60.2126695446,49.1985473614,-11.0141221832,0.9041990500,0.4660636925,-0.4381353575,1.6759207328,1.3492200014,-0.3267007313,986.8913888889,986.8791666667,-0.0122222222,0.0000000000,0.0000000000,0.0000000000,850.6098611111,870.9166666667,20.3068055556,28.8888888889,30.0000000000,1.1111111111,47.5864197531,50.5555555556,2.9691358025,0.5800000000,0.5483333333,-0.0316666667,0.8277777778,1.6666666667,0.8388888889,29.1700000000,29.1483333333,-0.0216666667
R3B3B-005,2020,Conor Daly,47,a7f0ef57-a971-5870-9606-1fe1cd378e2a,df3c02a3-9655-512c-a2e6-4ffe9eadc505,229.8840000000,0.0710000000,229.9550000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T16:58:15Z,2020-08-15T19:00:50Z,7355.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,28.7791436513,30.8594549391,2.0803112878,18.8246363322,18.5396288130,-0.2850075192,54.9477904179,47.8770185833,-7.0707718347,0.6835131842,0.4825775194,-0.2009356648,1.0422076503,1.2910205664,0.2488129161,987.5000000000,986.8986111111,-0.6013888889,0.0000000000,0.0000000000,0.0000000000,897.7920833333,862.0972222222,-35.6948611111,28.8888888889,29.9691358025,1.0802469136,49.8703703704,50.5864197531,0.7160493827,0.5788333333,0.5405555556,-0.0382777778,4.6500000000,0.0000000000,-4.6500000000,29.1700000000,29.1400000000,-0.0300000000
R3B3B-006,2020,Colton Herta,88,9ed5a76f-1d6e-5759-8ffc-9c1344b26bfc,0817e595-17c0-5e20-94bc-6778006bf613,230.5600000000,0.2150000000,230.7750000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T17:24:05Z,2020-08-15T19:05:50Z,6105.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,29.3006905874,30.9174663120,1.6167757246,18.5863855150,18.4906035953,-0.0957819197,52.5804210283,47.5826585665,-4.9977624618,0.6349212184,0.4897691095,-0.1451521089,0.9847908306,1.3538791728,0.3690883422,987.3795833333,986.8902777778,-0.4893055556,0.0000000000,0.0000000000,0.0000000000,905.6194444444,856.6805555556,-48.9388888889,30.1172839506,29.7839506173,-0.3333333333,51.2283950617,50.7716049383,-0.4567901235,0.5418333333,0.5438888889,0.0020555556,2.8166666667,0.0000000000,-2.8166666667,29.1700000000,29.1400000000,-0.0300000000
R3B3B-007,2020,Scott Dixon,9,25f997a4-1a33-565b-b2b0-1c30d3a0f19c,b4a08fbf-93db-50a2-9416-96b3b9d1b41a,231.0940000000,0.0610000000,231.1550000000,False,False,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T15:25:45Z,2020-08-15T19:15:00Z,4455.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,26.0835681915,31.0238204956,4.9402523041,19.1249204000,18.4007240295,-0.7241963704,65.6455983371,47.0429985359,-18.6025998012,0.6552458024,0.5029536912,-0.1522921112,1.7392038735,1.4691199511,-0.2700839224,987.5850000000,986.8750000000,-0.7100000000,0.0000000000,0.0000000000,0.0000000000,741.3975000000,846.7500000000,105.3525000000,27.0648148148,29.4444444444,2.3796296296,40.2407407407,51.1111111111,10.8703703704,0.6428333333,0.5500000000,-0.0928333333,2.8666666667,0.0000000000,-2.8666666667,29.1700000000,29.1400000000,-0.0300000000
R3B3B-008,2020,Ben Hanley,81,a3016f3b-449e-576c-bf0f-284c71eddb34,b58b5c13-1a21-50cf-ab5b-8962cc4486f0,220.9460000000,1.9710000000,222.9170000000,True,True,RECOVERY_LIKE_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T16:36:35Z,2020-08-15T19:30:50Z,10455.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,28.2434389326,30.7356608073,2.4922218747,19.0970124986,18.8475600772,-0.2494524214,57.7686010215,49.2079164145,-8.5606846071,0.7652868167,0.6662215467,-0.0990652700,1.4851564881,2.0782624272,0.5931059391,987.5000000000,986.8625000000,-0.6375000000,0.0000000000,0.0000000000,0.0000000000,870.4559722222,782.1666666667,-88.2893055556,28.8888888889,30.0617283951,1.1728395062,48.2654320988,53.3950617284,5.1296296296,0.5756111111,0.5288888889,-0.0467222222,1.4388888889,1.0000000000,-0.4388888889,29.1700000000,29.1400000000,-0.0300000000
R3B3B-009,2020,Helio Castroneves,3,f2f5d37e-6270-5e2d-8ae0-2e63cea098b3,7799cc62-18bb-568d-9de2-16cb3622a0de,228.1150000000,0.2580000000,228.3730000000,False,True,NORMAL_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T17:34:05Z,2020-08-15T19:39:10Z,7505.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,29.3366116842,30.8520345052,1.5154228210,18.7476834615,18.7426707374,-0.0050127241,53.0213567106,48.5579118335,-4.4634448772,0.7062880825,0.5818249336,-0.1244631490,1.2484617188,2.1392906668,0.8908289480,987.6431944444,986.9875000000,-0.6556944444,0.0000000000,0.0000000000,0.0000000000,909.6333333333,773.8333333333,-135.8000000000,30.5555555556,30.6790123457,0.1234567901,52.1203703704,54.0123456790,1.8919753086,0.5272777778,0.5177777778,-0.0095000000,3.4555555556,1.0000000000,-2.4555555556,29.1700000000,29.1400000000,-0.0300000000
R3B3B-010,2020,Max Chilton,59,75519828-93ba-5485-a4bf-a06b93f7cec3,fb65c8cf-d1c6-583e-9563-6c22e29bb081,225.8190000000,1.4840000000,227.3030000000,True,True,RECOVERY_LIKE_DIAGNOSTIC,True,True,True,True,True,True,2020-08-15T17:29:05Z,2020-08-15T20:10:00Z,9655.0,PAIR_METADATA_ONLY_NOT_TRACK_EVOLUTION,True,False,False,29.3999871572,31.2225687663,1.8225816091,18.5414890713,18.3818120321,-0.1596770393,52.1362269756,46.4456411052,-5.6905858705,0.6262041584,0.4858239878,-0.1403801706,0.9802980591,2.2843328193,1.3040347602,987.3545833333,987.1333333333,-0.2212500000,0.0000000000,0.0000000000,0.0000000000,906.7861111111,731.1833333333,-175.6027777778,30.4876543210,31.4814814815,0.9938271605,51.5987654321,52.9629629630,1.3641975309,0.5318333333,0.5000000000,-0.0318333333,3.8166666667,0.3400000000,-3.4766666667,29.1700000000,29.1233333333,-0.0466666667
