metric,value,status
input_rows_equal_40,1,PASS
primary_rows_equal_39,1,PASS
sensitivity_rows_equal_1,1,PASS
primary_current_attempt_ids_unique,1,PASS
all_target_values_present,1,PASS
all_diagnostic_features_present,1,PASS
tukey_upper_finite,1,PASS
mad_upper_finite,1,PASS
diagnostic_threshold_finite,1,PASS
regime_partition_complete,1,PASS
threshold_audit_nonempty,1,PASS
outlier_contribution_rows_equal_6,1,PASS
feature_correlation_output_nonempty,1,PASS
primary_target_mean_mph,0.3736923076923102,INFO
primary_target_median_mph,0.1740000000000066,INFO
primary_target_q1_mph,-0.030500000000003503,INFO
primary_target_q3_mph,0.4305000000000092,INFO
primary_target_iqr_mph,0.46100000000001273,INFO
tukey_upper_threshold_mph,1.1220000000000283,INFO
mad,0.2259999999999991,INFO
mad_3sigma_upper_threshold_mph,1.1792028000000025,INFO
diagnostic_large_gain_threshold_mph,1.1792028000000025,INFO
diagnostic_large_gain_rows,4,INFO
normal_regime_rows,35,INFO
baseline_year_centered_pearson_vs_delta,-0.6986569919659426,INFO
baseline_year_centered_spearman_vs_delta,-0.2206358951531755,INFO
low_baseline_mean_delta_mph,0.682777777777782,INFO
high_baseline_mean_delta_mph,0.10876190476190573,INFO
low_baseline_large_gain_rate,0.2222222222222222,INFO
high_baseline_large_gain_rate,0.0,INFO
policy_hash,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92,INFO
