scope,feature_name,rows,pearson_corr_feature_vs_delta,spearman_corr_feature_vs_delta,diagnostic_policy_hash
ALL_PRIMARY,baseline_speed_mph,39,-0.5455122300403897,-0.17253949763240525,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY,seconds_since_baseline_attempt,39,-0.20753433691994463,-0.04342544791982994,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY,prior_supported_attempt_count,39,-0.13995129926972036,-0.16927242771878573,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY,delta_temp_c,39,-0.08041620230106235,0.02176223495878798,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY,delta_relative_humidity_pct,39,0.09155568704638978,0.05698668968277969,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY,delta_wind_speed_10m_ms,39,-0.05306331958661725,0.011336606118066295,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY,delta_pressure_hpa,39,0.10271506213958302,0.1373551294840711,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY,delta_cloud_cover_pct,39,0.222618105908538,0.23866000490699002,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY,delta_shortwave_radiation_wm2,39,0.07888073781264757,-0.019130522824236877,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY,delta_forecast_wind_direction_sin,39,-0.030135951469902205,-0.02975859105992403,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY,delta_forecast_wind_direction_cos,39,-0.0387421638216376,0.1939369403769199,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,baseline_speed_mph,35,0.08736875063277365,0.14377803961143631,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,seconds_since_baseline_attempt,35,0.10461163533534142,0.06849698837372181,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,prior_supported_attempt_count,35,0.008843209089973771,-0.0943260154309171,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,delta_temp_c,35,0.1998381176808199,0.11653477162830975,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,delta_relative_humidity_pct,35,-0.13549408380923736,-0.04440086851703629,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,delta_wind_speed_10m_ms,35,0.22008150313063288,0.13306253971982485,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,delta_pressure_hpa,35,0.16460169535375674,0.11023180922052858,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,delta_cloud_cover_pct,35,0.18015399436573726,0.2135612505855297,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,delta_shortwave_radiation_wm2,35,0.18538644470898583,0.021990335511592102,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,delta_forecast_wind_direction_sin,35,-0.20728348884562542,-0.09972687187422662,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
NORMAL_VARIATION_DIAGNOSTIC,delta_forecast_wind_direction_cos,35,0.27015033251966397,0.3580082647619708,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,baseline_speed_mph,4,0.39911563613195206,0.0,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,seconds_since_baseline_attempt,4,-0.9570188841145444,-0.7999999999999999,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,prior_supported_attempt_count,4,,,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,delta_temp_c,4,-0.8531648136616927,-0.7999999999999999,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,delta_relative_humidity_pct,4,0.5360044810167942,0.6000000000000001,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,delta_wind_speed_10m_ms,4,0.06426620389832556,-0.19999999999999998,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,delta_pressure_hpa,4,-0.7161630992111436,-0.7999999999999999,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,delta_cloud_cover_pct,4,0.2550293017665138,0.2581988897471611,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,delta_shortwave_radiation_wm2,4,0.9652481018909067,1.0,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,delta_forecast_wind_direction_sin,4,0.5084562014125009,0.39999999999999997,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
LARGE_GAIN_DIAGNOSTIC,delta_forecast_wind_direction_cos,4,-0.5694394622760178,-0.39999999999999997,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
ALL_PRIMARY_YEAR_CENTERED,baseline_speed_year_centered_mph,39,-0.6986569919659426,-0.2206358951531755,8a9669bfa646bfd6ede312b8174eed682f02917966f71e54f5cbc378a4597f92
