distribution_scope,rows,mean_delta_mph,median_delta_mph,std_delta_mph,min_delta_mph,q05_delta_mph,q10_delta_mph,q25_delta_mph,q50_delta_mph,q75_delta_mph,q90_delta_mph,q95_delta_mph,max_delta_mph,prob_delta_gt_0,prob_delta_lt_0,mae_vs_zero_mph,rmse_vs_zero_mph,uncertainty_policy_hash
ALL_PRIMARY,39,0.3736923076923102,0.1740000000000066,1.0381622212211565,-1.4189999999999827,-0.43650000000000366,-0.18600000000000128,-0.030500000000003503,0.1740000000000066,0.4305000000000092,0.9352000000000051,2.1201000000000043,4.694999999999993,0.6923076923076923,0.3076923076923077,0.5638461538461562,1.0907755650606275,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
NORMAL_DIAGNOSTIC,35,0.08462857142857437,0.0800000000000125,0.42132934482032264,-1.4189999999999827,-0.5455000000000011,-0.2500000000000113,-0.061499999999995204,0.0800000000000125,0.2764999999999844,0.5526000000000126,0.6674999999999981,0.7980000000000018,0.6571428571428571,0.34285714285714286,0.29651428571428856,0.4238023798220786,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
RECOVERY_LIKE_DIAGNOSTIC,4,2.9029999999999987,2.7164999999999964,1.4612699955860236,1.4840000000000089,1.557050000000008,1.6301000000000072,1.849250000000005,2.7164999999999964,3.77024999999999,4.325099999999992,4.510049999999993,4.694999999999993,1.0,0.0,2.9029999999999987,3.166842512661464,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
LOW_BASELINE_ALL,18,0.682777777777782,0.19900000000001225,1.40414921092309,-0.9269999999999924,-0.46375000000000305,-0.18739999999999096,-0.003750000000003674,0.19900000000001225,0.5582500000000152,2.4183000000000003,3.646949999999988,4.694999999999993,0.7222222222222222,0.2777777777777778,0.8511111111111139,1.5258719547269417,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
HIGH_BASELINE_ALL,21,0.10876190476190573,0.0710000000000263,0.460668851211138,-1.4189999999999827,-0.3140000000000214,-0.1539999999999963,-0.0409999999999968,0.0710000000000263,0.311000000000007,0.6419999999999959,0.7270000000000039,0.7980000000000018,0.6666666666666666,0.3333333333333333,0.31761904761904974,0.4625358673350943,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
LOW_BASELINE_NORMAL,14,0.04842857142857732,0.12700000000000955,0.36802314189060703,-0.9269999999999924,-0.5727500000000005,-0.298599999999999,-0.06649999999999776,0.12700000000000955,0.22575000000000495,0.3573999999999985,0.4738500000000101,0.6110000000000184,0.6428571428571429,0.35714285714285715,0.2648571428571468,0.3579273669335742,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
HIGH_BASELINE_NORMAL,21,0.10876190476190573,0.0710000000000263,0.460668851211138,-1.4189999999999827,-0.3140000000000214,-0.1539999999999963,-0.0409999999999968,0.0710000000000263,0.311000000000007,0.6419999999999959,0.7270000000000039,0.7980000000000018,0.6666666666666666,0.3333333333333333,0.31761904761904974,0.4625358673350943,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
YEAR_2020,11,0.42909090909091413,0.2150000000000034,0.6679365919824204,-0.103999999999985,-0.0724999999999909,-0.0409999999999968,0.06600000000001666,0.2150000000000034,0.35550000000000637,1.4840000000000089,1.7275000000000063,1.9710000000000036,0.8181818181818182,0.18181818181818182,0.4554545454545472,0.7679193849735697,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
YEAR_2021,16,0.267000000000003,0.0099999999999909,1.3048454314592177,-1.4189999999999827,-1.04999999999999,-0.6544999999999987,-0.1539999999999963,0.0099999999999909,0.3372500000000116,0.7199999999999989,1.7722499999999997,4.694999999999993,0.5,0.5,0.6595000000000013,1.2913158986088549,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
YEAR_2023,12,0.4651666666666661,0.2005000000000052,0.983437924586574,-0.3140000000000214,-0.20125000000001445,-0.09360000000000632,0.06299999999999528,0.2005000000000052,0.46200000000001035,0.7008000000000039,1.9577499999999952,3.461999999999989,0.8333333333333334,0.16666666666666666,0.5356666666666712,1.0502068050309568,4c2f4167c7a250b0d01d3249fccd64114258ba611268b2878c19ff84ff7eec89
