scenario_index,current_retained_speed_mph,baseline_group,time_remaining_minutes,wait_scenario_id,draws,completed_draws,no_completion_draws,recovery_draws,normal_draws,improved_draws,strictly_slower_draws,policy_hash
1,229.0,LOW_BASELINE,10.0,WAIT_05MIN,100000,100000,0,24913,75087,74300,25700,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
2,229.0,LOW_BASELINE,10.0,WAIT_15MIN,100000,0,100000,24849,75151,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
3,229.0,LOW_BASELINE,10.0,WAIT_30MIN,100000,0,100000,24915,75085,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
4,229.0,LOW_BASELINE,10.0,WAIT_45MIN,100000,0,100000,24887,75113,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
5,229.0,LOW_BASELINE,20.0,WAIT_05MIN,100000,100000,0,24759,75241,74107,25893,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
6,229.0,LOW_BASELINE,20.0,WAIT_15MIN,100000,100000,0,24771,75229,74131,25869,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
7,229.0,LOW_BASELINE,20.0,WAIT_30MIN,100000,0,100000,25168,74832,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
8,229.0,LOW_BASELINE,20.0,WAIT_45MIN,100000,0,100000,24936,75064,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
9,229.0,LOW_BASELINE,30.0,WAIT_05MIN,100000,100000,0,25044,74956,74299,25701,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
10,229.0,LOW_BASELINE,30.0,WAIT_15MIN,100000,100000,0,25038,74962,74428,25572,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
11,229.0,LOW_BASELINE,30.0,WAIT_30MIN,100000,0,100000,25136,74864,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
12,229.0,LOW_BASELINE,30.0,WAIT_45MIN,100000,0,100000,25027,74973,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
13,229.0,LOW_BASELINE,45.0,WAIT_05MIN,100000,100000,0,24936,75064,74325,25675,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
14,229.0,LOW_BASELINE,45.0,WAIT_15MIN,100000,100000,0,25040,74960,74102,25898,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
15,229.0,LOW_BASELINE,45.0,WAIT_30MIN,100000,100000,0,25075,74925,74173,25827,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
16,229.0,LOW_BASELINE,45.0,WAIT_45MIN,100000,0,100000,24679,75321,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
17,229.0,LOW_BASELINE,60.0,WAIT_05MIN,100000,100000,0,24710,75290,73988,26012,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
18,229.0,LOW_BASELINE,60.0,WAIT_15MIN,100000,100000,0,25318,74682,74535,25465,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
19,229.0,LOW_BASELINE,60.0,WAIT_30MIN,100000,100000,0,25205,74795,74427,25573,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
20,229.0,LOW_BASELINE,60.0,WAIT_45MIN,100000,100000,0,24957,75043,74321,25679,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
21,229.0,AT_OR_ABOVE_BASELINE_MEDIAN,10.0,WAIT_05MIN,100000,100000,0,4389,95611,67224,32776,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
22,229.0,AT_OR_ABOVE_BASELINE_MEDIAN,10.0,WAIT_15MIN,100000,0,100000,4332,95668,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
23,229.0,AT_OR_ABOVE_BASELINE_MEDIAN,10.0,WAIT_30MIN,100000,0,100000,4379,95621,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
24,229.0,AT_OR_ABOVE_BASELINE_MEDIAN,10.0,WAIT_45MIN,100000,0,100000,4363,95637,0,0,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
