scenario_index,current_retained_speed_mph,baseline_group,time_remaining_minutes,wait_scenario_id,latent_pre_run_delay_minutes,monte_carlo_draws,recovery_beta_alpha,recovery_beta_beta,recovery_posterior_mean,simulated_recovery_branch_rate,p_completed_rerun,p_no_completed_rerun,p_improve_unconditional,p_slower_or_equal_unconditional,p_strictly_slower_unconditional,p_improve_given_completed,p_slower_given_completed,expected_new_speed_given_completed_mph,expected_delta_given_completed_mph,new_speed_q05_mph,new_speed_q10_mph,new_speed_q25_mph,new_speed_q50_mph,new_speed_q75_mph,new_speed_q90_mph,new_speed_q95_mph,delta_q05_mph,delta_q50_mph,delta_q95_mph,retain_speed_mph,retain_completion_probability,retain_speed_variance,utility_function_applied,leaderboard_target_applied,queue_wait_historical_claim,policy_hash
1,229.0,LOW_BASELINE,10.0,WAIT_05MIN,5.0,100000,5.0,15.0,0.25,0.24913,1.0,0.0,0.743,0.257,0.257,0.743,0.257,229.78396862000002,0.7839686200000018,228.618,228.846,228.998,229.227,229.798,232.462,233.695,-0.382000000000005,0.2270000000000038,4.694999999999993,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
2,229.0,LOW_BASELINE,10.0,WAIT_15MIN,15.0,100000,5.0,15.0,0.25,0.24849,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
3,229.0,LOW_BASELINE,10.0,WAIT_30MIN,30.0,100000,5.0,15.0,0.25,0.24915,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
4,229.0,LOW_BASELINE,10.0,WAIT_45MIN,45.0,100000,5.0,15.0,0.25,0.24887,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
5,229.0,LOW_BASELINE,20.0,WAIT_05MIN,5.0,100000,5.0,15.0,0.25,0.24759,1.0,0.0,0.74107,0.25893,0.25893,0.74107,0.25893,229.78465919000004,0.784659190000002,228.618,228.846,228.998,229.227,229.798,232.462,233.695,-0.382000000000005,0.2270000000000038,4.694999999999993,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
6,229.0,LOW_BASELINE,20.0,WAIT_15MIN,15.0,100000,5.0,15.0,0.25,0.24771,1.0,0.0,0.74131,0.25869,0.25869,0.74131,0.25869,229.78118941,0.781189410000002,228.618,228.846,228.998,229.227,229.798,232.462,233.695,-0.382000000000005,0.2270000000000038,4.694999999999993,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
7,229.0,LOW_BASELINE,20.0,WAIT_30MIN,30.0,100000,5.0,15.0,0.25,0.25168,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
8,229.0,LOW_BASELINE,20.0,WAIT_45MIN,45.0,100000,5.0,15.0,0.25,0.24936,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
9,229.0,LOW_BASELINE,30.0,WAIT_05MIN,5.0,100000,5.0,15.0,0.25,0.25044,1.0,0.0,0.74299,0.25701,0.25701,0.74299,0.25701,229.79033918000002,0.7903391800000018,228.618,228.846,228.998,229.227,230.484,232.462,233.695,-0.382000000000005,0.2270000000000038,4.694999999999993,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
10,229.0,LOW_BASELINE,30.0,WAIT_15MIN,15.0,100000,5.0,15.0,0.25,0.25038,1.0,0.0,0.74428,0.25572,0.25572,0.74428,0.25572,229.79014560000002,0.7901456000000019,228.618,228.846,228.998,229.227,230.484,232.462,233.695,-0.382000000000005,0.2270000000000038,4.694999999999993,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
11,229.0,LOW_BASELINE,30.0,WAIT_30MIN,30.0,100000,5.0,15.0,0.25,0.25136,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
12,229.0,LOW_BASELINE,30.0,WAIT_45MIN,45.0,100000,5.0,15.0,0.25,0.25027,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
13,229.0,LOW_BASELINE,45.0,WAIT_05MIN,5.0,100000,5.0,15.0,0.25,0.24936,1.0,0.0,0.74325,0.25675,0.25675,0.74325,0.25675,229.78928761,0.7892876100000019,228.618,228.846,228.998,229.227,229.798,232.462,233.695,-0.382000000000005,0.2270000000000038,4.694999999999993,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
14,229.0,LOW_BASELINE,45.0,WAIT_15MIN,15.0,100000,5.0,15.0,0.25,0.2504,1.0,0.0,0.74102,0.25898,0.25898,0.74102,0.25898,229.79001893,0.7900189300000019,228.618,228.846,228.998,229.227,230.484,232.462,233.695,-0.382000000000005,0.2270000000000038,4.694999999999993,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
15,229.0,LOW_BASELINE,45.0,WAIT_30MIN,30.0,100000,5.0,15.0,0.25,0.25075,1.0,0.0,0.74173,0.25827,0.25827,0.74173,0.25827,229.79190659000002,0.7919065900000019,228.618,228.846,228.998,229.227,230.484,232.462,233.695,-0.382000000000005,0.2270000000000038,4.694999999999993,229.0,1.0,0.0,False,False,False,d2cd3f54f3398999d73c5503cb26e3a1acca8d7be420bb74541dd612b9d1c22e
