model,held_out_year,horizon_min,n,mae_c,rmse_c,bias_c,median_abs_error_c
M0_per_horizon,2020,15,29,0.9896512224987164,1.3591207732977562,-0.19003041434609177,0.8041237113402023
M1_per_horizon,2020,15,29,1.00866401733903,1.347002453929358,-0.27536165506977095,0.8551629465772165
M0_per_horizon,2020,30,27,1.5594489656806685,1.8465261383304645,-0.2666863139919525,1.6095274374113835
M1_per_horizon,2020,30,27,1.5483600871647074,1.8082572016026188,-0.46173838422320473,1.238697999341764
M0_per_horizon,2020,60,23,1.941108810674028,2.315719629926162,-0.23142397055440514,1.7407407407407416
M1_per_horizon,2020,60,23,1.8464316835054457,2.1835038907284057,-0.7122270412383985,1.9544632313600792
M0_per_horizon,2020,90,21,2.462788933428455,2.7813075729382226,-0.560328970024249,2.3489738485161062
M1_per_horizon,2020,90,21,1.8925798341389113,2.3586604482015465,-1.1804393265654363,1.2317374060238855
M0_per_horizon,2020,120,21,2.452521348137338,2.9173458761894357,-0.5701632879340104,2.110480034533909
M1_per_horizon,2020,120,21,1.9311106871473716,2.5024349805628243,-1.0840435982867946,1.9101548100930072
M0_per_horizon,2021,15,29,0.652903119298057,0.8085587630813119,0.04475127737959172,0.4771786902440758
M1_per_horizon,2021,15,29,0.6747267124708431,0.8227173606917388,0.2144113911534742,0.636243357938379
M0_per_horizon,2021,30,28,1.0944384493287926,1.3559397386769028,0.14246534310559458,0.9920311763843266
M1_per_horizon,2021,30,28,1.2394228671572207,1.4252185883023254,0.5376162535544597,1.1184079406791085
M0_per_horizon,2021,60,24,1.7765237975089587,2.202364149267077,0.2700226102739834,1.2614933929493515
M1_per_horizon,2021,60,24,2.0955126938406305,2.390041234827356,1.1480314359894388,2.0800219199308128
M0_per_horizon,2021,90,22,1.867771650134251,2.533402130769863,0.27170163438742845,1.1715683450474366
M1_per_horizon,2021,90,22,2.406097337133067,2.8628149437428774,1.6001291526110888,2.5935608669565595
M0_per_horizon,2021,120,21,2.0975945482092024,2.466204196189523,0.34531592964636815,1.992573166511866
M1_per_horizon,2021,120,21,2.5066879114384593,2.975641734090605,1.540590411141895,2.5355011856874583
M0_per_horizon,2022,15,29,1.3338711466111122,1.845811051706552,0.15906267887851913,0.8429860159280498
M1_per_horizon,2022,15,29,1.3912021922382427,1.8681397715771613,0.5543544539936103,0.9185193529137368
M0_per_horizon,2022,30,27,2.194616073818085,2.9339435169354386,-0.049772518355615906,1.857175271407129
M1_per_horizon,2022,30,27,2.255674908933285,2.8485353689662953,0.7900003913748811,1.6424524080243197
M0_per_horizon,2022,60,24,3.8950178054160354,4.788644340822598,-1.2472594275691606,3.5708939027523106
M1_per_horizon,2022,60,24,3.2514453422797054,3.983621832809704,0.8492181561024236,3.308105124901113
M0_per_horizon,2022,90,22,4.528422298296774,5.3771164892948775,-1.6031866785004865,5.022315202231521
M1_per_horizon,2022,90,22,3.7849715200890786,4.696389598425795,2.2466010167696977,3.825159248262254
M0_per_horizon,2022,120,21,3.850992973931503,4.882714129449639,-1.2277266849980482,3.4318068238608
M1_per_horizon,2022,120,21,4.926347389812709,5.641078682103197,3.73322816103256,4.518419918343739
M0_per_horizon,2023,15,33,0.700230570686066,0.9421223095759457,0.013360677798621833,0.33921689584038117
M1_per_horizon,2023,15,33,0.6272829238791898,0.9043252555490774,-0.22983126702137177,0.4336716671028411
M0_per_horizon,2023,30,31,1.2746408407368275,1.6138014113680057,0.035542855437390046,1.0286634284114338
M1_per_horizon,2023,30,31,1.1759988532901207,1.5269005166009038,-0.5102091933949272,0.8350854104158747
M0_per_horizon,2023,60,27,2.2829614527881605,2.9042643474361096,0.17786730956965416,1.8391000436872016
M1_per_horizon,2023,60,27,2.114140489997934,2.641529071831825,-1.0756815887600575,1.656282508298757
M0_per_horizon,2023,90,25,3.151762072628428,3.789841870735244,0.20162061537490822,2.4935055870595564
M1_per_horizon,2023,90,25,2.6544188074803503,3.2850009910691296,-1.566683960952659,1.9966317944137737
M0_per_horizon,2023,120,25,3.5763070507602834,4.231927117093565,-0.1161308112444123,2.6982768281605733
M1_per_horizon,2023,120,25,2.846661728872922,3.6990026391016175,-1.5357071898497672,2.462253046925796
M0_per_horizon,2024,15,33,1.0295300606584652,1.2597643113378092,-0.03066986335468827,0.8655425853869466
M1_per_horizon,2024,15,33,0.9716341675892577,1.2224910892869885,-0.11333813595020684,0.9430976560403908
M0_per_horizon,2024,30,31,1.3706175173163098,1.7098499444633697,-0.02563876638950847,1.0490479278429494
M1_per_horizon,2024,30,31,1.2953696236727668,1.6117529038105665,-0.21174407008914933,1.3683410181570486
M0_per_horizon,2024,60,29,1.449651499198985,1.9277614954903313,0.12715778639710365,1.0749881347887937
M1_per_horizon,2024,60,29,1.3698392782802855,1.7161799946733602,-0.21390244940963632,1.1758400693420192
M0_per_horizon,2024,90,27,1.8576712548678433,2.288822079271072,0.5816533232524089,1.5340697240865062
M1_per_horizon,2024,90,27,1.7990129495449314,2.1730122733169104,0.10375750043301668,1.8305728099959273
M0_per_horizon,2024,120,27,2.3335082797481275,2.6731487329255024,0.9409096458404909,1.984713585029617
M1_per_horizon,2024,120,27,2.1448437677956114,2.5339456997045127,0.3551008240153137,1.9438677778720606
