model,held_out_year,horizon_min,intercept,train_n,test_n,beta_delta_ambient_temp_c,beta_thermal_gap_0_c,beta_delta_solar_elevation_deg,beta_solar_elevation_mean_deg
M1_no_solar,2020,15,0.834831784743092,124,29,0.777026621705516,-0.03612993219308589,,
M2a_delta_solar,2020,15,0.16383815014198289,124,29,0.5335709216848392,0.01008505662740527,0.21861863438538653,
M2b_mean_solar,2020,15,0.1427529513615845,124,29,0.8159457285454808,-0.04895354148541333,,0.01613955829592576
M2c_both_solar,2020,15,-0.4424251028202162,124,29,0.5763524049773395,-0.0029605776259520127,0.2118637230851656,0.01462179364762775
M1_no_solar,2020,30,1.7237366977537392,117,27,0.9193159746222613,-0.0758609426974258,,
M2a_delta_solar,2020,30,0.6600936846773455,117,27,0.5791117442207689,0.0010464743960654844,0.18727040743157725,
M2b_mean_solar,2020,30,0.16623448086287063,117,27,1.0041538754472437,-0.09992596443170626,,0.034328636995291574
M2c_both_solar,2020,30,-0.6557595310120996,117,27,0.6758057596839655,-0.025150336574321135,0.17550250035890652,0.0304756665009631
M1_no_solar,2020,60,3.6044260843648552,104,23,1.255558493063165,-0.16035211798595475,,
M2a_delta_solar,2020,60,2.420668706455535,104,23,0.9731822824919356,-0.07021393031684296,0.11573588378124866,
M2b_mean_solar,2020,60,0.0541906575265001,104,23,1.3529229139116472,-0.192815419498392,,0.07012740863906257
M2c_both_solar,2020,60,-0.7472497682808608,104,23,1.095675825777512,-0.1106019863136688,0.10264408929877733,0.06522053680371863
M1_no_solar,2020,90,5.00880055464438,96,21,1.4545107155781394,-0.21719011534460617,,
M2a_delta_solar,2020,90,4.094521067467686,96,21,1.2948521457173465,-0.14523414355168568,0.0629901996269354,
M2b_mean_solar,2020,90,-0.3627143075799335,96,21,1.5222134988960128,-0.24402346965019453,,0.09841289644770902
M2c_both_solar,2020,90,-1.0214969417054078,96,21,1.377190347211866,-0.17877316997866413,0.056419803450516316,0.09547911418585786
M1_no_solar,2020,120,5.105204268503368,94,21,1.6320075474343878,-0.2104115472115546,,
M2a_delta_solar,2020,120,4.078414921534466,94,21,1.508289751579624,-0.12955569516683646,0.05243063202998632,
M2b_mean_solar,2020,120,-1.0617908096459487,94,21,1.71484053006361,-0.25122947744208357,,0.11595221914116699
M2c_both_solar,2020,120,-2.4124746030540205,94,21,1.580599519357344,-0.1630365602400577,0.05810177745601297,0.11995390035506119
M1_no_solar,2021,15,0.9684553095214353,124,29,0.7708339418033875,-0.03878185548417923,,
M2a_delta_solar,2021,15,-0.16563859378170598,124,29,0.40150409691722344,0.029197928091997546,0.313124979700901,
M2b_mean_solar,2021,15,0.3722495339221189,124,29,0.8351253723613478,-0.05798063535711908,,0.016869195254753246
M2c_both_solar,2021,15,-0.4745170301075835,124,29,0.45993602710884535,0.013911149207637068,0.2971228591676943,0.010379344641467027
M1_no_solar,2021,30,2.0295024694345036,116,28,0.9413738786583479,-0.08392039810822403,,
M2a_delta_solar,2021,30,-0.06076704313594994,116,28,0.3645307120141007,0.04606375691131992,0.3042019547315324,
M2b_mean_solar,2021,30,0.4868060663031446,116,28,1.07843553840678,-0.1235903193644392,,0.039645469150975964
M2c_both_solar,2021,30,-0.7504751623913,116,28,0.49692617852308774,0.011192516171040218,0.2758312094545563,0.022734524322868026
M1_no_solar,2021,60,4.217081741577526,103,24,1.2763462321767294,-0.17848640018019252,,
M2a_delta_solar,2021,60,0.8188829937871644,103,24,0.5884700167595848,0.040725583774840216,0.2556446982893219,
M2b_mean_solar,2021,60,0.5124453490736345,103,24,1.4434490529638084,-0.2361685662134727,,0.08124165205219439
M2c_both_solar,2021,60,-0.9146261679176755,103,24,0.8092154092078586,-0.03238297918082153,0.21231992322732596,0.05064474011629268
M1_no_solar,2021,90,6.0270433327505515,95,22,1.5448901244738706,-0.25598985665281926,,
M2a_delta_solar,2021,90,2.7395729067021066,95,22,1.0594135594755214,-0.03955363954895037,0.16408792312294604,
M2b_mean_solar,2021,90,1.0025817967968709,95,22,1.6432334970741407,-0.30372979135354233,,0.09968647842433068
M2c_both_solar,2021,90,-0.39416208571964395,95,22,1.2282178734662894,-0.11773872453376215,0.13201536404607703,0.07492271722253643
M1_no_solar,2021,120,6.060349047371251,94,21,1.7229101566178933,-0.25270309761777393,,
M2a_delta_solar,2021,120,1.0717085551165546,94,21,1.2151513347174596,0.0781879878556443,0.18990662525729804,
M2b_mean_solar,2021,120,-0.21115869093673645,94,21,1.8489350127547022,-0.3304586633706903,,0.13044065096512605
M2c_both_solar,2021,120,-3.3399198743112883,94,21,1.388017693757018,-0.030907451297502168,0.16360243213721637,0.10612884886394211
M1_no_solar,2022,15,1.1094660063464397,124,29,0.6860112233337444,-0.04296299702235816,,
M2a_delta_solar,2022,15,0.46896228821639335,124,29,0.5855827634733797,-0.0036640595809937612,0.16736077504690014,
M2b_mean_solar,2022,15,0.19282210057049465,124,29,0.6847517859497165,-0.06900090907772893,,0.025328827698457592
M2c_both_solar,2022,15,-0.2401739576213151,124,29,0.6008088598469721,-0.033163915091822274,0.140124627289728,0.022475184249261627
M1_no_solar,2022,30,1.990543109459992,117,27,0.9206478812781164,-0.07801271042343126,,
M2a_delta_solar,2022,30,0.920509314865799,117,27,0.7472362354913932,-0.009272313941074082,0.15603847627035972,
M2b_mean_solar,2022,30,0.007769757269639355,117,27,0.9553608509642337,-0.12271965371856096,,0.050145559104902884
M2c_both_solar,2022,30,-0.697132164074717,117,27,0.8069098413656788,-0.06089990310026871,0.13057702988466113,0.04532693772232759
M1_no_solar,2022,60,3.634181938675665,103,24,1.3333397295212037,-0.14645681840289876,,
M2a_delta_solar,2022,60,2.3237372417183084,103,24,0.9931168879155631,-0.04770841409370685,0.13398069529743162,
M2b_mean_solar,2022,60,-1.4133091665531943,103,24,1.5389051767676325,-0.18737613212559392,,0.09910714174715617
M2c_both_solar,2022,60,-2.0961541379683855,103,24,1.237862714331747,-0.10152995321388833,0.1119428358449309,0.09101655270991732
M1_no_solar,2022,90,6.418842535688681,95,22,1.2505592229178422,-0.2566719714241973,,
M2a_delta_solar,2022,90,5.2573326947791985,95,22,0.8350842566455698,-0.14864007193347104,0.11408280480938579,
M2b_mean_solar,2022,90,-0.4865909404935298,95,22,1.4574141463459762,-0.2678337314213123,,0.11878788291852285
M2c_both_solar,2022,90,-0.724301178368929,95,22,1.0704307006930078,-0.17201818202301722,0.0998526709479884,0.10538885705482477
M1_no_solar,2022,120,8.212943700666541,94,21,1.0929284528377896,-0.3162686074191486,,
M2a_delta_solar,2022,120,7.444172301691204,94,21,0.5753054626124221,-0.20885072328555554,0.10461939746404345,
M2b_mean_solar,2022,120,1.2015920639261415,94,21,1.3559453963990507,-0.3353815741603788,,0.1212602554669368
M2c_both_solar,2022,120,0.7352211603164847,94,21,0.8447665058876208,-0.23070415562533084,0.1012138985003169,0.11646308034610513
M1_no_solar,2023,15,0.8437627452251845,120,33,0.8166506315773641,-0.03698221150255789,,
M2a_delta_solar,2023,15,0.32390948619959903,120,33,0.6470755132064011,0.0003147996431706087,0.1567131902123119,
M2b_mean_solar,2023,15,0.3580441163092319,120,33,0.8604820383005967,-0.04822031507051587,,0.011816018254182313
M2c_both_solar,2023,15,-0.14559506254626914,120,33,0.6914788331399465,-0.011011834609055094,0.15524001331195608,0.011540462401944647
M1_no_solar,2023,30,1.7457871350074468,113,31,0.9375096048030842,-0.07925153438612992,,
M2a_delta_solar,2023,30,1.0079104055893107,113,31,0.7428476154176488,-0.024114803637408217,0.11944851471129007,
M2b_mean_solar,2023,30,0.535785006761074,113,31,1.0233817213134437,-0.10265198592243686,,0.02766174788025252
M2c_both_solar,2023,30,-0.11343516635815554,113,31,0.8338630155169163,-0.04901359607398314,0.11391915390441305,0.026415835403185105
M1_no_solar,2023,60,3.5766558442014675,100,27,1.2574998650925555,-0.16510211344489317,,
M2a_delta_solar,2023,60,3.065642141237474,100,27,1.1506085090958793,-0.1245965661144933,0.045839746070115185,
M2b_mean_solar,2023,60,0.7577054650754467,100,27,1.3706376977629695,-0.19784194838069394,,0.0569835315228066
M2c_both_solar,2023,60,0.3810063950592839,100,27,1.2782279705334785,-0.16302036775562825,0.03868953969824407,0.055879714468958085
M1_no_solar,2023,90,5.002299744890404,92,25,1.4784826944627616,-0.22630874588821603,,
M2a_delta_solar,2023,90,5.079276718210322,92,25,1.490408288293147,-0.23261908804069528,-0.004778642949321806,
M2b_mean_solar,2023,90,1.7545727304513554,92,25,1.5389659326027554,-0.2490247084430441,,0.060982457437353435
M2c_both_solar,2023,90,1.8217022327444903,92,25,1.5490511376447025,-0.25436640942703403,-0.0040547255164932435,0.06094840008285353
M1_no_solar,2023,120,4.833358284540503,90,25,1.6390004304521724,-0.20147803103709727,,
M2a_delta_solar,2023,120,4.865511623311232,90,25,1.6424384954129727,-0.20411459480105484,-0.0015082587993786919,
M2b_mean_solar,2023,120,1.091424304023095,90,25,1.7067232722272168,-0.23516919727655736,,0.07232901234417267
M2c_both_solar,2023,120,0.892315649608018,90,25,1.6920526733698,-0.2236605572137564,0.006856272369955214,0.07335241011091398
M1_no_solar,2024,15,0.7632550534408368,120,33,0.8419813223575318,-0.03021590087125095,,
M2a_delta_solar,2024,15,0.14120663257529625,120,33,0.6129976039797421,0.011011375997127242,0.2191527694573539,
M2b_mean_solar,2024,15,0.24078601372827102,120,33,0.8846003954778285,-0.04234847902889552,,0.013000878285317213
M2c_both_solar,2024,15,-0.3972619925156615,120,33,0.655419023807685,-0.001193648860568996,0.22033013011916136,0.013315847565429858
M1_no_solar,2024,30,1.603615254476276,113,31,1.0079293116665113,-0.06712917973542824,,
M2a_delta_solar,2024,30,0.5995170244585839,113,31,0.7034711922499719,0.0022901380138167196,0.19004446142357048,
M2b_mean_solar,2024,30,0.2733593505038242,113,31,1.101623068204117,-0.09296164457898692,,0.031051321807387816
M2c_both_solar,2024,30,-0.6718873823005903,113,31,0.798367414646339,-0.023666855169397462,0.18733570157762355,0.030011657707375603
M1_no_solar,2024,60,3.554214528722097,98,29,1.3320896458604858,-0.15481696085192495,,
M2a_delta_solar,2024,60,2.283718678978211,98,29,1.0250541788745642,-0.06140790600034844,0.1356409978826677,
M2b_mean_solar,2024,60,0.31727370856713777,98,29,1.4469519338686894,-0.19220792162768682,,0.06634424662670715
M2c_both_solar,2024,60,-0.7512009929422823,98,29,1.1475934012789892,-0.10102220627989329,0.12992226102940693,0.06330149688286886
M1_no_solar,2024,90,5.306941918849925,90,27,1.643051604695039,-0.23235975828203556,,
M2a_delta_solar,2024,90,4.151542222045427,90,27,1.4372080981778865,-0.145624671672253,0.08451014487422057,
M2b_mean_solar,2024,90,1.7971100434356155,90,27,1.6866404307576097,-0.2553613044179647,,0.06620008092037633
M2c_both_solar,2024,90,0.5259462623733051,90,27,1.4779349710278555,-0.16754336873309453,0.08616034992092828,0.06795801170747374
M1_no_solar,2024,120,5.26338206572226,88,27,1.846392079635146,-0.22219446259133552,,
M2a_delta_solar,2024,120,3.975082686079353,88,27,1.689675076053806,-0.1262093130072375,0.06930315680507881,
M2b_mean_solar,2024,120,2.073899253032181,88,27,1.885043458671654,-0.2501352947070272,,0.06246572604466475
M2c_both_solar,2024,120,-0.1087416866644606,88,27,1.7160470815399032,-0.147594811569546,0.07859993328264496,0.07659664219741721
