model,held_out_year,horizon_min,n,mae_c,rmse_c,bias_c,median_abs_error_c
M1_no_solar,2020,15,29,1.00866401733903,1.347002453929358,-0.27536165506977095,0.8551629465772165
M2a_delta_solar,2020,15,29,0.901838403552352,1.3206224286747488,-0.11131922183568192,0.4767557652739911
M2b_mean_solar,2020,15,29,0.9802496511576265,1.3433095243479762,-0.3654743621168832,0.8374208504736533
M2c_both_solar,2020,15,29,0.88949548941185,1.3167861012401245,-0.19802633430446195,0.4068087817628332
M1_no_solar,2020,30,27,1.5483600871647074,1.8082572016026188,-0.46173838422320473,1.238697999341764
M2a_delta_solar,2020,30,27,1.3755624161301858,1.7325550794482938,-0.20938912868720205,1.1615283121733277
M2b_mean_solar,2020,30,27,1.4852746257029281,1.7673928629137396,-0.6245709589233543,1.258514813612479
M2c_both_solar,2020,30,27,1.329890227242966,1.6984855551669227,-0.3698031388118601,0.9626993938338035
M1_no_solar,2020,60,23,1.8464316835054457,2.1835038907284057,-0.7122270412383985,1.9544632313600792
M2a_delta_solar,2020,60,23,1.6236438286185544,1.9536505962398008,-0.4446692399227968,1.6358747284756636
M2b_mean_solar,2020,60,23,1.668166637707404,2.047166433198561,-0.9422021820093534,1.622608994991217
M2c_both_solar,2020,60,23,1.4897012992176168,1.8546708220136723,-0.688818396557559,1.3522425199030423
M1_no_solar,2020,90,21,1.8925798341389113,2.3586604482015465,-1.1804393265654363,1.2317374060238855
M2a_delta_solar,2020,90,21,1.7528179403481685,2.143764432166219,-0.9463005070435244,1.6158587217308478
M2b_mean_solar,2020,90,21,2.094397141230516,2.5334169764208103,-1.4643348514790948,1.5825896084665834
M2c_both_solar,2020,90,21,2.0107069067164964,2.34468312230629,-1.246155441354759,1.8321498534045757
M1_no_solar,2020,120,21,1.9311106871473716,2.5024349805628243,-1.0840435982867946,1.9101548100930072
M2a_delta_solar,2020,120,21,1.8085782303612024,2.285624314173751,-0.8136146249589691,1.5428888572116737
M2b_mean_solar,2020,120,21,2.3304024973658626,2.720816511990025,-1.5720349024690763,2.078538132880267
M2c_both_solar,2020,120,21,2.2039105456483177,2.4899618095257616,-1.2891963467852003,2.341498916809181
M1_no_solar,2021,15,29,0.6747267124708431,0.8227173606917388,0.2144113911534742,0.636243357938379
M2a_delta_solar,2021,15,29,0.7587534661557679,1.0507141519857932,-0.33995276008822506,0.5502703642079889
M2b_mean_solar,2021,15,29,0.6798373617897705,0.8175810538292853,0.3528231004619967,0.5787647717274584
M2c_both_solar,2021,15,29,0.7499221689771836,0.9847369229327793,-0.2264597134940423,0.5714214095841497
M1_no_solar,2021,30,28,1.2394228671572207,1.4252185883023254,0.5376162535544597,1.1184079406791085
M2a_delta_solar,2021,30,28,1.4167365723432936,1.923064243496506,-0.5789453615505887,0.9276845089099133
M2b_mean_solar,2021,30,28,1.2835965679618915,1.4454764944999792,0.8151124330988851,1.1416393700478462
M2c_both_solar,2021,30,28,1.3419324077813124,1.7393094626310652,-0.3156826339097095,1.1275894267009001
M1_no_solar,2021,60,24,2.0955126938406305,2.390041234827356,1.1480314359894388,2.0800219199308128
M2a_delta_solar,2021,60,24,2.5727722863360243,3.282184132962451,-0.9946378648244055,1.8225004267472928
M2b_mean_solar,2021,60,24,2.169172453073432,2.4263886475088614,1.5885581938087545,2.3900608009695423
M2c_both_solar,2021,60,24,2.401943600174699,2.802382312168821,-0.3568967988893446,2.3212679535913145
M1_no_solar,2021,90,22,2.406097337133067,2.8628149437428774,1.6001291526110888,2.5935608669565595
M2a_delta_solar,2021,90,22,2.893029522955156,3.4291961540548224,-0.635614697659996,2.302641624917361
M2b_mean_solar,2021,90,22,2.638738196073096,2.971309135966141,2.031395401774111,3.136360133264711
M2c_both_solar,2021,90,22,2.75130968776044,3.030274155575614,0.12551550894026262,2.5234871550796107
M1_no_solar,2021,120,21,2.5066879114384593,2.975641734090605,1.540590411141895,2.5355011856874583
M2a_delta_solar,2021,120,21,3.7831269003112364,4.607437262164661,-1.9254570107465436,3.427759749130523
M2b_mean_solar,2021,120,21,2.899217411370462,3.444265659215762,2.413730845633036,2.2986467487666964
M2c_both_solar,2021,120,21,3.492065361026272,4.016869390583392,-0.7349679601587481,3.5325830722980953
M1_no_solar,2022,15,29,1.3912021922382427,1.8681397715771613,0.5543544539936103,0.9185193529137368
M2a_delta_solar,2022,15,29,1.3133245686811088,1.7783218186626408,0.39506489508561715,0.9050765487956376
M2b_mean_solar,2022,15,29,1.4255027281332961,1.9680263493293353,0.785400310549734,1.0555332224927918
M2c_both_solar,2022,15,29,1.3621174042607243,1.8597687414447197,0.6260028790729882,1.028730128741969
M1_no_solar,2022,30,27,2.255674908933285,2.8485353689662953,0.7900003913748811,1.6424524080243197
M2a_delta_solar,2022,30,27,2.1833997725323466,2.732886169254122,0.5883930523464981,1.6085456721463873
M2b_mean_solar,2022,30,27,2.277939415663174,3.017113642929028,1.1846924529364578,1.4546445380539426
M2c_both_solar,2022,30,27,2.2204697022963154,2.8737546775473057,0.9780552012447612,1.5806143940534498
M1_no_solar,2022,60,24,3.2514453422797054,3.983621832809704,0.8492181561024236,3.308105124901113
M2a_delta_solar,2022,60,24,3.2932732872420405,3.9854515519874014,0.9656211733610155,3.4940594445772133
M2b_mean_solar,2022,60,24,3.3810570529023765,4.247482526701467,0.9943833921799315,2.6357561160826215
M2c_both_solar,2022,60,24,3.3642102638665974,4.209308600058936,1.0797892891129528,2.5561120048340213
M1_no_solar,2022,90,22,3.7849715200890786,4.696389598425795,2.2466010167696977,3.825159248262254
M2a_delta_solar,2022,90,22,4.239635357377242,5.17550601731276,2.898996473659182,3.626346826949822
M2b_mean_solar,2022,90,22,3.4378556401724576,4.747533842793108,1.9669185301174985,2.2971753713872562
M2c_both_solar,2022,90,22,3.742674489532102,5.035368452782826,2.569484954913437,3.196127808416958
M1_no_solar,2022,120,21,4.926347389812709,5.641078682103197,3.73322816103256,4.518419918343739
M2a_delta_solar,2022,120,21,6.038262752383632,6.8888161558576355,5.096129830217846,6.143292166652465
M2b_mean_solar,2022,120,21,4.229943136612022,5.265786784162787,3.2795222658604386,3.2435009701240727
M2c_both_solar,2022,120,21,5.326859516572125,6.288971917920363,4.616008745488133,4.5247487316595505
M1_no_solar,2023,15,33,0.6272829238791898,0.9043252555490774,-0.22983126702137177,0.4336716671028411
M2a_delta_solar,2023,15,33,0.49632932751582476,0.7203574923077926,-0.013026146666963176,0.35193723858294707
M2b_mean_solar,2023,15,33,0.630925384871642,0.8581525765461433,-0.3076371879805636,0.2963056122251627
M2c_both_solar,2023,15,33,0.47791581360168356,0.6704493335186931,-0.09105566102417642,0.3746698073299306
M1_no_solar,2023,30,31,1.1759988532901207,1.5269005166009038,-0.5102091933949272,0.8350854104158747
M2a_delta_solar,2023,30,31,0.9228085881230856,1.20177983167223,-0.18484604506360103,0.6427053630538053
M2b_mean_solar,2023,30,31,1.1169409503724925,1.400629141760646,-0.670323790696556,0.9389328076072411
M2c_both_solar,2023,30,31,0.8444978676623905,1.0758454959692287,-0.35281022530518624,0.6211797574201563
M1_no_solar,2023,60,27,2.114140489997934,2.641529071831825,-1.0756815887600575,1.656282508298757
M2a_delta_solar,2023,60,27,1.8770345766535959,2.380109335719792,-0.8222981403076511,1.273473829808632
M2b_mean_solar,2023,60,27,1.9042557305760126,2.3710703621607787,-1.2908582935899986,1.1857914055442964
M2c_both_solar,2023,60,27,1.6896888630733455,2.1404444186531055,-1.072830127447913,0.8718080429252597
M1_no_solar,2023,90,25,2.6544188074803503,3.2850009910691296,-1.566683960952659,1.9966317944137737
M2a_delta_solar,2023,90,25,2.6926658981958216,3.324698214648973,-1.6068473284213862,2.046463627490312
M2b_mean_solar,2023,90,25,2.4380406163293484,3.06666111604814,-1.6896473523291404,1.912597869401111
M2c_both_solar,2023,90,25,2.471029831610183,3.1014057478572545,-1.7236576920956475,1.9410097615633504
M1_no_solar,2023,120,25,2.846661728872922,3.6990026391016175,-1.5357071898497672,2.462253046925796
M2a_delta_solar,2023,120,25,2.8593406338704916,3.712554754415888,-1.5511913828131816,2.4581561364007536
M2b_mean_solar,2023,120,25,2.6988865680020706,3.4884009464936567,-1.7448541124334542,2.412337438575399
M2c_both_solar,2023,120,25,2.6344387141512073,3.422217643740842,-1.6774250269441808,2.3719901278936026
M1_no_solar,2024,15,33,0.9716341675892577,1.2224910892869885,-0.11333813595020684,0.9430976560403908
M2a_delta_solar,2024,15,33,0.9324869311960531,1.1973510407628005,-0.07760989394605741,0.7169080234832976
M2b_mean_solar,2024,15,33,0.9529008157567022,1.1909015016727114,-0.13159996534685625,0.8620078297167985
M2c_both_solar,2024,15,33,0.9073161799565209,1.1807849572127682,-0.09612220462060993,0.6162167324670629
M1_no_solar,2024,30,31,1.2953696236727668,1.6117529038105665,-0.21174407008914933,1.3683410181570486
M2a_delta_solar,2024,30,31,1.2798894029408974,1.5608750064825994,-0.1828662205964661,1.2242939019219545
M2b_mean_solar,2024,30,31,1.2567783094037273,1.5112284148276969,-0.23486849437418386,1.1383316013957931
M2c_both_solar,2024,30,31,1.2487049752735855,1.5095124764575227,-0.2056279946389781,0.9888881537241992
M1_no_solar,2024,60,29,1.3698392782802855,1.7161799946733602,-0.21390244940963632,1.1758400693420192
M2a_delta_solar,2024,60,29,1.4140958979043716,1.6774282600266233,-0.21576596076819024,1.1810117553519364
M2b_mean_solar,2024,60,29,1.0810470056675834,1.413668456468434,-0.24434844766218275,0.8955859043687942
M2c_both_solar,2024,60,29,1.1487019135311183,1.4903836738528982,-0.24473704538594562,0.7919301666794837
M1_no_solar,2024,90,27,1.7990129495449314,2.1730122733169104,0.10375750043301668,1.8305728099959273
M2a_delta_solar,2024,90,27,1.861930039975315,2.2023560296641276,0.04787458521222224,1.613666989875425
M2b_mean_solar,2024,90,27,1.5676675547374268,1.8469014387397469,0.07241245591331104,1.4085625330249663
M2c_both_solar,2024,90,27,1.6941621923394241,1.9506359317917699,0.014605969438279055,1.7050759643321065
M1_no_solar,2024,120,27,2.1448437677956114,2.5339456997045127,0.3551008240153137,1.9438677778720606
M2a_delta_solar,2024,120,27,2.1622244267673554,2.5536015136068757,0.3091162926524604,2.0591254471353815
M2b_mean_solar,2024,120,27,1.8520626423594422,2.162269998168727,0.3229208093908812,1.7846196854390737
M2c_both_solar,2024,120,27,1.8196243231183828,2.180659303294852,0.2634878922316635,1.5532040713130355
